table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 106,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Asked the person who forwarded/shared it with me whether it was accurate,56,37,19,20,20,14,9,3,6,6,24,9,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 106,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Blocked it or reported it to a social media platform,84,37,46,21,19,17,15,12,10,8,26,21,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 106,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Other,53,28,25,3,3,5,6,9,8,23,16,15,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 106,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Did nothing,674,307,366,81,69,101,99,122,104,167,193,177,145,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,1177,562,615,150,137,197,205,184,177,264,369,335,196,277,99,57,112,104,100,91,55,106,173,139,102,39,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,1192,584,608,169,150,212,200,186,174,251,357,332,235,268,91*,59*,112*,107*,101*,84*,57*,114*,174,152,100*,40*,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 11th October 2020,NET: Did anything,468,253,215,76,68,102,75,61,58,95,162,111,90,106,34,16,47,43,33,35,22,41,83,65,40,10,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Forwarded/ shared it with people I know,53,28,25,14,13,15,5,6,9,3,21,10,11,11,1,1,7,6,2,4,1,2,16,7,5,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Used a fact checking site or tools,140,70,70,21,18,35,25,11,15,33,67,25,20,27,9,7,12,11,11,8,5,7,37,18,12,2,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Used tips from media such as BBC website,92,51,42,17,13,26,15,11,6,18,37,22,16,17,7,4,7,9,4,2,4,8,23,13,9,2,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Checked whether it was misleading with family and friends,131,62,68,27,21,28,14,14,13,35,45,21,26,38,13,2,13,10,10,8,7,11,25,18,10,3,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Asked the person who forwarded/shared it with me whether it was accurate,84,55,29,17,15,30,15,7,6,9,38,26,11,9,6,1,10,5,6,7,3,8,22,12,6,-,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Blocked it or reported it to a social media platform,114,59,55,27,25,27,12,15,16,17,35,30,21,29,6,5,9,12,7,14,6,10,17,18,10,-,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Other,66,46,21,5,4,3,15,11,15,17,23,16,12,15,4,-,5,6,5,6,3,11,6,12,6,2,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Did nothing,724,331,393,93,82,110,125,126,116,155,195,221,146,163,58,43,65,64,68,49,35,74,91,87,60,31,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
