table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 5th to 7th June 2020,Asked the person who forwarded/shared it with me whether it was accurate,60,33,26,14,13,16,11,6,5,8,22,14,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 5th to 7th June 2020,Blocked it or reported it to a social media platform,106,62,44,30,26,22,22,13,9,9,29,32,14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 5th to 7th June 2020,Other,71,36,35,5,5,4,13,11,11,27,34,14,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 5th to 7th June 2020,Did nothing,650,317,333,104,97,112,103,98,88,145,184,194,131,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,1414,707,707,176,158,235,208,251,206,338,484,407,207,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,1404,709,695,193,171,260,207,239,188,317,415,403,263,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Did anything,586,308,278,90,77,120,91,98,69,118,188,163,117,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Forwarded/ shared it with people I know,50,33,18,8,8,13,7,7,6,9,18,12,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Used a fact checking site or tools,199,103,96,27,23,45,37,39,20,31,66,53,37,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Used tips from media such as BBC website,138,84,54,21,18,25,19,19,18,35,51,28,25,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
