table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,173,107*,65*,28**,27**,55*,30**,19**,23**,19**,55*,42*,38**,38*,11**,6**,17**,13**,17**,12**,6**,14**,36**,22**,17**,2**,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 11th April 2021,Full Fact,55,43,12,8,8,23,12,5,5,3,24,7,11,14,2,1,4,4,6,3,2,4,14,8,6,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 11th April 2021,Snopes,39,24,15,5,5,11,9,5,5,5,16,10,7,7,5,3,6,2,4,3,1,1,5,4,4,-,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 11th April 2021,Newsguard,36,31,5,7,7,18,4,3,1,3,13,6,9,8,1,3,2,2,6,2,1,1,12,2,5,-,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 11th April 2021,Sense about science,30,23,6,5,5,12,7,2,3,1,12,2,8,8,1,-,4,-,3,3,-,3,8,3,5,*,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 11th April 2021,Infotagion,26,21,4,7,7,14,3,*,1,-,7,7,11,1,-,-,3,1,3,2,-,-,8,5,3,-,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 11th April 2021,Poynter Institute,10,8,1,2,2,5,2,-,-,1,4,2,3,-,-,-,1,-,2,-,-,-,3,3,1,-,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 11th April 2021,First Draft News,9,7,2,1,1,4,3,-,-,-,4,1,3,1,-,-,2,2,1,-,-,-,1,2,-,-,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 11th April 2021,Other,17,7,10,2,2,3,2,1,4,4,6,3,5,3,1,1,3,1,1,1,1,2,2,2,1,*,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 125,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 5th to 11th April 2021,Cannot recall name,50,21,29,11,10,14,7,5,7,6,9,18,13,10,4,1,6,4,5,4,1,7,8,7,2,-,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
