table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 7th to 9th August 2020,3,56,31,25,8,7,13,6,6,6,17,23,13,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 7th to 9th August 2020,2,11,6,5,-,-,1,1,1,4,3,6,2,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 7th to 9th August 2020,1 - Do not trust at all,3,1,2,-,-,1,-,1,-,1,1,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 7th to 9th August 2020,NET: Do not trust,14,8,6,-,-,3,1,2,4,4,6,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 7th to 9th August 2020,Mean,3.69,3.66,3.72,3.6,3.65,3.47,3.94,3.79,3.75,3.59,3.66,3.86,3.64,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 7th to 9th August 2020,Standard deviation Standard error,0.82,0.83,0.82,0.5,0.49,0.91,0.67,0.96,0.89,0.84,0.78,0.78,0.88,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,261,150,111,36,32,39,44,54,42,46,95,91,29,46,24,12,25,15,18,20,14,24,36,39,27,7,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,247,146,101*,35**,31**,41*,42*,47*,40*,42*,87*,87*,30**,43*,19**,14**,22**,14**,16**,19**,14**,23**,33*,43*,25**,6**,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 9th to 11th October 2020,NET: Trust,171,102,68,19,17,31,27,37,24,33,64,58,23,26,12,8,15,11,13,13,7,20,23,29,16,3,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 9th to 11th October 2020,5 - Trust completely,34,18,16,3,2,4,3,8,3,12,14,8,4,8,3,1,3,2,2,1,4,5,4,6,2,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 9th to 11th October 2020,4,137,84,53,16,15,27,23,29,21,20,50,49,19,19,9,7,11,9,11,13,3,15,19,23,14,2,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 9th to 11th October 2020,3,65,37,28,15,14,5,15,9,11,9,20,24,6,15,6,4,7,2,3,4,6,2,7,13,7,3,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 9th to 11th October 2020,2,11,7,4,1,1,5,-,1,4,1,3,5,1,2,1,1,-,1,-,2,-,1,3,1,2,-,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 9th to 11th October 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 9th to 11th October 2020,NET: Do not trust,11,7,4,1,1,5,-,1,4,1,3,5,1,2,1,1,-,1,-,2,-,1,3,1,2,-,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 9th to 11th October 2020,Mean,3.78,3.78,3.79,3.59,3.56,3.73,3.72,3.95,3.61,4.06,3.87,3.69,3.87,3.73,3.77,3.59,3.82,3.83,3.94,3.61,3.84,4.06,3.73,3.8,3.66,3.68,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 9th to 11th October 2020,Standard deviation Standard error,0.73,0.72,0.75,0.68,0.66,0.8,0.61,0.67,0.79,0.76,0.72,0.73,0.67,0.81,0.79,0.82,0.69,0.79,0.54,0.73,0.9,0.68,0.78,0.7,0.74,0.79,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
