table,question,date,response,The amount of false or misleading information you may be getting about Coronavirus,The amount of false or misleading information that others in society may be getting about Coronavirus
Table 103,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 19th to 21st June 2020,4,488,803
Table 103,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 19th to 21st June 2020,3,661,587
Table 103,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 19th to 21st June 2020,2,413,160
Table 103,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 19th to 21st June 2020,1 - Not at all concerned,302,98
Table 103,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 19th to 21st June 2020,NET: Bottom 2 box,716,259
Table 103,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 19th to 21st June 2020,Mean,3.03,3.68
Table 103,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,1.24,1.06
Table 118,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,2115
Table 118,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,2115
Table 118,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 15th to 17th January 2021,NET: Top 2 box,685,1280
Table 118,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 15th to 17th January 2021,5 - Very concerned,298,610
Table 118,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 15th to 17th January 2021,4,386,670
Table 118,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 15th to 17th January 2021,3,636,589
Table 118,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 15th to 17th January 2021,2,368,136
Table 118,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 15th to 17th January 2021,1 - Not at all concerned,427,110
Table 118,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 15th to 17th January 2021,NET: Bottom 2 box,794,246
Table 118,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 15th to 17th January 2021,Mean,2.89,3.73
Table 118,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 15th to 17th January 2021,Standard deviation Standard error,1.31,1.1
Table 119,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,2100,2100
Table 119,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,2100,2100
Table 119,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th February 2021,NET: Top 2 box,683,1294
Table 119,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th February 2021,5 - Very concerned,254,586
Table 119,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th February 2021,4,429,708
Table 119,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th February 2021,3,621,546
Table 119,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th February 2021,2,375,155
Table 119,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th February 2021,1 - Not at all concerned,421,105
Table 119,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th February 2021,NET: Bottom 2 box,796,260
Table 119,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th February 2021,Mean,2.87,3.72
Table 119,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th February 2021,Standard deviation Standard error,1.29,1.1
Table 108,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,2120,2120
Table 108,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,2120,2120
Table 108,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 7th to 9th August 2020,NET: Top 2 box,828,1299
Table 108,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 7th to 9th August 2020,5 - Very concerned,314,545
Table 108,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 7th to 9th August 2020,4,514,754
Table 108,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 7th to 9th August 2020,3,681,582
Table 108,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 7th to 9th August 2020,2,339,139
Table 108,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 7th to 9th August 2020,1 - Not at all concerned,271,101
Table 108,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 7th to 9th August 2020,NET: Bottom 2 box,610,240
Table 108,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 7th to 9th August 2020,Mean,3.12,3.71
Table 108,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 7th to 9th August 2020,Standard deviation Standard error,1.22,1.07
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,2189,2189
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2189,2189
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 9th to 11th October 2020,NET: Top 2 box,808,1358
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 9th to 11th October 2020,5 - Very concerned,304,599
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 9th to 11th October 2020,4,504,760
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 9th to 11th October 2020,3,665,561
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 9th to 11th October 2020,2,369,143
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 9th to 11th October 2020,1 - Not at all concerned,347,126
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 9th to 11th October 2020,NET: Bottom 2 box,716,269
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 9th to 11th October 2020,Mean,3.02,3.71
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 9th to 11th October 2020,Standard deviation Standard error,1.26,1.11
