table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,NET: Trust,47,20,27,2,2,8,4,6,14,13,19,15,5,8,47,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,5 - Trust completely,27,8,19,2,2,4,4,3,6,8,12,11,1,4,27,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,4,20,12,9,-,-,4,-,3,9,4,7,5,4,4,20,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,3,7,3,5,-,-,-,1,3,-,4,1,3,-,4,7,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,Mean,4.35,4.25,4.42,5,5,4.5,4.56,4.02,4.39,4.27,4.56,4.46,4.12,3.96,4.35,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,0.72,0.66,0.76,0,0,0.53,0.93,0.83,0.51,0.84,0.57,0.75,0.37,0.85,0.72,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,58,36,22,4,4,7,15,10,9,13,21,13,12,12,58,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,56*,34*,21**,5**,5**,5**,15**,10**,8**,12**,18**,14**,12**,12**,56*,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,NET: Trust,52,33,19,5,5,5,15,10,6,10,15,13,12,12,52,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,5 - Trust completely,35,25,10,4,4,4,10,6,4,8,8,6,9,11,35,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,4,17,8,9,1,1,2,6,4,2,2,7,6,3,1,17,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,3,2,1,1,-,-,-,-,-,1,1,1,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,1 - Do not trust at all,2,1,1,-,-,-,-,-,1,1,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,NET: Do not trust,2,1,1,-,-,-,-,-,1,1,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,Mean,4.49,4.62,4.28,4.84,4.84,4.65,4.64,4.56,4.02,4.33,4.12,4.34,4.73,4.94,4.49,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,0.84,0.76,0.95,0.41,0.41,0.53,0.5,0.52,1.38,1.13,1.2,0.67,0.46,0.24,0.84,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,52,26,26,5,5,8,12,10,7,10,16,16,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,49*,25**,24**,5**,5**,8**,10**,8**,7**,11**,13**,15**,10**,11**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,NET: Trust,48,25,24,4,4,8,10,8,7,11,13,15,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,5 - Trust completely,26,12,14,2,2,4,4,3,5,8,8,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,4,23,13,10,2,2,4,6,5,2,3,5,10,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,3,1,*,1,1,1,-,-,-,*,-,1,-,*,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,Mean,4.5,4.47,4.53,4.31,4.31,4.48,4.38,4.36,4.63,4.73,4.53,4.37,4.57,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.55,0.53,0.57,0.78,0.78,0.53,0.51,0.51,0.62,0.47,0.62,0.5,0.59,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,50,26,24,3,3,7,11,7,9,13,19,15,5,11,50,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,48*,24**,25**,3**,3**,7**,14**,7**,6**,11**,16**,14**,7**,12**,48*,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,NET: Trust,42,18,24,3,3,7,12,6,6,8,14,14,7,7,42,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,5 - Trust completely,25,11,15,2,2,7,6,3,4,5,8,10,3,4,25,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,4,16,7,9,2,2,-,6,3,3,3,6,4,4,3,16,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,3,3,3,-,-,-,-,-,1,-,2,2,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,2,4,3,1,-,-,-,2,*,-,1,-,*,-,3,4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,NET: Do not trust,4,3,1,-,-,-,2,*,-,1,-,*,-,3,4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,Mean,4.31,4.09,4.51,4.49,4.49,5,4.09,4.08,4.57,4.09,4.43,4.64,4.43,3.69,4.31,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,0.9,1.03,0.73,0.6,0.6,0,1.07,0.93,0.54,1.04,0.71,0.66,0.54,1.27,0.9,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,45,22,23,2,2,5,10,10,8,10,12,16,10,7,45,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,43*,18**,25**,2**,2**,3**,9**,11**,8**,11**,10**,15**,13**,5**,43*,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-**,-**,-**
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,NET: Trust,41,16,24,2,2,3,7,10,8,10,9,14,13,4,41,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,5 - Trust completely,30,12,18,2,2,2,5,8,5,8,8,11,7,3,30,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,4,10,4,6,-,-,1,3,2,3,2,1,3,6,1,10,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,3,1,1,1,-,-,-,1,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,2,1,1,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,NET: Do not trust,1,1,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,Mean,4.6,4.45,4.72,5,5,4.76,4.31,4.63,4.62,4.7,4.69,4.66,4.55,4.41,4.6,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,0.71,0.91,0.51,-,-,0.52,0.95,0.87,0.52,0.59,0.7,0.77,0.52,1.1,0.71,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,44,24,20,4,4,3,13,5,10,9,13,15,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,42*,22**,20**,4**,4**,3**,12**,6**,9**,8**,11**,15**,5**,11**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,NET: Trust,40,20,20,3,3,3,12,6,9,6,10,14,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,5 - Trust completely,21,10,11,2,2,2,5,3,4,4,4,10,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,4,19,10,9,1,1,1,7,3,5,2,5,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,3,1,1,-,-,-,-,-,-,-,1,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,2,1,1,-,1,1,-,-,-,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,NET: Do not trust,1,1,-,1,1,-,-,-,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,Mean,4.41,4.29,4.55,3.96,3.96,4.74,4.41,4.49,4.48,4.39,4.28,4.54,4.26,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,0.68,0.79,0.51,1.39,1.39,0.53,0.51,0.55,0.53,0.83,0.7,0.83,0.49,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,57,24,33,6,5,7,10,12,9,13,15,20,8,14,57,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,50*,21**,29**,5**,4**,8**,9**,11**,6**,10**,12**,16**,10**,12**,50*,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,NET: Trust,48,20,28,4,4,8,8,11,6,10,12,16,10,11,48,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,5 - Trust completely,27,13,14,4,4,6,2,5,3,6,6,9,7,5,27,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,4,21,7,14,-,-,2,6,6,3,5,6,6,3,6,21,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,3,1,-,1,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,2,1,1,-,1,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,NET: Do not trust,1,1,-,1,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,Mean,4.5,4.57,4.44,4.67,4.64,4.77,4.12,4.47,4.51,4.55,4.53,4.51,4.71,4.28,4.5,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
