table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 163,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,2,1,1,-,-,-,-,-,1,-,-,-,1,-,1,1,-,-,-,-,-,,-,,-,-,,,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 163,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 163,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,1,1,-,-,-,-,-,1,-,-,-,1,-,1,1,-,-,-,-,-,,-,,-,-,,,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 163,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.37,4.26,4.49,4.37,4.24,4.5,4.51,3.86,4.52,4.25,4.51,4.27,4.2,4.37,4.37,-,-,-,-,-,,-,,-,-,,,4.44,4.19,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 163,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.7,0.75,0.62,0.79,0.82,0.53,0.62,1.09,0.53,0.48,0.51,0.85,0.75,0.82,0.7,-,-,-,-,-,,-,,-,-,,,0.62,0.83,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 164,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,36,49,29,64,40,11,34,8,12,24,27,59,2,9,9,1,37,17,,,,,,,,,,,,,,,,,,,,,
Table 164,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,55*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49*,31*,41*,26**,55*,36*,10**,30*,8**,10**,21**,24**,51*,2**,7**,8**,1**,31*,14**,,,,,,,,,,,,,,,,,,,,,
Table 164,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,29,39,24,51,33,10,27,8,10,19,23,48,2,7,8,1,29,13,,,,,,,,,,,,,,,,,,,,,
Table 164,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,15,20,14,26,16,4,13,5,6,7,14,26,-,5,3,-,16,7,,,,,,,,,,,,,,,,,,,,,
Table 164,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Scotland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,15,19,11,25,17,6,15,2,4,12,9,22,2,2,4,1,14,6,,,,,,,,,,,,,,,,,,,,,
