table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 28,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 24th to 26th April 2020,2,12,9,3,-,-,4,2,3,1,4,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 24th to 26th April 2020,1 - Do not trust at all,3,1,2,-,-,*,-,1,-,2,2,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 24th to 26th April 2020,NET: Do not trust,16,10,5,-,-,4,2,4,1,6,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 24th to 26th April 2020,Mean,4.09,4.13,4.03,4.32,4.28,4.14,3.96,4,4.12,3.92,4.15,4.12,4.06,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 28,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,0.8,0.82,0.77,0.65,0.65,0.83,0.72,0.84,0.74,0.94,0.81,0.78,0.8,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,525,310,215,86,77,94,102,81,80,82,192,156,84,93,45,11,46,37,39,32,40,63,70,74,53,15,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,532,310,222,100*,90*,93*,102*,86*,72*,78*,185,167,87*,93*,39*,10**,55*,40**,40*,33**,35*,60*,69*,80*,59*,12**,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,418,245,172,77,68,78,79,65,59,60,150,140,61,67,30,7,42,32,30,27,28,46,50,67,49,9,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,140,90,50,34,30,26,20,23,22,16,47,49,19,25,7,1,17,6,11,7,7,22,17,20,23,3,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 11th April 2021,4,278,155,122,43,38,52,59,42,37,45,104,91,42,42,23,6,24,26,19,20,22,25,33,47,26,6,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Online/ app,ONLINE Fieldwork: 5th to 11th April 2021,3,87,43,44,18,17,9,19,20,11,10,28,19,19,20,7,3,12,6,4,5,2,8,17,12,10,3,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
