table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 98,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Strongly agree      (+2),173,74,98,22,22,32,36,28,25,28,41,47,45,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 98,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Slightly agree      (+1),626,281,345,99,87,110,104,94,73,147,160,161,139,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 98,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Neither agree nor    (0) disagree,494,238,255,56,48,91,77,93,62,115,122,142,103,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 98,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Slightly disagree   (-1),513,265,249,76,62,78,75,92,81,112,157,161,86,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 98,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Strongly disagree   (-2),313,178,135,40,34,43,36,57,64,73,96,86,57,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 98,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,NET: Disagree,826,442,384,115,96,121,111,149,145,185,253,248,143,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 98,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Mean,,-0.18,0.02,,*i,0.03,0.09,-0.15,-0.28,-0.11,-0.18,-0.13,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 98,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,1.2,1.21,1.19,1.2,1.22,1.18,1.19,1.2,1.26,1.18,1.21,1.19,1.21,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 297,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 297,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 297,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Agree,780,351,429,104,91,150,113,133,98,182,167,218,192,203,63,43,97,63,69,57,33,63,98,104,72,18,,114,327,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 297,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly agree      (+2),201,99,103,22,18,44,29,36,23,46,38,53,57,54,18,10,27,25,16,16,5,14,31,25,10,6,,30,86,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 297,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly agree      (+1),579,252,326,82,73,106,84,97,74,136,128,166,135,150,44,33,70,38,53,41,28,49,67,79,62,12,,84,241,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 297,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Neither agree nor    (0) disagree,510,255,255,62,56,82,89,86,73,119,120,159,112,119,37,16,64,49,43,43,27,51,65,67,34,15,,94,214,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 297,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly disagree   (-1),515,259,256,87,71,74,75,89,77,112,188,138,81,108,52,9,46,34,50,30,29,48,76,74,46,19,,75,197,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 297,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly disagree   (-2),288,158,129,36,28,44,46,52,53,57,94,75,40,79,22,16,24,24,21,21,10,35,37,41,27,11,,46,111,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 297,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Disagree,803,417,385,123,99,118,122,141,131,168,282,213,121,186,75,24,70,58,71,51,40,83,113,115,73,30,,121,308,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 297,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,,-0.12,0.02,-0.11,-0.07,0.09,-0.08,-0.06,-0.21,0.01,-0.3,,0.2,,-0.09,0.15,0.13,0.03,-0.04,0.01,-0.12,-0.21,-0.08,-0.09,-0.1,-0.25,,-0.07,-0.01,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
