table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Search engine (e.g. Google),7,5,2,2,2,2,1,2,1,-,5,-,*,2,-,-,-,2,2,-,*,-,2,1,-,1,6
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,People in your local area/neighbourhood,7,7,-,1,1,-,1,2,2,2,-,2,1,4,-,2,2,2,-,-,-,-,-,1,-,-,7
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,96*,40*,56*,17**,17**,25**,17**,14**,11**,12**,26**,19**,25**,25**,4**,7**,8**,14**,7**,3**,2**,7**,12**,22**,6**,3**,86*
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),6,1,5,-,-,2,2,-,*,2,1,*,2,3,-,-,-,3,-,2,-,*,-,1,-,-,6
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Snapchat,6,2,4,2,2,2,-,2,-,-,-,2,2,2,-,-,-,4,2,-,-,-,-,-,-,-,6
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,ITV,3,3,-,-,-,-,-,1,1,1,1,-,1,1,-,-,1,-,-,-,-,-,1,1,-,-,3
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,WhatsApp,3,3,-,-,-,1,2,-,-,-,-,1,2,-,1,-,-,-,-,-,-,-,-,2,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,WhatsApp group(s),3,1,2,2,2,-,1,-,-,-,-,-,2,1,-,-,-,1,2,-,-,-,-,-,-,-,3
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,“Red-top tabloids” such as The Sun or Mirror ( online ),3,3,-,-,-,1,2,-,-,-,2,1,-,-,1,-,-,2,-,-,-,-,-,-,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Official scientists,3,1,1,-,-,1,-,-,-,1,1,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,3
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Channel 5,2,2,-,-,-,-,-,1,-,1,-,-,1,1,-,-,-,-,-,-,-,-,1,1,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Advertising,2,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,"Local sources across TV, radio and online",2,1,1,-,-,1,1,-,-,-,1,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Direct from Local council website/ email/ text/ post,2,-,2,2,2,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,96*,40*,56*,17**,17**,25**,17**,14**,11**,12**,26**,19**,25**,25**,4**,7**,8**,14**,7**,3**,2**,7**,12**,22**,6**,3**,86*
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",2,-,2,2,2,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,"Flyers, e.g. leaflets that you may be given or find when out and about",2,-,2,2,2,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Podcasts,2,1,1,1,1,-,-,-,-,1,-,-,-,2,-,-,1,-,1,-,-,-,-,-,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Magazines,2,1,1,1,1,-,1,-,-,-,-,-,-,2,-,-,1,-,-,1,-,-,-,-,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Channel 4,2,1,*,-,-,-,-,*,-,1,-,-,*,1,-,-,-,-,-,-,-,-,-,2,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Direct from NHS website/ email/ text/ post,1,-,1,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,BBC - Radio,1,1,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Commercial Radio,1,1,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,“Broadsheets” such as The Times or Guardian ( online ),1,1,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,96*,40*,56*,17**,17**,25**,17**,14**,11**,12**,26**,19**,25**,25**,4**,7**,8**,14**,7**,3**,2**,7**,12**,22**,6**,3**,86*
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,"Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Direct from UK Government website/ email/ text/ post,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Email,1,-,1,1,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Facebook messenger,1,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,STV,*,-,*,-,-,-,-,-,*,-,-,*,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Other,9,2,6,1,1,3,1,*,*,3,1,2,1,4,1,*,1,*,2,-,-,1,1,2,1,-,8
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,NET: Broadcasters,10,7,4,3,3,2,1,2,2,1,4,2,2,2,1,-,1,-,2,1,-,-,3,2,-,1,8
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,NET: Non-BBC broadcasters,4,3,1,-,-,-,-,2,1,1,1,*,2,1,*,-,1,-,-,-,-,-,1,2,-,-,4
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,NET: BBC services,8,5,3,3,3,2,1,-,1,1,3,2,-,2,1,-,-,-,2,1,-,-,2,1,-,1,6
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,NET: Newspapers (printed and online),9,4,5,-,-,3,4,-,*,2,3,2,2,3,1,-,-,5,-,2,-,*,-,1,-,-,8
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,NET: Officials,6,2,4,2,2,1,-,-,-,2,2,-,2,1,-,1,-,-,2,-,-,-,-,2,-,-,6
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,96*,40*,56*,17**,17**,25**,17**,14**,11**,12**,26**,19**,25**,25**,4**,7**,8**,14**,7**,3**,2**,7**,12**,22**,6**,3**,86*
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,NET: Social Media,51,22,28,12,12,14,7,10,3,5,8,12,19,11,2,4,4,8,5,2,2,4,6,11,4,1,45
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,NET: Facebook (Facebook and Facebook Messenger),34,14,20,7,7,8,4,7,3,4,5,6,13,9,1,4,3,6,2,2,1,4,2,6,3,1,31
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,NET: WhatsApp (WhatsApp and WhatsApp groups),6,4,2,2,2,1,3,-,-,-,-,1,4,1,1,-,-,1,2,-,-,-,-,2,-,-,5
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,NET: Closed groups,3,1,2,2,2,-,1,-,-,-,-,-,2,1,-,-,-,1,2,-,-,-,-,-,-,-,3
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,NET: Other online news sources,15,7,8,4,4,1,4,2,2,2,5,1,5,4,1,-,1,6,3,-,-,-,2,2,-,-,15
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,NET: Family/friends/ local ppl,17,10,7,2,2,5,3,3,3,2,3,3,3,8,2,2,3,3,1,2,-,-,2,1,-,1,14
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,NET: Traditional media,20,9,11,4,4,4,5,2,2,3,8,3,4,6,1,1,2,5,2,3,-,*,3,3,-,1,18
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,NET: Offline,3,1,2,2,2,-,-,-,-,1,1,-,2,-,-,-,-,-,2,-,-,-,-,1,-,-,3
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,I don't know where the source is from,5,-,5,-,-,3,-,3,-,-,-,2,1,2,-,-,-,-,-,-,-,2,-,3,1,-,5
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,103,34,69,21,19,25,21,18,8,10,24,30,32,17,10,3,8,7,14,7,5,7,14,14,11,3,85
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,105*,35**,70*,24**,21**,28**,19**,18**,7**,8**,25**,32**,32**,16**,9**,2**,6**,7**,12**,6**,6**,9**,14**,16**,13**,2**,88*
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Facebook,38,16,22,11,11,10,5,6,2,3,8,13,11,6,3,-,6,2,4,3,1,6,1,5,8,-,34
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Family and friends directly,19,6,13,6,5,6,4,2,-,1,2,7,6,3,3,1,-,-,2,2,2,2,3,2,2,1,13
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Websites or apps that bring together news from different news providers,11,1,10,5,3,1,2,3,-,*,1,4,6,1,-,-,1,2,1,-,2,-,2,3,-,1,9
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Twitter,10,6,3,4,3,4,2,-,-,-,3,3,3,1,-,1,-,2,-,1,-,-,3,1,2,-,10
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,People in your local area/neighbourhood,9,3,6,1,1,1,4,2,1,-,4,2,1,2,1,1,1,*,1,-,-,2,1,2,1,-,8
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Instagram,7,3,4,4,3,-,3,-,-,-,2,4,1,1,-,-,-,-,-,-,-,2,4,1,-,-,7
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",5,1,4,2,2,-,1,1,-,1,1,-,3,1,-,-,1,-,2,-,-,-,1,1,-,-,5
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Search engine (e.g. Google),5,-,5,3,3,*,-,1,-,-,1,*,1,2,*,-,-,-,1,-,-,-,1,2,-,-,4
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,WhatsApp,5,2,2,1,1,1,1,1,-,-,1,2,1,1,1,-,-,*,1,-,-,-,2,-,-,-,3
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,BBC - TV,4,3,1,-,-,2,-,2,-,-,1,2,1,-,-,-,-,-,1,-,2,-,-,1,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,105*,35**,70*,24**,21**,28**,19**,18**,7**,8**,25**,32**,32**,16**,9**,2**,6**,7**,12**,6**,6**,9**,14**,16**,13**,2**,88*
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Sky,4,1,2,-,-,1,1,1,-,-,2,1,-,-,1,-,-,-,-,*,-,-,1,1,-,-,3
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,ITV,2,1,1,-,-,-,1,-,1,-,-,1,1,-,1,-,-,-,-,-,-,-,-,1,-,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Facebook messenger,2,2,-,-,-,-,2,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,1,-,-,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),2,-,2,-,-,2,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",2,2,-,-,-,-,2,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,BBC - Online/ app,2,1,*,-,-,1,*,-,-,*,1,*,*,-,-,-,-,-,-,*,-,-,-,1,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Direct from NHS website/ email/ text/ post,1,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,“Mid-market tabloids” such as MailOnline or Express ( online ),1,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,WhatsApp group(s),1,-,1,1,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,"Flyers, e.g. leaflets that you may be given or find when out and about",1,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,105*,35**,70*,24**,21**,28**,19**,18**,7**,8**,25**,32**,32**,16**,9**,2**,6**,7**,12**,6**,6**,9**,14**,16**,13**,2**,88*
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Channel 4,1,-,1,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Magazines,1,-,1,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,BBC - Radio,1,-,1,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),1,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Snapchat,1,-,1,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,"Local sources across TV, radio and online",1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Community radio,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,YouTube,1,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Podcasts,*,*,-,-,-,-,*,-,-,-,-,*,-,-,-,-,-,*,-,-,-,-,-,-,-,-,*
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Official scientists,*,-,*,-,-,-,*,-,-,-,-,*,-,-,-,-,-,-,-,*,-,-,-,-,-,-,*
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Other,14,3,10,1,1,5,2,2,1,3,4,3,4,3,1,-,-,-,1,3,*,-,2,2,4,1,12
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,NET: Broadcasters,10,6,4,-,-,4,1,2,1,1,3,4,3,-,2,-,-,-,1,*,2,-,1,4,-,-,6
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,105*,35**,70*,24**,21**,28**,19**,18**,7**,8**,25**,32**,32**,16**,9**,2**,6**,7**,12**,6**,6**,9**,14**,16**,13**,2**,88*
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,NET: Non-BBC broadcasters,5,3,2,-,-,1,1,1,1,-,2,1,1,-,1,-,-,-,-,*,-,-,1,3,-,-,4
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,NET: BBC services,7,4,2,-,-,3,*,2,-,1,2,3,1,-,1,-,-,-,1,*,2,-,-,3,-,-,4
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,NET: Newspapers (printed and online),5,2,2,-,-,2,-,1,-,1,1,-,1,2,-,-,-,2,-,-,-,1,-,1,-,-,5
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,NET: Officials,2,1,*,-,-,-,*,1,-,-,1,*,-,-,-,-,-,-,-,*,-,-,-,1,-,-,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,NET: Social Media,47,19,28,15,14,12,8,7,2,3,9,17,13,8,3,1,6,4,5,3,1,6,6,5,8,-,43
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,NET: Facebook (Facebook and Facebook Messenger),40,18,22,11,11,10,7,6,2,3,8,13,13,6,4,-,6,2,4,3,1,6,1,5,8,-,34
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,NET: WhatsApp (WhatsApp and WhatsApp groups),6,2,4,2,2,1,2,1,-,-,3,2,1,1,1,-,-,*,1,-,-,-,3,-,-,1,4
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,NET: Closed groups,4,2,1,1,1,-,3,-,-,-,1,-,2,-,2,-,-,-,-,-,-,-,2,-,-,1,2
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,NET: Other online news sources,16,4,12,6,4,1,4,3,-,1,1,4,10,2,2,-,1,2,2,-,2,-,3,4,-,1,12
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 12th to 14th March 2021,NET: Family/friends/ local ppl,25,7,18,6,5,6,7,4,1,1,7,9,7,3,3,2,1,*,3,2,2,4,3,4,3,1,20
