table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 12th to 14th March 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 12th to 14th March 2021,NET: Do not trust,2,2,-,-,-,-,1,1,-,-,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 12th to 14th March 2021,Mean,4.01,3.98,4.04,4.65,4.65,3,3.52,4.12,4.2,4.1,3.82,4.16,3.52,4.35,4.01,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 40,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,0.8,0.83,0.77,0.53,0.53,*,0.85,0.84,0.62,0.75,0.65,0.9,0.82,0.72,0.8,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,68,42,26,10,10,9,5,7,11,26,22,22,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,65*,42*,23**,8**,8**,11**,6**,7**,11**,22**,18**,21**,15**,11**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Trust,50,33,18,7,7,9,5,3,8,18,15,12,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 1st to 3rd May 2020,5 - Trust completely,16,10,6,1,1,2,3,-,3,7,4,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 1st to 3rd May 2020,4,34,23,11,6,6,7,2,3,5,11,12,9,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 1st to 3rd May 2020,3,13,8,5,1,1,2,1,3,3,3,3,8,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 1st to 3rd May 2020,2,1,1,-,1,1,-,-,1,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 1st to 3rd May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Do not trust,1,1,-,1,1,-,-,1,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,4.01,3.99,4.04,3.95,3.95,4.05,4.22,3.36,4,4.16,4.02,3.59,4.34,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: STV,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,0.74,0.76,0.73,0.78,0.78,0.62,0.88,0.73,0.8,0.69,0.62,0.79,0.49,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
