table,question,date,response,Washing hands regularly for 20 seconds or more,Only going outside your home for essential shopping and exercise,Practised social distancing,Practising social distancing,Wearing a face mask/covering where relevant,Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,"Only going outside your home for essential shopping, exercise and meeting with one other person outside your household",Stay at home as much as possible,Only meeting outside with up to six people from two households,Only meeting outside with up to four people from two households,Only meeting outside with up to six people from two households_1,Only meeting outside with up to six people from any number of households or any number of people from two households,"Only meeting with up to eight people from two households in public, ideally within 5 miles and staying 2 metres apart","Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",Wearing a face mask/covering on public transport or in an enclosed public space where social distancing is not possible
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,2127,2127,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,2127,2127,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,NET: Closely,1994,2073,2090,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Very closely        (+2),1365,1766,1777,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Fairly closely      (+1),629,307,313,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Not very closely    (-1),113,37,27,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Not at all closely  (-2),20,17,10,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,NET: Not closely,133,54,37,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Mean,1.51,1.77,1.8,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.83,0.61,0.54,,,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,,,2098,2098,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,,,2098,2098,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Closely,1819,,,1929,1957,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Very closely        (+2),1082,,,1145,1609,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Fairly closely      (+1),737,,,784,348,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Not very closely    (-1),202,,,113,71,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Not at all closely  (-2),77,,,56,70,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Not closely,279,,,169,141,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Mean,1.21,,,1.36,1.6,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.09,,,0.94,0.92,,,,,,,,,,,
Table 80,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,2136,2136,,,,,,,,,,,,,
Table 80,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,2136,2136,,,,,,,,,,,,,
Table 80,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 17th to 19th April 2020,NET: Closely,1961,2062,2086,,,,,,,,,,,,,
Table 80,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 17th to 19th April 2020,Very closely        (+2),1325,1713,1736,,,,,,,,,,,,,
Table 80,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 17th to 19th April 2020,Fairly closely      (+1),636,349,351,,,,,,,,,,,,,
Table 80,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 17th to 19th April 2020,Not very closely    (-1),132,45,37,,,,,,,,,,,,,
Table 80,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 17th to 19th April 2020,Not at all closely  (-2),44,29,12,,,,,,,,,,,,,
Table 80,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 17th to 19th April 2020,NET: Not closely,175,74,50,,,,,,,,,,,,,
Table 80,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 17th to 19th April 2020,Mean,1.44,1.72,1.76,,,,,,,,,,,,,
Table 80,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.93,0.7,0.6,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2105,2105,2105,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2105,2105,2105,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 15th to 17th May 2020,NET: Closely,1898,1994,2049,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 15th to 17th May 2020,Very closely        (+2),1175,1516,1618,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 15th to 17th May 2020,Fairly closely      (+1),724,478,431,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 15th to 17th May 2020,Not very closely    (-1),167,65,43,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 15th to 17th May 2020,Not at all closely  (-2),40,46,13,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 15th to 17th May 2020,NET: Not closely,207,111,56,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 15th to 17th May 2020,Mean,1.34,1.59,1.71,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.96,0.83,0.63,,,,,,,,,,,,,
Table 103,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,277,2119,,,73,1769,1769,,,,,,,,
Table 103,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,277,2119,,,64,1778,1778,,,,,,,,
Table 103,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 29th to 31st May 2020,NET: Closely,1900,260,2033,,,57,1661,1678,,,,,,,,
Table 103,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 29th to 31st May 2020,Very closely        (+2),1213,193,1552,,,47,1219,1224,,,,,,,,
Table 103,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 29th to 31st May 2020,Fairly closely      (+1),687,67,481,,,10,442,454,,,,,,,,
Table 103,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 29th to 31st May 2020,Not very closely    (-1),164,15,67,,,3,71,69,,,,,,,,
Table 103,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 29th to 31st May 2020,Not at all closely  (-2),55,2,19,,,3,46,31,,,,,,,,
Table 103,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 29th to 31st May 2020,NET: Not closely,219,17,86,,,6,117,101,,,,,,,,
Table 103,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 29th to 31st May 2020,Mean,1.34,1.57,1.64,,,1.51,1.53,1.56,,,,,,,,
Table 103,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,1,0.81,0.73,,,1.05,0.89,0.83,,,,,,,,
Table 312,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,361,2093,,,,1732,1732,,,,,,,,
Table 312,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,337,2093,,,,1756,1756,,,,,,,,
Table 312,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Closely,1876,320,2021,,,,1655,1665,,,,,,,,
