table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 145,Age,ONLINE Fieldwork: 11th to 13th September 2020,16-17,40,15,26,40,-,-,-,-,-,-,17,12,3,8,2,-,2,3,8,6,2,6,3,4,6,-,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Age,ONLINE Fieldwork: 11th to 13th September 2020,18-24,249,117,132,249,249,-,-,-,-,-,78,92,45,33,16,12,16,24,27,17,14,16,51,38,17,1,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Age,ONLINE Fieldwork: 11th to 13th September 2020,25-34,350,176,174,-,-,350,-,-,-,-,123,102,57,67,28,11,49,24,38,20,13,26,67,37,28,8,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Age,ONLINE Fieldwork: 11th to 13th September 2020,35-44,325,166,159,-,-,-,325,-,-,-,86,88,65,86,38,10,38,26,27,25,17,24,42,42,25,9,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Age,ONLINE Fieldwork: 11th to 13th September 2020,45-54,361,184,177,-,-,-,-,361,-,-,80,86,77,118,31,10,44,25,21,33,16,45,34,53,31,20,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Age,ONLINE Fieldwork: 11th to 13th September 2020,55-64,302,151,151,-,-,-,-,-,302,-,61,79,77,85,26,19,31,29,24,17,13,31,37,39,25,11,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Age,ONLINE Fieldwork: 11th to 13th September 2020,65+,471,216,255,-,-,-,-,-,-,471,124,134,101,112,34,22,52,40,39,33,25,50,43,74,48,13,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Age,ONLINE Fieldwork: 11th to 13th September 2020,NET: 18-34,599,294,305,249,249,350,-,-,-,-,202,194,102,101,45,23,66,48,65,37,27,42,118,75,45,9,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Age,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Age,ONLINE Fieldwork: 11th to 13th September 2020,NET: 35-54,685,350,335,-,-,-,325,361,-,-,166,173,142,204,69,20,82,51,48,59,33,69,76,95,56,29,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Age,ONLINE Fieldwork: 11th to 13th September 2020,NET: 55+,773,368,405,-,-,-,-,-,302,471,185,212,179,197,60,41,83,69,63,50,38,81,80,113,72,25,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 145,Age,ONLINE Fieldwork: 11th to 13th September 2020,Average age,47.18d,47.18,47.18,20.94,21.68d,29.82d,39.50d,49.69a,59.66a,71.57a,45.01,46.18,48.91a,49.31a,46.83w,49.96s,48.07w,47.35w,44.47,46.67w,47.55w,49.42s,42.44,48.92s,48.66w,50.88s,47.06w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,16-17,27,6,21,27,-,-,-,-,-,-,12,10,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,Age,ONLINE Fieldwork: 17th to 19th April 2020,18-24,268,85,183,268,268,-,-,-,-,-,108,74,45,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
