table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 335,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Wearing a face mask/ covering,69,39,30,16,14,15,11,9,7,10,10,20,16,23,5,3,6,1,11,5,4,9,14,5,6,-,14,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 335,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Staying at home as much as possible,344,171,173,45,37,59,55,68,50,67,81,98,80,85,32,20,42,27,26,22,18,44,40,35,28,9,51,155,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 335,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Work from home (if possible),181,101,81,23,20,37,41,29,26,26,62,62,33,25,17,9,22,16,15,16,5,13,26,21,19,4,44,101,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 335,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Not touching your face when outside,76,37,39,9,9,17,9,11,9,20,26,20,12,17,5,1,11,10,11,3,1,6,12,8,6,2,17,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 335,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1,*,1,1,1,-,-,-,-,*,-,1,*,-,1,-,-,-,-,-,-,*,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 336,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,
Table 336,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 336,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Washing hands regularly and thoroughly,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,257,396,145,182,178,37,142,32,34,136,153,464,5,182,55,15,201,168,,,,,,,,,,,,,,,,,,
Table 336,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Limiting your contact with other people (including family and friends),419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,202,307,128,166,194,33,142,34,37,124,125,360,6,138,41,28,160,131,,,,,,,,,,,,,,,,,,
Table 336,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,258,374,138,169,187,43,157,41,51,135,163,446,7,175,63,19,201,169,,,,,,,,,,,,,,,,,,
Table 336,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Wearing a face mask/ covering,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,26,45,13,13,31,15,21,11,6,12,18,55,1,22,5,-,31,16,,,,,,,,,,,,,,,,,,
