date,area_type,area_code,area_name,metric,metric_name,value
2023-01-07,region,E12000008,South East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,237.0
2023-01-07,region,E12000006,East of England,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,190.0
2023-01-07,region,E12000003,Yorkshire and The Humber,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,156.0
2023-01-07,region,E12000002,North West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,179.0
2023-01-07,region,E12000005,West Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,131.0
2023-01-07,region,E12000007,London,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,149.0
2023-01-08,region,E12000004,East Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,168.0
2023-01-08,region,E12000002,North West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,201.0
2023-01-08,region,E12000005,West Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,161.0
2023-01-08,region,E12000001,North East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,86.0
2023-01-08,region,E12000009,South West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,175.0
2023-01-08,region,E12000008,South East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,304.0
2023-01-08,region,E12000003,Yorkshire and The Humber,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,168.0
2023-01-08,region,E12000006,East of England,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,178.0
2023-01-08,region,E12000007,London,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,206.0
2023-01-09,region,E12000004,East Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,170.0
2023-01-09,region,E12000009,South West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,205.0
2023-01-09,region,E12000008,South East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,253.0
2023-01-09,region,E12000005,West Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,163.0
2023-01-09,region,E12000002,North West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,234.0
2023-01-09,region,E12000006,East of England,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,215.0
2023-01-09,region,E12000003,Yorkshire and The Humber,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,157.0
2023-01-09,region,E12000007,London,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,159.0
2023-01-09,region,E12000001,North East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,89.0
2023-01-10,region,E12000001,North East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,70.0
2023-01-10,region,E12000004,East Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,103.0
2023-01-10,region,E12000006,East of England,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,151.0
2023-01-10,region,E12000007,London,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,134.0
2023-01-10,region,E12000002,North West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,170.0
2023-01-10,region,E12000003,Yorkshire and The Humber,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,140.0
2023-01-10,region,E12000005,West Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,139.0
2023-01-10,region,E12000008,South East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,208.0
2023-01-10,region,E12000009,South West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,156.0
2023-01-11,region,E12000008,South East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,187.0
2023-01-11,region,E12000003,Yorkshire and The Humber,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,101.0
2023-01-11,region,E12000009,South West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,139.0
2023-01-11,region,E12000002,North West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,148.0
2023-01-11,region,E12000005,West Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,112.0
2023-01-11,region,E12000007,London,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,140.0
2023-01-11,region,E12000006,East of England,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,153.0
2023-01-11,region,E12000001,North East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,69.0
2023-01-11,region,E12000004,East Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,106.0
2023-01-12,region,E12000008,South East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,190.0
2023-01-12,region,E12000009,South West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,103.0
2023-01-12,region,E12000005,West Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,129.0
2023-01-12,region,E12000007,London,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,121.0
2023-01-12,region,E12000002,North West,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,142.0
2023-01-12,region,E12000004,East Midlands,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,89.0
2023-01-12,region,E12000001,North East,newCasesLFDOnlyBySpecimenDate,New cases LFD only by specimen date,55.0
