geography,geography_code,year,month,epiweek,date,metric_value
East Midlands,E12000004,2020,5,21,2020-05-18,42.0
East Midlands,E12000004,2020,5,21,2020-05-19,34.0
East Midlands,E12000004,2020,5,21,2020-05-20,28.0
East Midlands,E12000004,2020,5,21,2020-05-21,32.0
East Midlands,E12000004,2020,5,21,2020-05-22,28.0
East Midlands,E12000004,2020,5,21,2020-05-23,34.0
East Midlands,E12000004,2020,5,21,2020-05-24,19.0
East Midlands,E12000004,2020,5,22,2020-05-25,25.0
East Midlands,E12000004,2020,5,22,2020-05-26,26.0
East Midlands,E12000004,2020,5,22,2020-05-27,23.0
East Midlands,E12000004,2020,5,22,2020-05-28,26.0
East Midlands,E12000004,2020,5,22,2020-05-29,17.0
East Midlands,E12000004,2020,5,22,2020-05-30,25.0
East Midlands,E12000004,2020,5,22,2020-05-31,22.0
East Midlands,E12000004,2020,6,23,2020-06-01,21.0
East Midlands,E12000004,2020,6,23,2020-06-02,14.0
East Midlands,E12000004,2020,6,23,2020-06-03,23.0
East Midlands,E12000004,2020,6,23,2020-06-04,19.0
East Midlands,E12000004,2020,6,23,2020-06-05,11.0
East Midlands,E12000004,2020,6,23,2020-06-06,23.0
East Midlands,E12000004,2020,6,23,2020-06-07,13.0
East Midlands,E12000004,2020,6,24,2020-06-08,21.0
East Midlands,E12000004,2020,6,24,2020-06-09,17.0
East Midlands,E12000004,2020,6,24,2020-06-10,14.0
East Midlands,E12000004,2020,6,24,2020-06-11,22.0
East Midlands,E12000004,2020,6,24,2020-06-12,21.0
East Midlands,E12000004,2020,6,24,2020-06-13,8.0
East Midlands,E12000004,2020,6,24,2020-06-14,13.0
East Midlands,E12000004,2020,6,25,2020-06-15,17.0
East Midlands,E12000004,2020,6,25,2020-06-16,13.0
East Midlands,E12000004,2020,6,25,2020-06-17,10.0
East Midlands,E12000004,2020,6,25,2020-06-18,14.0
East Midlands,E12000004,2020,6,25,2020-06-19,10.0
East Midlands,E12000004,2020,6,25,2020-06-20,13.0
East Midlands,E12000004,2020,6,25,2020-06-21,12.0
East Midlands,E12000004,2020,6,26,2020-06-22,9.0
East Midlands,E12000004,2020,6,26,2020-06-23,9.0
East Midlands,E12000004,2020,6,26,2020-06-24,11.0
East Midlands,E12000004,2020,6,26,2020-06-25,15.0
East Midlands,E12000004,2020,6,26,2020-06-26,9.0
East Midlands,E12000004,2020,6,26,2020-06-27,8.0
East Midlands,E12000004,2020,6,26,2020-06-28,4.0
East Midlands,E12000004,2020,6,27,2020-06-29,9.0
East Midlands,E12000004,2020,6,27,2020-06-30,6.0
East Midlands,E12000004,2020,7,27,2020-07-01,5.0
East Midlands,E12000004,2020,7,27,2020-07-02,7.0
East Midlands,E12000004,2020,7,27,2020-07-03,5.0
East Midlands,E12000004,2020,7,27,2020-07-04,3.0
East Midlands,E12000004,2020,7,27,2020-07-05,7.0
East Midlands,E12000004,2020,7,28,2020-07-06,3.0
East Midlands,E12000004,2020,7,28,2020-07-07,5.0
East Midlands,E12000004,2020,7,28,2020-07-08,5.0
East Midlands,E12000004,2020,7,28,2020-07-09,5.0
East Midlands,E12000004,2020,7,28,2020-07-10,4.0
East Midlands,E12000004,2020,7,28,2020-07-11,2.0
East Midlands,E12000004,2020,7,28,2020-07-12,5.0
East Midlands,E12000004,2020,7,29,2020-07-13,5.0
East Midlands,E12000004,2020,7,29,2020-07-14,3.0
East Midlands,E12000004,2020,7,29,2020-07-15,6.0
East Midlands,E12000004,2020,7,29,2020-07-16,5.0
East Midlands,E12000004,2020,7,29,2020-07-17,6.0
East Midlands,E12000004,2020,7,29,2020-07-18,3.0
East Midlands,E12000004,2020,7,29,2020-07-19,4.0
East Midlands,E12000004,2020,7,30,2020-07-20,4.0
East Midlands,E12000004,2020,7,30,2020-07-21,7.0
East Midlands,E12000004,2020,7,30,2020-07-22,2.0
East Midlands,E12000004,2020,7,30,2020-07-23,4.0
East Midlands,E12000004,2020,7,30,2020-07-24,4.0
East Midlands,E12000004,2020,7,30,2020-07-25,2.0
East Midlands,E12000004,2020,7,30,2020-07-26,5.0
East Midlands,E12000004,2020,7,31,2020-07-27,2.0
East Midlands,E12000004,2020,7,31,2020-07-28,1.0
East Midlands,E12000004,2020,7,31,2020-07-29,3.0
East Midlands,E12000004,2020,7,31,2020-07-30,2.0
East Midlands,E12000004,2020,7,31,2020-07-31,1.0
East Midlands,E12000004,2020,8,31,2020-08-01,3.0
East Midlands,E12000004,2020,8,31,2020-08-02,2.0
East Midlands,E12000004,2020,8,32,2020-08-03,0.0
East Midlands,E12000004,2020,8,32,2020-08-04,2.0
East Midlands,E12000004,2020,8,32,2020-08-05,2.0
East Midlands,E12000004,2020,8,32,2020-08-06,0.0
East Midlands,E12000004,2020,8,32,2020-08-07,3.0
East Midlands,E12000004,2020,8,32,2020-08-08,3.0
East Midlands,E12000004,2020,8,32,2020-08-09,1.0
East Midlands,E12000004,2020,8,33,2020-08-10,1.0
East Midlands,E12000004,2020,8,33,2020-08-11,0.0
East Midlands,E12000004,2020,8,33,2020-08-12,2.0
East Midlands,E12000004,2020,8,33,2020-08-13,2.0
East Midlands,E12000004,2020,8,33,2020-08-14,2.0
East Midlands,E12000004,2020,8,33,2020-08-15,0.0
East Midlands,E12000004,2020,8,33,2020-08-16,2.0
East Midlands,E12000004,2020,8,34,2020-08-17,4.0
East Midlands,E12000004,2020,8,34,2020-08-18,0.0
East Midlands,E12000004,2020,8,34,2020-08-19,1.0
East Midlands,E12000004,2020,8,34,2020-08-20,2.0
East Midlands,E12000004,2020,8,34,2020-08-21,1.0
East Midlands,E12000004,2020,8,34,2020-08-22,1.0
East Midlands,E12000004,2020,8,34,2020-08-23,0.0
East Midlands,E12000004,2020,8,35,2020-08-24,0.0
East Midlands,E12000004,2020,8,35,2020-08-25,4.0
East Midlands,E12000004,2020,8,35,2020-08-26,0.0
East Midlands,E12000004,2020,8,35,2020-08-27,1.0
East Midlands,E12000004,2020,8,35,2020-08-28,0.0
East Midlands,E12000004,2020,8,35,2020-08-29,1.0
East Midlands,E12000004,2020,8,35,2020-08-30,3.0
East Midlands,E12000004,2020,8,36,2020-08-31,4.0
East Midlands,E12000004,2020,9,36,2020-09-01,2.0
East Midlands,E12000004,2020,9,36,2020-09-02,2.0
East Midlands,E12000004,2020,9,36,2020-09-03,0.0
East Midlands,E12000004,2020,9,36,2020-09-04,5.0
East Midlands,E12000004,2020,9,36,2020-09-05,0.0
East Midlands,E12000004,2020,9,36,2020-09-06,1.0
East Midlands,E12000004,2020,9,37,2020-09-07,2.0
East Midlands,E12000004,2020,9,37,2020-09-08,0.0
East Midlands,E12000004,2020,9,37,2020-09-09,1.0
East Midlands,E12000004,2020,9,37,2020-09-10,1.0
East Midlands,E12000004,2020,9,37,2020-09-11,2.0
East Midlands,E12000004,2020,9,37,2020-09-12,5.0
East Midlands,E12000004,2020,9,37,2020-09-13,1.0
East Midlands,E12000004,2020,9,38,2020-09-14,1.0
East Midlands,E12000004,2020,9,38,2020-09-15,1.0
East Midlands,E12000004,2020,9,38,2020-09-16,2.0
East Midlands,E12000004,2020,9,38,2020-09-17,0.0
East Midlands,E12000004,2020,9,38,2020-09-18,1.0
East Midlands,E12000004,2020,9,38,2020-09-19,3.0
East Midlands,E12000004,2020,9,38,2020-09-20,1.0
East Midlands,E12000004,2020,9,39,2020-09-21,5.0
East Midlands,E12000004,2020,9,39,2020-09-22,2.0
East Midlands,E12000004,2020,9,39,2020-09-23,2.0
East Midlands,E12000004,2020,9,39,2020-09-24,2.0
East Midlands,E12000004,2020,9,39,2020-09-25,3.0
East Midlands,E12000004,2020,9,39,2020-09-26,1.0
East Midlands,E12000004,2020,9,39,2020-09-27,2.0
East Midlands,E12000004,2020,9,40,2020-09-28,1.0
East Midlands,E12000004,2020,9,40,2020-09-29,3.0
East Midlands,E12000004,2020,9,40,2020-09-30,1.0
East Midlands,E12000004,2020,10,40,2020-10-01,2.0
East Midlands,E12000004,2020,10,40,2020-10-02,1.0
East Midlands,E12000004,2020,10,40,2020-10-03,7.0
East Midlands,E12000004,2020,10,40,2020-10-04,3.0
East Midlands,E12000004,2020,10,41,2020-10-05,2.0
East Midlands,E12000004,2020,10,41,2020-10-06,4.0
East Midlands,E12000004,2020,10,41,2020-10-07,4.0
East Midlands,E12000004,2020,10,41,2020-10-08,2.0
East Midlands,E12000004,2020,10,41,2020-10-09,6.0
East Midlands,E12000004,2020,10,41,2020-10-10,4.0
East Midlands,E12000004,2020,10,41,2020-10-11,8.0
East Midlands,E12000004,2020,10,42,2020-10-12,6.0
East Midlands,E12000004,2020,10,42,2020-10-13,12.0
East Midlands,E12000004,2020,10,42,2020-10-14,8.0
East Midlands,E12000004,2020,10,42,2020-10-15,14.0
East Midlands,E12000004,2020,10,42,2020-10-16,10.0
East Midlands,E12000004,2020,10,42,2020-10-17,17.0
East Midlands,E12000004,2020,10,42,2020-10-18,7.0
East Midlands,E12000004,2020,10,43,2020-10-19,10.0
East Midlands,E12000004,2020,10,43,2020-10-20,17.0
East Midlands,E12000004,2020,10,43,2020-10-21,10.0
East Midlands,E12000004,2020,10,43,2020-10-22,29.0
East Midlands,E12000004,2020,10,43,2020-10-23,20.0
East Midlands,E12000004,2020,10,43,2020-10-24,21.0
East Midlands,E12000004,2020,10,43,2020-10-25,22.0
East Midlands,E12000004,2020,10,44,2020-10-26,21.0
East Midlands,E12000004,2020,10,44,2020-10-27,25.0
East Midlands,E12000004,2020,10,44,2020-10-28,29.0
East Midlands,E12000004,2020,10,44,2020-10-29,23.0
East Midlands,E12000004,2020,10,44,2020-10-30,31.0
East Midlands,E12000004,2020,10,44,2020-10-31,28.0
East Midlands,E12000004,2020,11,44,2020-11-01,36.0
East Midlands,E12000004,2020,11,45,2020-11-02,37.0
East Midlands,E12000004,2020,11,45,2020-11-03,28.0
East Midlands,E12000004,2020,11,45,2020-11-04,41.0
East Midlands,E12000004,2020,11,45,2020-11-05,28.0
East Midlands,E12000004,2020,11,45,2020-11-06,30.0
East Midlands,E12000004,2020,11,45,2020-11-07,31.0
East Midlands,E12000004,2020,11,45,2020-11-08,43.0
East Midlands,E12000004,2020,11,46,2020-11-09,51.0
East Midlands,E12000004,2020,11,46,2020-11-10,34.0
East Midlands,E12000004,2020,11,46,2020-11-11,27.0
East Midlands,E12000004,2020,11,46,2020-11-12,47.0
East Midlands,E12000004,2020,11,46,2020-11-13,42.0
East Midlands,E12000004,2020,11,46,2020-11-14,50.0
East Midlands,E12000004,2020,11,46,2020-11-15,45.0
East Midlands,E12000004,2020,11,47,2020-11-16,47.0
East Midlands,E12000004,2020,11,47,2020-11-17,44.0
East Midlands,E12000004,2020,11,47,2020-11-18,59.0
East Midlands,E12000004,2020,11,47,2020-11-19,52.0
East Midlands,E12000004,2020,11,47,2020-11-20,44.0
East Midlands,E12000004,2020,11,47,2020-11-21,46.0
East Midlands,E12000004,2020,11,47,2020-11-22,58.0
East Midlands,E12000004,2020,11,48,2020-11-23,50.0
East Midlands,E12000004,2020,11,48,2020-11-24,47.0
East Midlands,E12000004,2020,11,48,2020-11-25,52.0
East Midlands,E12000004,2020,11,48,2020-11-26,53.0
East Midlands,E12000004,2020,11,48,2020-11-27,59.0
East Midlands,E12000004,2020,11,48,2020-11-28,56.0
East Midlands,E12000004,2020,11,48,2020-11-29,52.0
East Midlands,E12000004,2020,11,49,2020-11-30,47.0
East Midlands,E12000004,2020,12,49,2020-12-01,54.0
East Midlands,E12000004,2020,12,49,2020-12-02,45.0
East Midlands,E12000004,2020,12,49,2020-12-03,53.0
East Midlands,E12000004,2020,12,49,2020-12-04,54.0
East Midlands,E12000004,2020,12,49,2020-12-05,41.0
East Midlands,E12000004,2020,12,49,2020-12-06,48.0
East Midlands,E12000004,2020,12,50,2020-12-07,50.0
East Midlands,E12000004,2020,12,50,2020-12-08,36.0
East Midlands,E12000004,2020,12,50,2020-12-09,51.0
East Midlands,E12000004,2020,12,50,2020-12-10,44.0
East Midlands,E12000004,2020,12,50,2020-12-11,55.0
East Midlands,E12000004,2020,12,50,2020-12-12,54.0
East Midlands,E12000004,2020,12,50,2020-12-13,46.0
East Midlands,E12000004,2020,12,51,2020-12-14,61.0
East Midlands,E12000004,2020,12,51,2020-12-15,40.0
East Midlands,E12000004,2020,12,51,2020-12-16,43.0
East Midlands,E12000004,2020,12,51,2020-12-17,54.0
East Midlands,E12000004,2020,12,51,2020-12-18,66.0
East Midlands,E12000004,2020,12,51,2020-12-19,37.0
East Midlands,E12000004,2020,12,51,2020-12-20,48.0
East Midlands,E12000004,2020,12,52,2020-12-21,57.0
East Midlands,E12000004,2020,12,52,2020-12-22,53.0
East Midlands,E12000004,2020,12,52,2020-12-23,45.0
East Midlands,E12000004,2020,12,52,2020-12-24,36.0
East Midlands,E12000004,2020,12,52,2020-12-25,48.0
East Midlands,E12000004,2020,12,52,2020-12-26,50.0
East Midlands,E12000004,2020,12,52,2020-12-27,52.0
East Midlands,E12000004,2020,12,53,2020-12-28,31.0
East Midlands,E12000004,2020,12,53,2020-12-29,56.0
East Midlands,E12000004,2020,12,53,2020-12-30,59.0
East Midlands,E12000004,2020,12,53,2020-12-31,58.0
East Midlands,E12000004,2021,1,53,2021-01-01,48.0
East Midlands,E12000004,2021,1,53,2021-01-02,56.0
East Midlands,E12000004,2021,1,53,2021-01-03,49.0
East Midlands,E12000004,2021,1,1,2021-01-04,57.0
East Midlands,E12000004,2021,1,1,2021-01-05,65.0
East Midlands,E12000004,2021,1,1,2021-01-06,65.0
East Midlands,E12000004,2021,1,1,2021-01-07,55.0
East Midlands,E12000004,2021,1,1,2021-01-08,64.0
East Midlands,E12000004,2021,1,1,2021-01-09,87.0
East Midlands,E12000004,2021,1,1,2021-01-10,58.0
East Midlands,E12000004,2021,1,2,2021-01-11,81.0
East Midlands,E12000004,2021,1,2,2021-01-12,84.0
East Midlands,E12000004,2021,1,2,2021-01-13,105.0
East Midlands,E12000004,2021,1,2,2021-01-14,94.0
East Midlands,E12000004,2021,1,2,2021-01-15,98.0
East Midlands,E12000004,2021,1,2,2021-01-16,100.0
East Midlands,E12000004,2021,1,2,2021-01-17,101.0
East Midlands,E12000004,2021,1,3,2021-01-18,97.0
East Midlands,E12000004,2021,1,3,2021-01-19,97.0
East Midlands,E12000004,2021,1,3,2021-01-20,103.0
East Midlands,E12000004,2021,1,3,2021-01-21,86.0
East Midlands,E12000004,2021,1,3,2021-01-22,78.0
East Midlands,E12000004,2021,1,3,2021-01-23,86.0
East Midlands,E12000004,2021,1,3,2021-01-24,93.0
East Midlands,E12000004,2021,1,4,2021-01-25,80.0
East Midlands,E12000004,2021,1,4,2021-01-26,94.0
East Midlands,E12000004,2021,1,4,2021-01-27,97.0
East Midlands,E12000004,2021,1,4,2021-01-28,83.0
East Midlands,E12000004,2021,1,4,2021-01-29,93.0
East Midlands,E12000004,2021,1,4,2021-01-30,78.0
East Midlands,E12000004,2021,1,4,2021-01-31,82.0
East Midlands,E12000004,2021,2,5,2021-02-01,83.0
East Midlands,E12000004,2021,2,5,2021-02-02,82.0
East Midlands,E12000004,2021,2,5,2021-02-03,78.0
East Midlands,E12000004,2021,2,5,2021-02-04,66.0
East Midlands,E12000004,2021,2,5,2021-02-05,68.0
East Midlands,E12000004,2021,2,5,2021-02-06,57.0
East Midlands,E12000004,2021,2,5,2021-02-07,71.0
East Midlands,E12000004,2021,2,6,2021-02-08,64.0
East Midlands,E12000004,2021,2,6,2021-02-09,77.0
East Midlands,E12000004,2021,2,6,2021-02-10,52.0
East Midlands,E12000004,2021,2,6,2021-02-11,55.0
East Midlands,E12000004,2021,2,6,2021-02-12,60.0
East Midlands,E12000004,2021,2,6,2021-02-13,44.0
East Midlands,E12000004,2021,2,6,2021-02-14,56.0
East Midlands,E12000004,2021,2,7,2021-02-15,71.0
East Midlands,E12000004,2021,2,7,2021-02-16,69.0
East Midlands,E12000004,2021,2,7,2021-02-17,40.0
East Midlands,E12000004,2021,2,7,2021-02-18,45.0
East Midlands,E12000004,2021,2,7,2021-02-19,32.0
East Midlands,E12000004,2021,2,7,2021-02-20,49.0
East Midlands,E12000004,2021,2,7,2021-02-21,28.0
East Midlands,E12000004,2021,2,8,2021-02-22,27.0
East Midlands,E12000004,2021,2,8,2021-02-23,35.0
East Midlands,E12000004,2021,2,8,2021-02-24,36.0
East Midlands,E12000004,2021,2,8,2021-02-25,35.0
East Midlands,E12000004,2021,2,8,2021-02-26,26.0
East Midlands,E12000004,2021,2,8,2021-02-27,31.0
East Midlands,E12000004,2021,2,8,2021-02-28,36.0
East Midlands,E12000004,2021,3,9,2021-03-01,18.0
