start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Community radio,3,1,2,1,1,-,1,-,2,-,1,-,2,1,-,-,2,-,1,-,-,-,-,-,-,-,3
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,"Smart speaker (e.g. Amazon Echo, Google Home)",3,3,-,-,-,-,1,-,1,1,1,1,1,-,-,-,-,-,1,2,-,-,-,-,-,-,3
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Weighted base,189,92,97,31,30,39,31,31,25,31,55,52,40,42,26,9,26,11,12,14,9,17,29,16,16,3,151
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Celebrity and/or social media influencer,3,3,-,3,3,-,-,-,-,-,1,-,3,-,-,-,-,-,-,-,-,-,3,-,-,-,3
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Sky,3,2,1,-,-,-,-,2,1,-,-,2,2,-,-,-,-,-,-,1,-,-,-,1,2,-,3
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,WhatsApp,3,2,,1,1,-,1,,-,-,1,,1,-,-,-,,-,1,-,-,-,1,1,-,-,3
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Direct from UK Government website/ email/ text/ post,3,2,1,1,1,-,1,-,-,1,1,1,1,-,1,1,-,-,1,-,-,-,-,-,-,-,2
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Direct from Local health service website/ email/ text/ post,2,2,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,1,-,-,-,-,-,2,-,2
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Advertising,2,1,2,2,1,-,-,-,1,-,-,1,1,1,1,-,1,-,-,1,-,-,-,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Podcasts,2,2,-,-,-,1,-,-,1,-,-,1,1,-,-,-,-,-,1,-,-,-,1,-,-,-,2
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Snapchat,2,1,1,1,1,-,2,-,-,-,1,1,-,-,-,-,1,-,1,-,-,-,1,-,-,-,2
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Channel 4,2,2,-,-,-,1,-,-,,1,2,,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",2,2,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,2
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,“Broadsheets” such as The Times or Guardian,2,1,,-,-,,1,-,,-,1,,,-,-,-,-,-,1,-,1,-,-,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Weighted base,189,92,97,31,30,39,31,31,25,31,55,52,40,42,26,9,26,11,12,14,9,17,29,16,16,3,151
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),2,-,2,-,-,-,2,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,2
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Direct from NHS website/ email/ text/ post,2,2,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),1,1,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Facebook messenger,1,1,-,1,1,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Channel 5,1,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Direct from Local council website/ email/ text/ post,1,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,“Red-top tabloids” such as The Sun or Mirror ( online ),1,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,ITV Wales,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Apple iMessage,1,1,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Direct from World Health Organisation (WHO) website/ email/ text/ post,,-,,-,-,-,-,,-,-,-,,-,-,-,-,-,-,-,,-,-,-,-,-,-,
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Weighted base,189,92,97,31,30,39,31,31,25,31,55,52,40,42,26,9,26,11,12,14,9,17,29,16,16,3,151
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Other,19,10,9,5,5,2,3,3,1,5,6,9,2,3,3,-,2,1,-,-,1,2,5,1,4,1,14
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,NET: Broadcasters,30,12,18,2,2,8,5,6,7,2,10,7,10,4,2,1,4,3,2,3,1,2,2,3,7,1,25
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,NET: Non-BBC broadcasters,9,6,2,-,-,2,-,3,3,1,2,2,3,1,-,-,1,-,1,1,1,1,1,1,2,-,7
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,NET: BBC services,25,10,15,2,2,8,5,3,5,2,9,5,8,3,2,1,4,3,1,3,1,2,2,2,5,1,21
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,NET: Newspapers (printed and online),16,8,8,2,2,1,4,2,3,4,6,3,5,2,1,-,2,2,4,2,2,1,2,-,,-,12
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,NET: Officials,7,6,1,1,1,-,1,2,1,2,1,3,3,-,1,1,-,-,2,1,,-,-,-,2,-,6
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,NET: Social Media,96,46,49,16,16,26,18,16,11,8,27,27,19,22,16,6,15,3,5,4,4,8,15,12,6,1,74
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,NET: Facebook (Facebook and Facebook Messenger),75,32,43,9,9,19,18,13,8,7,18,20,17,20,15,4,13,1,4,4,3,6,9,10,5,1,56
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,NET: WhatsApp (WhatsApp and WhatsApp groups),4,2,1,2,2,-,1,,-,-,1,1,1,-,-,-,,-,1,-,-,-,1,2,-,-,4
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,NET: Closed groups,4,2,1,2,2,-,1,,-,-,1,1,1,-,-,-,,-,1,-,-,-,1,2,-,-,4
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,NET: Other online news sources,22,11,11,5,5,4,3,1,5,3,3,5,5,8,-,2,6,2,1,3,1,2,1,-,3,-,21
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,NET: Family/friends/ local ppl,23,13,11,4,4,3,5,5,5,2,5,9,5,4,2,1,2,2,2,5,-,,4,3,2,1,21
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Weighted base,189,92,97,31,30,39,31,31,25,31,55,52,40,42,26,9,26,11,12,14,9,17,29,16,16,3,151
2020-09-11,2020-09-13,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,NET: Traditional media,46,20,27,5,5,9,8,8,9,7,15,11,14,6,3,1,7,4,5,5,3,3,5,3,8,1,39
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Unweighted base,120,52,68,22,21,27,16,16,16,23,39,35,22,24,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Weighted base,114,54,61,24,22,29,14,13,12,23,38,30,22,25,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Facebook,50,21,29,12,12,13,6,4,4,12,18,12,9,10,,,,,,,,,,,,,
2020-05-29,2020-05-31,source_of_claims_about_the_potential_dangers_of_a_coronavirus_vaccine_reported_as_true,Twitter,20,10,9,6,6,4,3,2,2,4,7,7,2,3,,,,,,,,,,,,,
