start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Broadcasters,20,13,7,5,5,5,3,2,3,2,5,4,8,2
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Other,7,3,4,1,1,1,1,0,1,3,3,2,1,2
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Weighted base,185,108,77,25,25,40,32,35,24,29,59,45,37,43
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,“Red-top tabloids” such as The Sun or Mirror ( online ),1,0,1,0,0,1,0,0,0,0,0,0,0,1
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Channel 5,1,0,1,0,0,1,0,0,0,0,1,0,0,0
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Celebrity and/or social media influencer,1,0,1,1,1,,0,0,0,0,0,0,0,1
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Advertising,1,1,1,1,1,0,1,0,0,0,0,0,0,1
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",2,2,0,0,0,1,0,0,1,0,0,0,1,1
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,"Smart speaker (e.g. Amazon Echo, Google Home)",2,0,2,0,0,2,0,0,0,0,2,0,0,0
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Direct from UK Government website/ email/ text/ post,2,0,2,0,0,0,2,0,0,0,0,0,0,2
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Direct from NHS website/ email/ text/ post,2,0,2,0,0,0,2,0,0,0,0,0,0,2
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Direct from Local council website/ email/ text/ post,2,0,2,0,0,0,2,0,0,0,0,0,0,2
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Direct from World Health Organisation (WHO) website/ email/ text/ post,2,0,2,0,0,0,2,0,0,0,0,0,0,2
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Facebook messenger,2,1,1,0,0,1,1,0,0,0,2,0,0,0
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Weighted base,185,108,77,25,25,40,32,35,24,29,59,45,37,43
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Snapchat,2,1,1,1,1,0,1,0,0,0,1,1,0,0
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,WhatsApp,2,1,1,0,0,1,1,0,0,0,2,0,0,
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Facebook (Facebook and Facebook Messenger),80,42,38,13,13,18,13,21,6,8,27,18,15,21
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Sky,3,2,1,2,2,0,0,0,1,0,1,0,2,0
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Channel 4,3,0,3,0,0,1,2,0,0,0,1,0,0,2
2020-05-29,2020-05-31,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,BBC - Radio,4,2,2,0,0,2,1,0,0,2,4,0,0,0
