start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,“Broadsheets” such as The Times or Guardian,3,3,1,-,-,1,1,-,,1,1,1,1,-,1,-,-,-,-,-,,-,-,1,1,-,2
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),3,2,1,-,-,-,1,-,-,2,-,1,2,-,-,-,-,-,1,-,-,-,-,2,-,-,3
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Commercial Radio,3,1,2,1,1,-,-,-,2,-,1,-,2,1,-,-,2,-,1,1,-,-,-,-,-,-,3
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Apple iMessage,3,3,-,1,1,1,1,-,-,-,2,-,1,-,-,-,-,-,1,-,-,-,1,1,-,-,3
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Official scientists,3,1,1,1,1,-,1,-,,-,1,,1,-,-,-,-,-,1,-,,-,-,1,-,-,2
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Direct from World Health Organisation (WHO) website/ email/ text/ post,3,1,1,-,-,2,1,,-,-,1,1,1,-,1,-,1,-,-,,-,-,-,1,-,-,2
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Direct from UK Government website/ email/ text/ post,2,1,1,-,-,1,1,-,-,-,1,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Direct from NHS website/ email/ text/ post,2,1,1,-,-,1,-,-,-,1,-,2,-,-,-,-,1,-,-,-,-,-,-,1,-,-,2
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Direct from Local council website/ email/ text/ post,2,2,-,-,-,2,-,-,,-,-,,2,-,-,-,-,-,-,-,,-,2,-,-,-,2
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Weighted base,254,124,130,30,29,49,46,41,41,47,62,74,66,52,30,10,37,20,22,15,15,20,32,27,19,8,202
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,“Broadsheets” such as The Times or Guardian ( online ),2,2,-,-,-,-,1,-,1,-,-,2,-,-,-,-,-,1,-,-,-,-,1,-,-,-,2
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Channel 4,2,2,-,-,-,1,-,-,,-,-,,1,-,-,-,-,-,-,-,,-,-,-,1,-,1
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Snapchat,2,2,-,1,1,-,1,-,-,-,1,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,2
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Community radio,2,-,2,-,-,-,-,-,2,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,2
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,ITV Wales,1,1,1,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,“Red-top tabloids” such as The Sun or Mirror ( online ),1,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Podcasts,1,1,1,1,1,-,1,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,1,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Direct from Local health service website/ email/ text/ post,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,"Smart speaker (e.g. Amazon Echo, Google Home)",1,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Magazines,1,-,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Advertising,1,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Weighted base,254,124,130,30,29,49,46,41,41,47,62,74,66,52,30,10,37,20,22,15,15,20,32,27,19,8,202
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Direct from Scotland Government website/ email/ text/ post,1,-,1,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Email,,,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,-,
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Other,23,13,10,1,1,1,2,5,9,6,3,9,6,5,3,-,5,1,2,2,2,3,2,1,2,2,16
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Broadcasters,31,20,11,2,2,4,4,2,8,11,8,8,10,5,1,-,8,5,-,-,4,-,3,3,5,1,25
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Non-BBC broadcasters,12,10,2,2,2,2,1,-,4,4,2,3,4,4,1,-,4,2,-,-,2,-,-,1,3,-,10
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: BBC services,30,19,11,2,2,4,4,2,7,11,8,8,10,4,1,-,7,5,-,-,4,-,3,3,5,1,24
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Newspapers (printed and online),19,15,4,-,-,3,3,5,2,6,3,7,7,1,1,-,2,2,2,-,,2,3,4,2,-,17
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Officials,9,5,4,1,1,4,2,,,1,2,4,3,-,1,-,1,-,2,,,-,2,3,-,-,8
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Social Media,152,60,92,22,22,37,32,25,20,16,39,43,39,31,18,8,24,8,13,10,8,13,17,20,10,5,121
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Facebook (Facebook and Facebook Messenger),111,39,72,10,10,25,28,20,13,15,25,30,30,25,16,4,16,4,11,8,5,11,12,13,7,4,87
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: WhatsApp (WhatsApp and WhatsApp groups),14,9,6,3,3,3,2,1,2,3,5,2,6,2,-,-,2,1,1,1,1,-,2,5,1,1,12
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Closed groups,12,7,4,3,3,3,1,1,2,3,3,2,6,1,-,-,2,1,2,-,-,1,3,4,-,-,12
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Weighted base,254,124,130,30,29,49,46,41,41,47,62,74,66,52,30,10,37,20,22,15,15,20,32,27,19,8,202
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Other online news sources,41,26,15,1,1,12,9,5,8,7,12,10,12,7,3,2,5,3,5,-,2,4,8,3,6,1,36
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Family/friends/ local ppl,38,17,21,4,3,8,9,3,6,9,8,8,10,12,4,-,9,7,3,2,3,2,2,1,5,1,31
2020-09-11,2020-09-13,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,NET: Traditional media,48,33,15,3,3,5,6,7,11,16,10,14,15,7,3,-,9,8,3,1,4,2,6,6,6,1,40
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Unweighted base,235,102,133,28,24,37,40,45,32,53,70,60,52,53,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Weighted base,243,108,136,34,29,40,38,43,33,55,69,67,52,55,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Facebook,92,34,57,9,9,20,15,16,20,11,22,22,20,28,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Family and friends directly,34,10,24,2,2,6,7,9,3,7,7,8,9,10,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Twitter,30,11,20,10,9,6,5,4,1,4,11,5,7,7,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,BBC - TV,23,20,3,-,-,-,2,3,4,14,4,7,4,9,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Unspecified social media,15,8,7,3,3,3,2,3,-,4,7,2,2,4,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Websites or apps that bring together news from different news providers,14,3,11,1,1,4,3,1,3,2,2,5,6,,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,Instagram,13,3,9,8,5,4,1,-,-,-,5,-,2,5,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,“Mid-market tabloids” such as MailOnline or Express ( online ),11,2,9,-,-,3,2,2,1,3,6,3,-,2,,,,,,,,,,,,,
2020-08-07,2020-08-09,source_of_claims_about_about_masks_offering_no_protection_or_being_harmful__as_true,YouTube,9,5,4,1,1,1,5,1,1,-,1,2,4,2,,,,,,,,,,,,,
