table,question,date,response,I find it hard to know what is true and what is false about Coronavirus,I am trying to avoid news about Coronavirus,The mainstream media is exaggerating the seriousness of Coronavirus,"This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",I am confused about what I should be doing in response to Coronavirus,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Neither agree nor    (0) disagree,,,,,,265,129,137,53,50,66,52,37,33,24,65,65,72,63,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Slightly disagree   (-1),,,,,,71,35,35,13,10,15,13,10,7,13,24,22,10,15,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Strongly disagree   (-2),,,,,,36,28,9,2,2,10,6,7,3,8,8,8,12,9,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Disagree,,,,,,107,63,44,15,12,25,19,17,10,21,31,30,21,24,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Mean,,,,,,1.14,1.08,1.2,0.99,0.99,0.94,1.04,1.22,1.22,1.33,1.14,1.18,1.08,1.15,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,,,,,,0.88,0.92,0.84,0.84,0.84,0.95,0.9,0.88,0.8,0.83,0.87,0.86,0.93,0.87,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,,,,,,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,,,,,,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Agree,,,,,,346,177,170,48,45,74,77,52,45,51,95,101,69,81,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Strongly agree      (+2),,,,,,67,34,33,7,7,15,15,14,11,6,14,18,8,26,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Slightly agree      (+1),,,,,,279,142,137,41,38,59,62,38,34,45,81,83,61,54,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Neither agree nor    (0) disagree,,,,,,382,198,183,57,55,87,62,59,43,74,81,96,97,108,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Slightly disagree   (-1),,,,,,671,306,366,103,90,99,97,115,100,157,185,194,132,160,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Strongly disagree   (-2),,,,,,736,364,373,86,78,97,95,141,120,197,220,211,135,170,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Disagree,,,,,,1408,670,738,190,168,196,192,256,220,354,405,405,267,331,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Mean,,,,,,,-0.79,-0.83,,,,,-0.9,-0.93,-1.03,-0.89,-0.82,-0.75,-0.76,,,,,,
Table 79,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,,,,,,1.14,1.16,1.12,1.1,1.11,1.17,1.21,1.14,1.13,1.03,1.14,1.14,1.1,1.16,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2105,2105,2105,2105,2105,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2105,2105,2105,2105,2105,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,NET: Agree,840,687,511,1736,549,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Strongly agree      (+2),212,150,150,718,106,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Slightly agree      (+1),628,537,361,1018,443,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Neither agree nor    (0) disagree,495,498,525,277,379,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Slightly disagree   (-1),524,508,516,66,585,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Strongly disagree   (-2),246,412,553,27,592,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,NET: Disagree,770,920,1069,93,1177,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Mean,0.02,-0.23,-0.46,1.11,-0.53,,,,,,,,,,,,,,,,,,,,
Table 83,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,1.19,1.23,1.24,0.84,1.24,,,,,,,,,,,,,,,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,,,,,,2105,1038,1067,258,227,355,349,371,307,465,608,570,407,520,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,,,,,,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,NET: Agree,,,,,,840,366,473,127,111,170,129,140,115,157,201,243,188,208,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Strongly agree      (+2),,,,,,212,92,120,35,33,40,36,39,39,23,55,54,50,53,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Slightly agree      (+1),,,,,,628,274,353,92,79,130,94,102,76,134,146,189,138,155,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Neither agree nor    (0) disagree,,,,,,495,243,252,62,54,65,77,90,75,126,132,137,97,129,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Slightly disagree   (-1),,,,,,524,277,247,72,64,78,85,87,78,124,149,150,101,123,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Strongly disagree   (-2),,,,,,246,143,103,30,19,37,35,45,34,65,90,63,41,52,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,NET: Disagree,,,,,,770,420,350,101,83,115,120,132,113,189,240,214,142,175,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Mean,,,,,,0.02,-0.1,0.13,0.11,0.17,0.17,0.03,0.01,0.02,-0.16,-0.13,0.03,0.13,0.07,,,,,,
Table 84,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,,,,,,1.19,1.2,1.17,1.2,1.18,1.21,1.19,1.2,1.22,1.13,1.23,1.17,1.18,1.17,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,,,,,,2105,1038,1067,258,227,355,349,371,307,465,608,570,407,520,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,,,,,,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,NET: Agree,,,,,,687,308,378,117,99,153,108,123,75,112,199,180,165,143,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Strongly agree      (+2),,,,,,150,72,78,30,25,31,35,25,12,18,32,36,41,41,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Slightly agree      (+1),,,,,,537,237,300,87,75,122,73,98,63,94,168,144,124,102,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Neither agree nor    (0) disagree,,,,,,498,241,257,71,66,77,84,83,77,106,122,142,94,140,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Slightly disagree   (-1),,,,,,508,262,247,62,54,82,79,86,72,127,137,162,90,119,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Strongly disagree   (-2),,,,,,412,218,194,39,28,40,55,71,79,127,114,110,78,109,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,NET: Disagree,,,,,,920,480,440,102,82,122,134,156,151,254,251,272,168,228,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Mean,,,,,,,-0.31,,0.02,0.06,0.06,,,-0.48,-0.53,-0.24,-0.28,,-0.3,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,,,,,,1.23,1.23,1.22,1.21,1.17,1.18,1.25,1.23,1.19,1.19,1.22,1.19,1.27,1.23,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,,,,,,2105,1038,1067,258,227,355,349,371,307,465,608,570,407,520,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,,,,,,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,NET: Agree,,,,,,511,308,203,61,50,116,86,81,79,89,140,139,104,128,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Strongly agree      (+2),,,,,,150,102,48,7,7,28,32,29,32,22,41,48,27,34,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Slightly agree      (+1),,,,,,361,206,155,54,44,88,54,52,47,67,98,91,78,94,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Neither agree nor    (0) disagree,,,,,,525,251,274,76,63,90,82,89,66,122,116,127,122,160,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Slightly disagree   (-1),,,,,,516,232,284,94,82,77,83,91,68,103,158,163,93,103,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Strongly disagree   (-2),,,,,,553,238,315,60,52,68,75,101,91,159,159,165,108,121,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,NET: Disagree,,,,,,1069,470,599,154,134,145,158,192,158,262,317,328,201,224,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Mean,,,,,,,,-0.62,-0.5,-0.52,,,-0.5,,-0.66,-0.51,-0.52,-0.42,-0.36,,,,,,
Table 86,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,,,,,,1.24,1.29,1.17,1.08,1.09,1.24,1.27,1.26,1.34,1.21,1.26,1.26,1.22,1.21,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,,,,,,2105,1038,1067,258,227,355,349,371,307,465,608,570,407,520,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,,,,,,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,NET: Agree,,,,,,1736,827,909,229,194,286,247,305,253,416,467,505,344,420,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Strongly agree      (+2),,,,,,718,327,391,83,70,99,106,133,100,196,187,210,153,167,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Slightly agree      (+1),,,,,,1018,500,518,146,124,187,141,172,153,220,281,294,191,252,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Neither agree nor    (0) disagree,,,,,,277,154,122,49,43,39,63,41,39,45,73,72,59,72,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Slightly disagree   (-1),,,,,,66,38,28,10,9,16,13,11,10,6,26,9,16,14,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Strongly disagree   (-2),,,,,,27,10,17,3,3,9,3,5,1,5,6,7,9,5,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,NET: Disagree,,,,,,93,48,45,13,12,26,16,16,11,12,32,17,24,19,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Mean,,,,,,1.11,1.07,1.15,1.02,1,1,1.02,1.15,1.13,1.26,1.08,1.16,1.09,1.1,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,,,,,,0.84,0.84,0.84,0.83,0.84,0.91,0.87,0.84,0.78,0.77,0.85,0.79,0.9,0.81,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,,,,,,2105,1038,1067,258,227,355,349,371,307,465,608,570,407,520,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,,,,,,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,NET: Agree,,,,,,549,235,314,97,85,129,107,74,46,96,161,147,118,123,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Strongly agree      (+2),,,,,,106,45,61,21,18,32,21,16,4,12,29,32,26,20,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Slightly agree      (+1),,,,,,443,190,253,77,67,96,86,58,42,84,132,115,92,104,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Neither agree nor    (0) disagree,,,,,,379,188,191,49,44,71,48,74,56,80,89,91,93,106,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Slightly disagree   (-1),,,,,,585,287,298,86,78,92,85,108,74,139,155,188,109,132,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Strongly disagree   (-2),,,,,,592,319,273,58,41,59,85,106,127,157,168,167,108,149,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,NET: Disagree,,,,,,1177,607,570,144,119,151,170,214,201,297,323,355,217,282,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Mean,,,,,,,-0.63,,,,,,,-0.92,,-0.53,-0.58,-0.42,-0.56,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,,,,,,1.24,1.22,1.25,1.25,1.22,1.25,1.3,1.18,1.13,1.17,1.27,1.23,1.24,1.21,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,2125,2125,2125,2125,2125,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,2125,2125,2125,2125,2125,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Agree,738,574,378,1768,352,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Strongly agree      (+2),138,111,104,822,58,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Slightly agree      (+1),600,463,275,946,294,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Neither agree nor    (0) disagree,509,501,505,252,378,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Slightly disagree   (-1),557,512,476,62,652,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Strongly disagree   (-2),321,538,766,43,743,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Disagree,878,1050,1241,105,1395,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,-0.15,-0.43,-0.72,1.15,-0.81,,,,,,,,,,,,,,,,,,,,
Table 74,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,1.18,1.22,1.21,0.88,1.14,,,,,,,,,,,,,,,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,,,,,,2125,1067,1058,274,243,347,295,365,334,510,516,606,460,543,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,,,,,,2125,1039,1086,293,259,354,329,365,306,477,578,599,431,517,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Agree,,,,,,738,311,427,121,99,140,122,116,81,159,172,214,162,190,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Strongly agree      (+2),,,,,,138,54,84,19,18,31,29,21,16,22,33,25,37,43,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Slightly agree      (+1),,,,,,600,257,343,102,81,109,94,94,65,136,139,189,125,147,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Neither agree nor    (0) disagree,,,,,,509,248,261,71,68,76,71,83,86,122,123,136,111,139,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Slightly disagree   (-1),,,,,,557,288,269,67,58,98,86,102,85,119,176,174,100,107,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Strongly disagree   (-2),,,,,,321,192,129,35,34,41,50,65,54,77,108,75,58,80,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Disagree,,,,,,878,480,398,102,92,138,136,167,139,196,283,250,158,187,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,,,,,,,-0.3,,0.01,,,,-0.26,-0.31,-0.19,-0.32,,,,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,,,,,,1.18,1.18,1.16,1.14,1.16,1.18,1.22,1.19,1.14,1.15,1.19,1.12,1.19,1.2,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,,,,,,2125,1067,1058,274,243,347,295,365,334,510,516,606,460,543,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,,,,,,2125,1039,1086,293,259,354,329,365,306,477,578,599,431,517,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Agree,,,,,,574,239,335,95,82,140,101,85,54,98,148,183,107,135,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Strongly agree      (+2),,,,,,111,52,59,24,18,25,27,9,11,15,37,26,19,28,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Slightly agree      (+1),,,,,,463,187,276,72,63,115,75,76,43,83,111,157,88,107,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Neither agree nor    (0) disagree,,,,,,501,241,260,72,64,89,79,87,65,109,137,136,112,116,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Slightly disagree   (-1),,,,,,512,263,249,86,78,78,73,75,93,107,146,145,104,117,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Strongly disagree   (-2),,,,,,538,296,243,39,35,48,76,117,94,164,147,134,108,149,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Disagree,,,,,,1050,559,492,126,113,125,149,193,187,271,293,280,212,266,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,,,,,,,-0.54,,,,,,-0.59,-0.7,-0.68,-0.44,-0.34,-0.45,-0.49,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,,,,,,1.22,1.22,1.22,1.17,1.16,1.17,1.27,1.21,1.15,1.2,1.23,1.21,1.2,1.25,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,,,,,,2125,1067,1058,274,243,347,295,365,334,510,516,606,460,543,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,,,,,,2125,1039,1086,293,259,354,329,365,306,477,578,599,431,517,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Agree,,,,,,378,215,163,63,51,75,77,53,50,59,93,110,72,102,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Strongly agree      (+2),,,,,,104,62,41,14,12,17,33,17,10,12,30,25,19,29,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Slightly agree      (+1),,,,,,275,153,122,49,39,58,44,36,40,47,63,86,53,73,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Neither agree nor    (0) disagree,,,,,,505,238,268,78,71,103,78,91,61,94,122,143,117,123,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Slightly disagree   (-1),,,,,,476,238,238,90,79,84,66,79,65,92,147,136,89,104,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Strongly disagree   (-2),,,,,,766,348,417,62,58,93,108,142,130,232,216,210,152,187,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Disagree,,,,,,1241,586,655,152,137,176,174,221,195,324,363,346,242,291,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,,,,,,,,-0.8,,,,,,-0.86,-1.01,-0.79,-0.7,-0.7,-0.67,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,,,,,,1.21,1.25,1.18,1.14,1.13,1.18,1.34,1.19,1.2,1.15,1.2,1.2,1.2,1.25,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,,,,,,2125,1067,1058,274,243,347,295,365,334,510,516,606,460,543,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,,,,,,2125,1039,1086,293,259,354,329,365,306,477,578,599,431,517,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Agree,,,,,,1768,840,928,232,203,281,266,292,259,437,503,496,355,414,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Strongly agree      (+2),,,,,,822,358,464,85,73,90,116,160,129,242,226,223,169,204,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 3rd to 5th April 2020,Slightly agree      (+1),,,,,,946,482,464,147,130,191,150,133,130,195,277,273,186,210,,,,,,
