table,question,date,response,I find it hard to know what is true and what is false about Coronavirus,I am trying to avoid news about Coronavirus,The mainstream media is exaggerating the seriousness of Coronavirus,"This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",I am confused about what I should be doing in response to Coronavirus,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Strongly disagree   (-2),,,,,,508,278,230,45,41,45,70,107,89,152,144,129,123,112,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Disagree,,,,,,1032,525,507,118,99,133,166,185,181,250,276,302,223,232,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Mean,,,,,,,-0.48,,,,*a,,,-0.71,-0.58,-0.37,-0.42,-0.44,-0.35,,,,,,
Table 87,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,,,,,,1.22,1.22,1.22,1.23,1.25,1.21,1.17,1.26,1.08,1.21,1.26,1.16,1.3,1.19,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,,,,,,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,,,,,,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Agree,,,,,,363,213,150,82,75,87,63,46,31,54,110,77,84,93,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Strongly agree      (+2),,,,,,106,67,39,21,19,31,23,15,4,12,32,22,23,28,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Slightly agree      (+1),,,,,,258,146,111,62,56,56,40,31,27,42,78,55,60,65,,,,,,
Table 88,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Neither agree nor    (0) disagree,,,,,,510,256,255,73,63,72,90,85,72,119,130,131,97,153,,,,,,
