table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,Direct from Govt,99,39,60,19,14,20,16,16,12,17,34,18,27,20,4,6,9,14,13,8,1,10,11,11,10,2,25,34,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,Came Across Misleading Info/News, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,Yes,808,409,399,132,113,139,121,118,117,182,276,227,154,152,66,39,88,58,72,58,38,62,123,109,77,19,138,320,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,No,672,349,324,100,83,118,96,120,94,144,162,204,108,198,57,17,71,63,60,49,25,67,87,97,50,29,94,264,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Total,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Sources, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Broadcasters,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,541,612,681,133,516,130,137,474,557,1752,20,682,244,69,689,574,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Non-BBC broadcasters,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015,1015,826,326,380,442,87,343,90,99,292,362,1015,12,369,59,41,398,303,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,BBC services,1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563,826,1563,507,558,596,120,445,119,118,438,510,1563,18,682,244,55,609,525,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Newspapers (printed and online),620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,326,507,620,294,268,56,201,70,69,217,235,620,16,186,66,24,294,177,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Officials,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,380,558,294,724,372,83,289,97,98,264,302,653,19,180,68,99,349,192,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Social Media,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681,442,596,268,372,814,129,601,139,130,303,356,718,18,208,88,38,386,203,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,YouTube,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,87,120,56,83,129,182,109,47,51,72,89,142,11,34,17,2,87,53,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Total,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Facebook,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,343,445,201,289,601,109,617,97,132,227,281,543,13,172,55,31,277,157,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,WhatsApp,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,90,119,70,97,139,47,97,156,103,73,93,137,3,45,15,2,96,27,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Closed groups,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,99,118,69,98,130,51,132,103,163,76,93,149,4,40,18,6,94,28,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Other online news sources,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,292,438,217,264,303,72,227,73,76,565,246,508,32,162,65,26,267,161,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Family/friends/local ppl,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,362,510,235,302,356,89,281,93,93,246,620,579,13,205,77,29,300,165,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Traditional media,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,653,718,142,543,137,149,508,579,1854,27,682,244,76,732,601,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Non-mainstream media,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,12,18,16,19,18,11,13,3,4,32,13,27,32,1,1,1,19,9,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Total,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Top 3 Most Important Sources, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,BBC TV,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,369,682,186,180,208,34,172,45,40,162,205,682,1,682,-,-,236,238,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,BBC Online,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,59,244,66,68,88,17,55,15,18,65,77,244,1,-,244,-,98,89,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Direct from Govt,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,41,55,24,99,38,2,31,2,6,26,29,76,1,-,-,99,40,32,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Came Across Misleading Info/News, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,Yes,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689,398,609,294,349,386,87,277,96,94,267,300,732,19,236,98,40,808,-,,,,,,,,,,,,,,,,,,
Table 426,,ONLINE Fieldwork: 22nd to 24th May 2020,No,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,303,525,177,192,203,53,157,27,28,161,165,601,9,238,89,32,-,672,,,,,,,,,,,,,,,,,,
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Total,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Sources, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , 
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Broadcasters,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,136,116,101,232,95,85,582,634,547,343,1443,398,1591,1674,1709,1751,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Non-BBC broadcasters,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,104,77,71,148,67,61,362,399,302,204,857,246,947,974,992,1015,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,BBC services,1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,115,98,89,212,85,78,516,562,459,298,1295,352,1413,1498,1526,1562,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Newspapers (printed and online),620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,63,42,45,117,39,31,266,220,171,135,533,145,556,587,600,620,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Officials,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,78,63,63,140,61,49,325,266,242,160,611,167,669,688,705,724,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Social Media,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,87,82,72,131,59,54,339,334,284,172,660,209,734,765,787,813,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,YouTube,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,28,19,23,34,27,20,77,78,56,61,130,59,154,161,164,182,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Facebook,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,77,71,64,103,47,43,254,262,213,143,506,159,554,582,599,616,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,WhatsApp,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,26,27,24,38,22,25,80,63,55,47,128,57,142,143,150,156,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Closed groups,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,32,26,26,33,20,18,81,63,57,37,129,59,150,151,155,163,-
Table 427,,ONLINE Fieldwork: 22nd to 24th May 2020,Total,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**
