table,question,date,response,I find it hard to know what is true and what is false about Coronavirus,I am trying to avoid news about Coronavirus,The mainstream media is exaggerating the seriousness of Coronavirus,"This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",I am confused about what I should be doing in response to Coronavirus,I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases and deaths in the UK,I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the NHS available tomorrow,"On balance, I am comfortable that my child/ children is/are back at school",I am happy to be vaccinated against the Coronavirus,I follow international/ world news about Coronavirus,"On balance, I am happy that my child/ children is/are still able to go to school",I am confident that I understand the different rules that apply in each tier,I am confident that I understand the different rules that apply in each protection level,I intend to form a 'Christmas bubble' between 23-27 December,"I am confident that I understand the rules around forming a 'Christmas bubble', including who can be part of the bubble and the extra travel dates for Northern Ireland",I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the NHS available tomorrow
Table 296,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Disagree,803,841,1116,115,1197,,,,,,,,,,,
Table 296,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,-0.05,-0.16,-0.54,1.04,-0.59,,,,,,,,,,,
Table 296,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,1.21,1.22,1.25,0.89,1.2,,,,,,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2121,2121,2121,2121,,2121,,,2121,2121,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,2121,2121,2121,,2121,,,2121,2121,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,NET: Agree,643,673,437,1469,,1387,,,1733,1287,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Strongly agree      (+2),142,181,144,483,,476,,,1420,410,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Slightly agree      (+1),501,492,293,986,,911,,,314,877,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Neither agree nor    (0) disagree,540,609,573,451,,483,,,200,432,,,,,,
Table 129,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Slightly disagree   (-1),599,480,540,118,,188,,,66,241,,,,,,
