table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 133,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,NET: Closely,1907,914,993,254,218,309,281,335,280,448,516,543,382,466,155,74,213,157,168,133,93,180,254,264,165,52,1608,,,
Table 133,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,Very closely        (+2),1292,587,705,148,131,203,184,232,209,317,353,363,248,328,112,50,148,112,108,88,74,129,160,178,102,32,1074,,,
Table 133,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,Fairly closely      (+1),615,327,289,107,87,106,97,104,71,131,163,180,134,138,42,25,64,45,60,45,19,51,94,86,64,20,534,,,
Table 133,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,Not very closely    (-1),136,74,62,29,26,31,31,13,18,15,41,35,28,33,10,5,12,11,14,12,6,14,16,18,9,9,111,,,
Table 133,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,Not at all closely  (-2),58,39,18,6,6,11,13,13,5,9,15,14,17,12,11,4,7,3,2,6,1,3,7,6,6,2,44,,,
Table 133,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,NET: Not closely,194,114,80,35,33,42,45,26,23,23,55,49,44,45,21,9,20,14,16,18,7,18,23,24,14,11,155,,,
Table 133,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,Mean,1.4,1.31,1.49,1.24,1.24,1.31,1.25,1.46,1.52,1.55,1.4,1.42,1.33,1.44,1.34,1.33,1.43,1.48,1.41,1.31,1.59,1.46,1.39,1.43,1.38,1.11,1.41,,,
Table 133,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,0.98,1.05,0.9,1.03,1.06,1.06,1.12,0.94,0.9,0.81,0.99,0.94,1.04,0.96,1.14,1.09,0.98,0.91,0.9,1.08,0.86,0.95,0.94,0.93,0.95,1.19,0.96,,,
Table 141,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 141,Q13. How closely followed official advice in last week: Stay at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
