table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 300,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly disagree   (-2),365,206,159,32,24,33,60,64,69,108,113,95,71,86,34,15,39,38,35,17,15,40,44,50,31,9,,54,133,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 300,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Disagree,841,439,402,85,71,98,139,158,138,223,235,239,159,207,83,31,92,73,71,49,38,70,110,116,76,30,,123,312,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 300,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,,-0.27,,0.13,0.13,0.16,,,-0.42,-0.37,-0.22,-0.11,-0.1,-0.2,-0.3,-0.11,-0.16,-0.21,-0.17,0.12,-0.19,-0.21,-0.12,-0.19,-0.2,-0.17,,-0.08,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 300,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,1.22,1.22,1.2,1.18,1.14,1.15,1.26,1.23,1.15,1.21,1.22,1.22,1.23,1.19,1.2,1.25,1.21,1.34,1.22,1.24,1.13,1.16,1.21,1.19,1.2,1.29,,1.22,1.21,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 301,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,,,,
Table 301,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,,,,
Table 301,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Agree,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,302,459,171,242,284,56,213,55,57,195,214,583,8,180,85,41,295,181,,,,,,,,,,,,,,,,,,,,,
Table 301,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly agree      (+2),170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,58,96,37,53,67,21,54,17,18,33,45,128,4,26,16,9,74,43,,,,,,,,,,,,,,,,,,,,,
Table 301,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly agree      (+1),527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,244,363,135,189,217,35,159,37,40,162,169,455,3,154,69,32,222,138,,,,,,,,,,,,,,,,,,,,,
Table 301,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Neither agree nor    (0) disagree,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,247,403,135,151,209,57,160,43,41,127,146,480,11,190,57,28,196,166,,,,,,,,,,,,,,,,,,,,,
Table 301,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly disagree   (-1),475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,248,385,178,166,187,35,142,30,35,124,143,439,3,176,57,16,177,182,,,,,,,,,,,,,,,,,,,,,
Table 301,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly disagree   (-2),365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,218,316,135,165,134,34,102,28,30,119,117,352,10,135,45,15,140,144,,,,,,,,,,,,,,,,,,,,,
Table 301,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Disagree,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755,466,701,314,331,321,69,244,59,65,243,260,790,13,312,102,31,317,326,,,,,,,,,,,,,,,,,,,,,
Table 301,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.32,,-0.39,,,,,,,,,,-0.34,-0.35,-0.19,0.03,,-0.37,,,,,,,,,,,,,,,,,,,,,
Table 301,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,,,,
Table 302,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-,,,
Table 302,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**,,,
Table 302,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Agree,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,64,63,48,83,36,40,232,349,697,206,555,219,613,652,673,697,-,,,
Table 302,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly agree      (+2),170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,17,13,17,14,14,46,101,170,76,127,52,146,161,163,170,-,,,
Table 302,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly agree      (+1),527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,48,46,35,66,22,25,186,248,527,130,428,167,467,491,510,527,-,,,
Table 302,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Neither agree nor    (0) disagree,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,40,37,36,70,30,25,158,195,-,119,392,112,484,517,525,554,-,,,
Table 302,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly disagree   (-1),475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,30,22,24,59,29,21,152,150,-,69,405,89,446,459,464,475,-,,,
Table 302,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly disagree   (-2),365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,18,21,56,23,16,144,85,-,49,317,57,333,346,360,365,-,,,
Table 302,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Disagree,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,61,40,45,114,51,37,296,236,-,118,722,146,779,805,823,841,-,,,
Table 302,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,0.16,-0.03,-0.26,-0.21,0.01,-0.24,0.17,1.24,0.26,-0.21,0.14,-0.19,-0.17,-0.17,-0.16,-,,,
Table 302,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,1.26,1.21,1.24,1.22,1.28,1.29,1.24,1.2,0.43,1.23,1.23,1.2,1.21,1.22,1.22,1.22,-,,,
Table 131,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2121,1075,1046,262,231,362,323,335,342,497,615,578,401,527,184,77,215,161,188,150,131,204,290,276,169,76,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,1037,1084,293,257,354,329,365,305,475,577,598,431,515,177,84*,235,173,185,152,101,200,280,290,181,64*,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,NET: Agree,673,292,381,126,113,151,121,117,70,87,189,206,125,153,51,30,79,58,63,42,31,75,73,84,64,23,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Strongly agree      (+2),181,83,99,26,23,44,37,32,22,20,53,51,33,44,15,10,22,25,16,17,4,18,22,10,14,8,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Slightly agree      (+1),492,210,282,101,90,106,84,85,49,67,136,154,92,109,35,20,57,33,47,26,27,57,51,74,50,15,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Neither agree nor    (0) disagree,609,301,307,86,72,96,89,110,90,137,151,158,142,157,69,28,66,48,48,49,31,52,84,85,38,11,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Slightly disagree   (-1),480,239,241,55,47,71,81,80,76,119,147,141,94,98,31,15,49,41,37,45,20,36,65,68,55,17,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Strongly disagree   (-2),359,204,154,26,24,36,38,58,69,132,90,93,69,107,26,12,40,26,37,16,18,37,57,53,24,13,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,NET: Disagree,839,444,396,80,71,107,118,137,145,251,237,234,163,205,57,27,89,67,74,61,38,72,122,122,79,30,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Mean,,-0.26,,0.16,0.16,0.15,0.01,,,-0.58,-0.15,-0.12,-0.17,-0.22,-0.1,*,-0.12,-0.05,-0.18,-0.11,-0.2,-0.08,-0.3,-0.28,-0.14,-0.19,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 131,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,1.2,1.21,1.19,1.1,1.12,1.18,1.19,1.19,1.2,1.16,1.21,1.2,1.16,1.24,1.14,1.21,1.23,1.27,1.26,1.15,1.15,1.25,1.21,1.14,1.19,1.34,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,1014,1112,222,190,341,393,415,314,441,616,610,426,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,1040,1086,293,252,355,329,366,306,477,579,599,432,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
