table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Eastern (v),South East (x),South West (y),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.85,0.79,0.92,0.88,0.91,0.89,0.76,0.99,0.87,0.75,0.91,0.85,0.84,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,177,84,93,,,,,,,,60,53,21,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,35,25,30,30,43
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,186,90*,96*,,,,,,,,45*,56*,29**,56*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15**,36**,28**,36**,27**,45*
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,NET: More,112,49,63,,,,,,,,29,32,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,24,13,21,13,30
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,A lot more          (+3),50,17,33,,,,,,,,15,12,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,5,9,7,11
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,A little more       (+2),62,32,30,,,,,,,,14,19,7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,8,12,6,19
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,About the same      (+1),64,38,26,,,,,,,,13,21,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,14,13,11,11
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Don't use            (0),10,3,7,,,,,,,,3,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,3
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Mean,1.81,1.7,1.92,,,,,,,,1.91,1.72,1.4,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,1.98,1.61,1.84,1.67,1.86
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,0.9,0.81,0.96,,,,,,,,0.96,0.88,0.73,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,0.89,0.82,0.85,0.99,0.89
Table 26,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,182,89,93,22,22,25,30,29,28,48,50,55,25,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,179,84*,95*,19**,19**,26**,29**,33**,27**,46*,45*,57*,27**,51*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,NET: More,68,29,39,7,7,17,7,12,14,11,18,18,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,A lot more          (+3),21,10,11,2,2,6,2,6,1,4,4,8,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,A little more       (+2),47,19,28,5,5,11,5,6,13,7,13,10,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,About the same      (+1),94,51,43,10,10,9,20,21,11,23,23,34,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Don't use            (0),16,4,13,2,2,*,1,-,2,11,4,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Mean,1.41,1.43,1.39,1.43,1.43,1.85,1.29,1.53,1.51,1.08,1.38,1.39,1.64,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,0.82,0.77,0.86,0.85,0.85,0.8,0.68,0.78,0.69,0.87,0.8,0.83,0.85,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
