table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Eastern (v),South East (x),South West (y),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.84,0.75,0.91,0.85,0.87,0.97,0.72,0.87,0.84,0.78,0.78,0.76,0.88,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,193,106,87,21,20,27,42,30,24,49,52,56,36,49,193,-,-,-,-,-,-,-,-,47,79,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,173,94*,79*,17**,16**,27**,38*,31**,21**,38*,43*,54*,32**,44*,173,-**,-**,-**,-**,-**,-**,-**,-**,41*,69*,11**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,80,38,42,9,9,10,19,13,10,18,26,22,15,17,80,-,-,-,-,-,-,-,-,17,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),33,13,20,4,4,4,9,3,6,7,12,6,8,7,33,-,-,-,-,-,-,-,-,10,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),47,25,22,6,6,6,11,10,4,11,14,16,7,10,47,-,-,-,-,-,-,-,-,8,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),80,49,31,8,7,12,17,16,11,15,13,29,16,21,80,-,-,-,-,-,-,-,-,21,31,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),13,7,6,-,-,5,1,2,-,4,4,3,1,5,13,-,-,-,-,-,-,-,-,2,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.58,1.46,1.72,1.76,1.81,1.34,1.71,1.47,1.74,1.55,1.78,1.46,1.72,1.43,1.58,-,-,-,-,-,-,-,-,1.61,1.64,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.88,0.82,0.93,0.81,0.81,0.98,0.86,0.78,0.89,0.93,0.96,0.76,0.89,0.91,0.88,-,-,-,-,-,-,-,-,0.92,0.81,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,193,,,,,,,,,,,,,,,,,,,,,,,,,,165,112,148,58,88,94,20,75,10,19,53,60,173,2,51,26,3,76,61,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,173,,,,,,,,,,,,,,,,,,,,,,,,,,147,100*,130,50*,76*,90*,19**,71*,10**,16**,47*,53*,154,2**,44*,23**,4**,66*,57*,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,80,,,,,,,,,,,,,,,,,,,,,,,,,,72,54,61,25,46,46,10,39,5,7,24,31,75,2,22,10,-,35,24,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),33,,,,,,,,,,,,,,,,,,,,,,,,,,30,24,23,8,17,22,5,18,4,5,8,13,30,-,10,3,-,15,9,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),47,,,,,,,,,,,,,,,,,,,,,,,,,,42,30,38,17,29,24,5,21,1,2,16,18,45,2,12,7,-,19,15,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),80,,,,,,,,,,,,,,,,,,,,,,,,,,68,42,64,24,30,39,10,30,5,10,20,21,71,-,19,12,4,30,30,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),13,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,4,2,*,4,-,3,-,-,3,1,9,-,2,1,-,1,4,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.75,1.62,1.61,1.83,1.7,1.75,1.75,1.9,1.68,1.62,1.81,1.62,2,1.68,1.55,1,1.75,1.51,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.86,0.82,0.81,0.78,0.89,0.85,0.88,1.01,0.9,0.85,0.84,0.86,-,0.9,0.8,0,0.84,0.85,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,12,9,7,26,8,8,73,69,59,27,154,35,177,181,186,193,-,,,,,,
Table 59,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15**,11**,7**,6**,21**,5**,6**,62*,62*,56*,25**,137,32**,157,162,167,173,-**,,,,,,
Table 59,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,4,3,11,3,5,33,30,32,10,68,16,76,76,79,80,-,,,,,,
Table 59,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-,1,1,3,1,3,11,15,12,4,29,6,32,32,33,33,-,,,,,,
Table 59,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,3,2,8,3,2,22,15,20,6,39,10,44,45,46,47,-,,,,,,
Table 59,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,3,3,10,2,*,29,25,21,13,60,10,71,74,76,80,-,,,,,,
Table 59,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,*,8,4,2,9,6,10,12,12,13,-,,,,,,
Table 59,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,1.33,1.76,1.66,1.68,1.75,2.48,1.71,1.59,1.7,1.47,1.64,1.49,1.63,1.59,1.6,1.58,-,,,,,,
Table 59,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.49,0.78,0.76,0.73,0.73,0.72,0.77,0.99,0.89,0.88,0.89,1.02,0.88,0.89,0.88,0.88,-,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,189,107,82,21,19,25,29,41,30,43,44,62,36,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,177,102*,75*,17**,16**,23**,33**,38*,25**,41*,47*,58*,31*,42*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,NET: More,86,43,42,9,9,8,18,18,12,21,26,26,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,A lot more          (+3),36,17,19,3,3,4,9,7,4,10,13,5,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,A little more       (+2),49,26,23,6,6,4,9,11,7,11,13,21,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,About the same      (+1),74,50,23,6,5,14,14,15,12,13,16,27,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Don't use            (0),18,8,10,3,3,1,1,5,1,7,5,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,1.58,1.51,1.68,1.45,1.54,1.45,1.79,1.54,1.6,1.59,1.72,1.45,1.69,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.93,0.87,0.99,0.98,0.98,0.86,0.88,0.94,0.84,1.03,0.99,0.78,0.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,164,78,86,18,18,33,25,28,19,41,54,41,24,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,176,81*,95*,18**,18**,35**,35**,33**,17**,38*,46*,43*,33**,55*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,NET: More,70,35,35,5,5,19,11,15,6,14,25,23,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,A lot more          (+3),23,12,11,1,1,7,5,2,3,4,5,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,A little more       (+2),47,23,25,5,5,12,6,13,3,10,19,16,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,About the same      (+1),86,39,47,11,11,13,20,13,10,20,17,16,14,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Don't use            (0),20,7,13,1,1,3,5,5,2,4,4,4,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Mean,1.41,1.48,1.35,1.25,1.25,1.7,1.31,1.35,1.43,1.36,1.56,1.58,1.29,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,0.85,0.86,0.85,0.67,0.67,0.9,0.88,0.85,0.94,0.83,0.81,0.89,0.94,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,166,86,80,16,15,21,34,31,20,44,28,52,30,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,174,88*,86*,15**,14**,27**,35**,34**,19**,43*,30**,54*,33**,56*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,NET: More,79,41,38,3,3,17,12,18,10,19,9,28,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,A lot more          (+3),34,14,19,-,-,12,3,9,2,8,4,14,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,A little more       (+2),45,26,19,3,3,5,9,9,8,10,5,14,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,About the same      (+1),77,41,36,8,7,7,23,12,9,18,14,22,13,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Don't use            (0),18,6,12,4,4,2,*,4,-,7,7,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Mean,1.54,1.55,1.53,0.88,0.87,1.99,1.41,1.68,1.64,1.46,1.22,1.72,1.77,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,0.92,0.85,0.99,0.69,0.72,1.05,0.66,0.99,0.7,1,0.98,0.93,0.88,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,176,71,105,15,14,21,42,41,27,30,43,52,23,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,171,72*,99*,19**,18**,19**,36*,37*,27**,32**,39*,48*,22**,61*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,NET: More,65,27,38,8,8,4,15,15,11,12,15,17,11,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,A lot more          (+3),20,8,12,2,2,2,2,6,2,5,5,4,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,A little more       (+2),46,20,26,6,6,3,13,9,9,7,10,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,About the same      (+1),88,39,49,10,9,12,17,19,15,15,22,27,8,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Don't use            (0),18,5,12,1,1,3,3,3,2,6,2,4,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Mean,1.39,1.41,1.38,1.5,1.52,1.18,1.39,1.52,1.39,1.31,1.46,1.35,1.49,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Scotland-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.82,0.78,0.86,0.79,0.8,0.83,0.75,0.87,0.74,0.96,0.81,0.75,0.92,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
