table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 12th to 14th February 2021,5 - Trust completely,91,44,47,14,12,8,15,14,17,22,27,21,26,17,8,3,12,5,6,3,1,12,18,15,5,3,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 12th to 14th February 2021,4,134,78,56,12,12,21,23,25,22,32,61,36,15,22,13,4,14,15,11,6,6,13,28,14,7,5,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 12th to 14th February 2021,3,66,33,33,15,13,16,8,6,10,12,14,18,17,17,4,-,13,12,3,7,2,5,8,5,2,4,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 12th to 14th February 2021,2,3,3,*,-,-,-,*,-,3,-,1,*,2,-,-,-,-,1,2,-,-,*,*,-,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 12th to 14th February 2021,1 - Do not trust at all,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 12th to 14th February 2021,NET: Do not trust,4,3,*,-,-,-,*,-,3,1,1,*,2,-,-,-,-,1,2,1,-,*,*,-,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 12th to 14th February 2021,Mean,4.06,4.02,4.1,3.98,3.97,3.84,4.15,4.17,4.04,4.14,4.09,4.03,4.11,3.99,4.15,4.46,3.99,3.75,3.96,3.65,3.87,4.18,4.18,4.28,4.2,3.92,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 44,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 12th to 14th February 2021,Standard deviation Standard error,0.77,0.76,0.77,0.85,0.83,0.72,0.73,0.65,0.86,0.76,0.69,0.74,0.91,0.79,0.71,0.54,0.81,0.74,0.88,0.92,0.58,0.78,0.69,0.73,0.69,0.78,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,219,114,105,12,11,25,39,32,48,63,83,58,35,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,215,112,104*,14**,13**,28**,38*,31**,44*,60*,78*,55*,40*,42*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 7th to 9th August 2020,NET: Trust,166,89,77,9,8,15,31,23,37,51,62,46,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 43,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 4,ONLINE Fieldwork: 7th to 9th August 2020,5 - Trust completely,60,34,25,3,2,5,14,8,16,13,25,10,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
