table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,254,124,130,30**,29**,49*,46*,41*,41*,47*,62*,74*,66*,52*,30**,10**,37*,20**,22**,15**,15**,20**,32**,27**,19**,8**,202
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,“Mid-market tabloids” such as MailOnline or Express ( online ),3,1,2,-,-,1,-,1,1,1,1,1,1,1,1,-,-,1,*,-,-,-,1,-,-,-,3
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,“Broadsheets” such as The Times or Guardian,3,3,1,-,-,1,1,-,*,1,1,1,1,-,1,-,-,-,-,-,*,-,-,1,1,-,2
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),3,2,1,-,-,-,1,-,-,2,-,1,2,-,-,-,-,-,1,-,-,-,-,2,-,-,3
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Commercial Radio,3,1,2,1,1,-,-,-,2,-,1,-,2,1,-,-,2,-,1,1,-,-,-,-,-,-,3
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Apple iMessage,3,3,-,1,1,1,1,-,-,-,2,-,1,-,-,-,-,-,1,-,-,-,1,1,-,-,3
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Official scientists,3,1,1,1,1,-,1,-,*,-,1,*,1,-,-,-,-,-,1,-,*,-,-,1,-,-,2
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from World Health Organisation (WHO) website/ email/ text/ post,3,1,1,-,-,2,1,*,-,-,1,1,1,-,1,-,1,-,-,*,-,-,-,1,-,-,2
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from UK Government website/ email/ text/ post,2,1,1,-,-,1,1,-,-,-,1,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from NHS website/ email/ text/ post,2,1,1,-,-,1,-,-,-,1,-,2,-,-,-,-,1,-,-,-,-,-,-,1,-,-,2
