table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 354,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 354,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,777,1182,455,541,605,121,449,114,114,407,454,1385,20,510,188,71,595,503,,,,,,,,,,,,,,,,,,
Table 354,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,476,714,249,336,365,62,277,66,70,252,294,824,7,311,107,37,355,301,,,,,,,,,,,,,,,,,,
Table 354,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,162,254,117,107,129,31,89,20,18,84,91,305,8,98,46,20,112,120,,,,,,,,,,,,,,,,,,
Table 354,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,140,214,90,98,111,29,83,28,27,72,69,256,4,101,35,14,129,82,,,,,,,,,,,,,,,,,,
Table 354,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,No answer,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,238,381,165,183,209,60,168,42,48,158,166,469,13,172,56,28,213,169,,,,,,,,,,,,,,,,,,
Table 355,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-
Table 355,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**
Table 355,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,126,105,94,199,85,70,515,560,486,286,1265,350,1381,1472,1506,1543,-
Table 355,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,68,60,55,120,40,31,306,320,291,145,761,203,808,880,891,906,-
Table 355,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,24,23,43,26,18,112,122,110,71,269,80,310,324,330,344,-
Table 355,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,26,20,16,36,19,22,98,118,86,70,235,67,264,268,285,293,-
