table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 348,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,
Table 348,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 348,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202,691,1071,407,481,546,112,426,94,105,370,413,1264,21,489,165,68,542,451,,,,,,,,,,,,,,,,,,
Table 348,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,141,240,92,95,119,20,91,16,17,71,77,275,4,115,35,14,119,92,,,,,,,,,,,,,,,,,,
Table 348,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,258,374,138,169,187,43,157,41,51,135,163,446,7,175,63,19,201,169,,,,,,,,,,,,,,,,,,
Table 348,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,292,457,177,217,240,50,178,37,37,164,173,543,9,199,68,35,222,190,,,,,,,,,,,,,,,,,,
Table 348,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,No answer,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,324,491,213,243,268,69,191,62,58,195,208,590,12,193,78,32,266,222,,,,,,,,,,,,,,,,,,
Table 349,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-
Table 349,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**
Table 349,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,108,92,80,178,76,64,465,527,486,281,1178,316,1268,1345,1386,1416,-
Table 349,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,23,19,14,39,15,13,101,102,95,74,267,62,278,288,303,310,-
Table 349,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,40,37,29,61,22,25,159,190,172,94,422,120,453,479,493,501,-
Table 349,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,45,36,37,78,38,26,205,236,219,112,490,134,537,578,590,605,-
Table 349,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 22nd to 24th May 2020,No answer,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,57,48,49,89,41,37,221,252,211,163,492,162,607,629,635,675,-
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,1014,1112,222,190,341,393,415,314,441,616,610,426,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,1040,1086,293,252,355,329,366,306,477,579,599,432,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Maintaining social distancing (staying 2 metres apart from people) when outside,ONLINE Fieldwork: 5th to 7th June 2020,NET: Important,1477,726,751,205,177,217,212,255,231,356,404,414,305,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
