table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 357,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 357,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,215,347,155,163,185,50,135,41,47,146,141,419,8,128,67,28,185,141,,,,,,,,,,,,,,,,,,
Table 357,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,53,92,46,37,45,20,40,11,15,41,28,116,4,40,14,6,59,42,,,,,,,,,,,,,,,,,,
Table 357,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,83,137,61,61,65,17,43,13,14,51,52,163,1,45,28,10,68,51,,,,,,,,,,,,,,,,,,
Table 357,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,80,118,48,65,75,13,52,16,17,54,61,139,3,42,24,12,58,48,,,,,,,,,,,,,,,,,,
Table 357,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,No answer,1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359,800,1216,465,561,629,132,482,115,116,419,479,1435,25,554,177,72,624,531,,,,,,,,,,,,,,,,,,
Table 358,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-
Table 358,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**
Table 358,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,36,26,29,58,28,22,147,179,184,121,361,117,418,438,452,482,-
Table 358,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,8,14,15,10,11,41,56,46,36,91,34,109,122,120,131,-
Table 358,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7,5,5,25,8,5,60,48,60,34,138,46,160,164,173,181,-
Table 358,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,11,18,10,6,45,75,78,51,132,37,149,152,159,170,-
Table 358,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 22nd to 24th May 2020,No answer,1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,129,114,100,209,89,79,539,601,513,322,1309,361,1458,1536,1569,1610,-
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,1014,1112,222,190,341,393,415,314,441,616,610,426,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,1040,1086,293,252,355,329,366,306,477,579,599,432,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 5th to 7th June 2020,NET: Important,459,252,207,79,72,101,80,89,52,58,156,144,90,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 5th to 7th June 2020,1st most important,136,77,59,21,21,38,24,23,16,15,42,50,27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 5th to 7th June 2020,2nd most important,178,103,75,31,28,35,28,35,22,27,59,55,35,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 5th to 7th June 2020,3rd most important,146,72,73,27,23,28,28,30,14,17,55,39,28,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 5th to 7th June 2020,No answer,1667,787,880,214,180,254,249,277,255,419,423,455,342,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2115,1047,1068,276,241,347,333,342,330,487,606,589,382,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2115,1034,1081,292,250,353,328,364,305,474,575,596,429,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 12th to 15th June 2020,NET: Important,416,229,187,66,60,109,74,68,64,35,130,145,77,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 12th to 15th June 2020,1st most important,112,49,63,15,13,30,22,24,14,7,31,43,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 12th to 15th June 2020,2nd most important,148,91,57,25,22,40,22,17,26,17,52,55,24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 12th to 15th June 2020,3rd most important,155,89,67,26,24,39,30,26,24,10,48,48,34,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 12th to 15th June 2020,No answer,1699,805,894,226,191,244,254,296,240,439,446,451,352,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 130,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,1113,1051,292,261,355,355,316,338,508,642,610,367,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 130,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,1058,1106,298,264,361,335,372,312,485,589,610,439,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 130,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 19th to 21st June 2020,NET: Important,501,273,228,89,83,110,76,95,60,73,147,179,99,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 130,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 19th to 21st June 2020,1st most important,151,92,59,28,24,37,26,31,10,20,42,47,36,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 130,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 19th to 21st June 2020,2nd most important,175,95,80,28,26,40,22,28,31,25,61,59,34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 130,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 19th to 21st June 2020,3rd most important,176,86,90,32,32,32,28,36,20,28,44,74,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 130,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 19th to 21st June 2020,No answer,1663,785,878,210,181,252,260,278,251,412,441,431,340,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
