table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.94,0.94,0.95,0.97,0.98,0.98,0.91,0.92,0.97,0.81,0.96,0.85,1,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2092,1030,1062,256,226,354,346,368,305,463,605,570,402,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2091,1021,1070,287,247,350,324,360,300,470,570,594,421,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 15th to 17th May 2020,NET: More,378,202,177,81,79,80,87,59,34,38,115,105,77,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 15th to 17th May 2020,A lot more          (+3),108,53,55,30,29,22,20,20,11,5,34,27,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 15th to 17th May 2020,A little more       (+2),270,149,121,51,49,59,66,39,23,33,81,78,56,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 15th to 17th May 2020,About the same      (+1),701,373,328,106,91,131,125,142,106,90,187,181,151,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 15th to 17th May 2020,Don't use            (0),1012,447,565,100,77,138,112,159,160,342,268,307,192,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 15th to 17th May 2020,Mean,0.75,0.81,0.69,1.04,1.13,0.9,0.99,0.78,0.62,0.36,0.79,0.71,0.78,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.87,0.87,0.87,0.98,0.99,0.9,0.9,0.85,0.78,0.66,0.9,0.86,0.86,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2084,998,1086,255,223,321,329,380,325,474,544,588,454,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2086,1019,1067,287,247,347,319,360,301,471,568,591,424,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 29th to 31st May 2020,NET: More,331,171,160,52,52,73,64,59,43,39,97,90,79,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 29th to 31st May 2020,A lot more          (+3),90,47,43,17,17,18,23,12,8,10,28,14,26,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 29th to 31st May 2020,A little more       (+2),241,124,117,35,35,54,41,47,35,29,69,76,53,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 29th to 31st May 2020,About the same      (+1),760,395,365,110,99,158,139,134,87,132,213,207,171,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 29th to 31st May 2020,Don't use            (0),995,453,542,125,96,116,116,168,171,299,258,294,175,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 29th to 31st May 2020,Mean,0.73,0.77,0.68,0.81,0.89,0.93,0.91,0.73,0.61,0.47,0.76,0.68,0.84,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.83,0.84,0.82,0.87,0.89,0.84,0.88,0.81,0.8,0.71,0.85,0.79,0.87,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,1025,1046,262,230,335,324,333,304,513,581,542,424,524,193,78,243,149,168,162,104,216,286,238,173,61,340,896,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,1011,1061,286,244,345,316,360,298,467,565,586,419,501,173,83*,229,169,181,147,99*,196,272,280,179,63*,329,834,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,345,187,158,64,56,83,64,40,46,47,117,103,66,58,34,14,45,33,31,23,17,19,48,43,29,8,66,158,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),83,41,42,13,11,15,13,16,14,13,25,23,18,17,6,1,11,18,4,3,6,3,15,14,1,1,13,43,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),262,146,116,52,45,68,51,24,32,34,93,80,48,42,28,13,34,15,28,20,11,16,33,29,28,8,53,115,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),756,389,366,93,86,144,154,163,86,116,196,225,150,185,72,29,74,57,55,55,44,69,109,101,60,30,138,333,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),971,434,537,128,102,118,98,157,166,304,252,257,204,258,67,40,110,79,94,70,38,108,115,136,89,25,126,343,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,0.74,0.8,0.68,0.82,0.85,0.94,0.94,0.72,0.64,0.48,0.81,0.78,0.71,0.64,0.84,0.7,0.76,0.83,0.68,0.7,0.84,0.56,0.81,0.72,0.67,0.75,0.86,0.83,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.83,0.83,0.82,0.88,0.87,0.84,0.8,0.78,0.85,0.75,0.87,0.83,0.83,0.77,0.82,0.77,0.88,0.98,0.81,0.78,0.85,0.71,0.86,0.85,0.76,0.71,0.83,0.85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,192,252,138,178,188,68,145,61,53,145,119,311,15,83,39,20,207,71,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,47,59,31,50,47,19,38,21,15,32,37,73,5,14,9,7,50,14,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,145,193,107,128,141,49,107,40,38,113,82,238,11,68,30,13,157,57,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,367,568,215,258,336,69,255,59,70,224,235,666,15,226,102,36,285,260,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,456,743,267,288,291,44,217,37,39,196,267,877,2,373,103,44,316,341,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.79,0.72,0.84,0.92,0.93,1.24,0.94,1.28,1.18,0.97,0.82,0.73,1.56,0.59,0.78,0.82,0.93,0.62,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.86,0.82,0.88,0.92,0.87,0.94,0.88,0.97,0.9,0.88,0.88,0.83,0.81,0.75,0.81,0.91,0.91,0.73,,,,,,,,,,,,,,,,,,,,,,,,
Table 71,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,773,675,441,1670,476,1859,1950,2000,2070,-,,,,,,
Table 71,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,767,680,435,1658,476,1860,1957,2004,2070,-**,,,,,,
Table 71,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,54,34,40,65,39,32,161,140,115,102,269,117,309,318,330,345,-,,,,,,
Table 71,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,14,16,10,22,13,13,45,37,28,25,65,37,74,77,80,83,-,,,,,,
Table 71,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,40,18,30,43,27,19,115,103,87,77,205,81,235,240,250,262,-,,,,,,
Table 71,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,47,57,47,97,40,32,246,248,246,139,567,157,685,713,733,754,-,,,,,,
Table 71,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,63,49,41,105,38,37,280,379,320,194,822,202,866,926,940,971,-,,,,,,
Table 71,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.03,1.01,1.07,0.93,1.12,1.09,0.89,0.74,0.74,0.84,0.71,0.9,0.74,0.73,0.74,0.74,-,,,,,,
Table 71,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.97,0.93,0.94,0.99,1.04,0.91,0.87,0.83,0.91,0.83,0.94,0.83,0.83,0.83,0.83,-,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,2110,1060,1050,273,242,342,292,362,333,508,514,603,457,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,2110,1033,1077,292,258,349,326,362,305,475,576,595,429,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 3rd to 5th April 2020,NET: More,489,244,245,96,89,110,102,89,42,49,154,137,101,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 3rd to 5th April 2020,A lot more          (+3),139,67,72,34,32,28,28,25,13,11,48,36,23,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 3rd to 5th April 2020,A little more       (+2),350,177,173,62,56,82,74,64,29,39,106,101,78,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 3rd to 5th April 2020,About the same      (+1),621,360,261,80,74,102,124,122,95,97,164,184,124,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 3rd to 5th April 2020,Don't use            (0),1000,428,572,116,95,136,100,150,168,329,257,275,205,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,0.82,0.89,0.76,1.05,1.1,1.01,1.09,0.9,0.63,0.43,0.9,0.83,0.81,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.93,0.91,0.95,1.04,1.04,0.98,0.93,0.93,0.83,0.74,0.98,0.92,0.91,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,2104,1035,1069,270,239,367,297,342,328,500,691,590,360,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,2101,1028,1073,289,250,350,323,359,303,477,576,595,426,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 7th to 10th May 2020,NET: More,377,194,183,71,63,91,71,59,40,45,122,105,74,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 7th to 10th May 2020,A lot more          (+3),96,45,51,20,15,25,18,19,7,7,33,27,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 7th to 10th May 2020,A little more       (+2),281,149,132,51,47,66,53,40,33,38,89,78,57,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 7th to 10th May 2020,About the same      (+1),680,370,310,113,105,140,134,114,96,85,200,185,144,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 7th to 10th May 2020,Don't use            (0),1045,464,581,104,82,119,119,187,168,348,255,305,208,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Media organisations from other countries,ONLINE Fieldwork: 7th to 10th May 2020,Mean,0.73,0.78,0.68,0.96,0.98,0.99,0.91,0.7,0.6,0.38,0.82,0.71,0.73,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
