table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 223,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.52,3.6,3.4,3.96,3.96,3.36,3.71,3.36,3.38,3.36,3.38,3.43,3.64,3.8,3.64,4,3.22,3.44,3.61,3.51,4,3,4.69,3.5,3.54,2,,3.57,3.59,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 223,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.84,0.92,0.71,0.81,0.81,0.5,0.84,0.99,0.94,0.95,0.87,0.66,1.08,0.77,0.87,0,1.03,0.54,0.79,0.72,0,1.02,0.61,1,0.64,-,,0.6,0.92,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 224,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,45,57,21,27,42,16,34,12,18,27,33,65,1,22,6,1,34,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 224,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,68*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63*,44*,55*,22**,28**,43*,19**,37**,13**,22**,30**,34**,64*,1**,22**,6**,1**,34**,17**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 224,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,27,32,10,13,23,13,18,8,13,15,20,35,-,17,2,1,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 224,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,4,-,2,6,4,6,3,5,3,2,7,-,1,-,-,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 224,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,22,28,10,11,17,9,12,6,8,12,18,28,-,16,2,1,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 224,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,11,14,7,9,13,5,13,4,9,10,8,21,-,4,2,-,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 224,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,8,5,6,7,1,6,1,1,6,6,8,1,1,1,-,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 224,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
