table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,848,428,420,109,95,95,119,132,136,256,271,245,144,188,47,37,103,62,64,65,40,85,124,116,80,26,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,325,169,156,47,40,34,44,53,58,90,102,82,60,82,14,12,39,28,24,21,13,37,50,48,26,12,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 11th April 2021,4,522,259,264,62,55,61,75,79,78,166,169,163,84,106,33,25,64,34,39,44,27,47,74,67,53,14,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 11th April 2021,3,190,96,94,22,21,27,28,34,42,37,48,50,49,43,17,3,8,24,18,15,11,28,24,26,10,5,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 11th April 2021,2,41,21,21,2,2,3,6,5,8,17,10,10,7,15,4,1,5,5,7,1,3,1,4,5,4,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,35,28,7,-,-,5,3,10,7,10,8,9,12,6,-,5,3,2,9,4,-,3,3,2,2,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,76,49,28,2,2,8,9,15,15,27,18,19,19,21,4,6,8,7,16,5,3,4,7,7,6,3,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 11th April 2021,Mean,3.95,3.91,4,4.16,4.13,3.89,3.97,3.88,3.89,3.96,4.03,3.95,3.82,3.96,3.82,3.82,4.1,3.86,3.65,3.91,3.93,3.99,4.05,4.03,4.04,3.97,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.94,1.02,0.85,0.75,0.76,0.95,0.89,1.04,1,0.95,0.88,0.9,1.06,0.97,0.82,1.17,0.9,0.99,1.2,0.94,0.82,0.9,0.88,0.88,0.84,1.07,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - TV,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,1303,654,649,104,84,145,201,260,219,374,420,387,248,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
