table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,The Coronavirus vaccine may reduce fertility,379,147,232,69,63,96,50,57,45,62,106,104,87,82,28,16,43,26,38,21,12,47,48,54,37,9,330,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,The Coronavirus vaccine is a cover for a plan to implant trackable microchips into people,369,179,191,64,57,82,60,53,53,58,97,93,81,98,25,19,40,27,38,25,18,30,50,61,29,10,317,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,The flu alone is killing more people than Coronavirus,368,166,202,66,63,75,73,57,41,57,89,110,70,98,33,20,49,26,42,25,14,23,45,54,21,16,305,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,The number of cases linked to Coronavirus is much lower in reality than is being reported,362,161,200,48,43,76,67,57,59,53,97,108,67,90,34,18,39,30,32,25,8,30,56,53,28,10,311,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,Flu and Coronavirus statistics are being combined to make Coronavirus look more harmful than it is,318,142,175,43,40,66,59,47,50,53,88,86,68,76,15,12,35,27,45,20,15,22,44,48,24,11,277,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,The Coronavirus vaccine will alter human DNA,311,146,165,43,40,65,47,44,50,63,89,89,67,67,24,13,32,23,37,22,17,30,41,40,25,8,262,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,Empty hospitals shown via social media posts as evidence that the Coronavirus has been exaggerated,268,119,149,39,35,64,51,37,30,47,85,67,56,59,16,14,47,18,19,15,11,17,43,40,20,8,233,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,The origin or cause of Coronavirus is in some way linked to 5G technology,234,113,122,45,42,55,41,25,31,37,75,56,47,56,22,10,26,17,16,12,11,19,30,42,22,7,195,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,The Coronavirus vaccine has animal products in them,215,101,113,28,25,45,29,29,34,50,64,57,47,46,9,5,15,18,21,14,10,25,33,34,22,7,188,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,Inhaling steam helps to treat or eliminate Coronavirus,120,60,60,20,17,25,19,17,15,23,50,31,20,19,6,1,13,13,6,7,5,4,36,14,10,3,105,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,Other,42,27,15,3,3,3,11,6,9,10,9,16,6,10,4,4,8,-,1,3,2,9,6,3,3,-,37,,,
