table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,“Broadsheets” such as The Times or Guardian,5,4,1,-,-,-,1,-,-,4,3,1,-,1,-,1,-,2,1,-,-,-,-,-,1,-,5
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,241,114*,127,26**,22**,38*,41*,37**,41*,58*,77*,62*,38**,63*,22**,17**,27**,15**,12**,19**,14**,21**,32**,36**,18**,7**,197
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Direct from UK Government website/ email/ text/ post,5,4,1,-,-,-,1,-,-,4,5,-,-,-,1,-,-,2,-,-,-,-,1,-,1,-,3
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,BBC - Online/ app,4,4,-,-,-,-,-,-,-,4,4,-,-,1,-,-,-,2,-,-,-,2,-,-,-,-,4
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Celebrity and/or social media influencer,4,3,1,1,1,1,2,-,-,-,2,2,-,-,-,-,1,-,-,-,2,-,-,1,-,-,2
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",4,2,2,-,-,1,2,-,*,-,1,3,-,-,*,-,-,*,1,*,-,-,-,1,1,-,4
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Snapchat,4,-,4,4,4,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,2,1,-,-,4
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,WhatsApp group(s),3,1,3,2,2,-,*,-,-,1,1,3,-,-,-,-,-,-,-,-,1,-,3,-,-,-,3
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Direct from Local health service website/ email/ text/ post,3,3,-,-,-,-,-,-,-,3,3,-,-,-,1,1,-,-,-,-,-,-,-,*,-,-,2
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Email,3,3,-,-,-,-,1,1,-,1,-,1,-,1,-,-,-,-,-,-,1,-,-,1,1,-,1
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Advertising,3,2,1,-,-,-,1,-,-,2,2,1,-,-,-,-,-,2,-,-,-,-,-,1,-,-,3
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Direct from World Health Organisation (WHO) website/ email/ text/ post,2,2,-,2,2,-,-,-,-,-,*,-,2,-,-,-,-,-,2,-,-,-,*,-,-,-,2
