table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2140,1055,1084,289,248,357,329,365,312,487,590,605,436,509,183,86*,233,171,187,148,102*,204,283,296,184,62*,1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,NET: Any,1127,547,581,162,145,204,190,177,168,226,338,309,220,261,81,55,104,98,99,81,54,109,165,149,91,40,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Face masks/coverings offer no protection/are harmful,583,280,302,65,56,105,94,100,89,130,178,158,120,127,44,30,60,50,46,41,25,51,78,75,59,23,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,The number of deaths linked to Coronavirus is much lower in reality than is being reported,436,212,225,54,51,85,67,76,63,91,117,119,88,112,31,22,42,39,35,36,18,45,48,66,39,15,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,The number of cases linked to Coronavirus is much lower in reality than is being reported,388,172,216,55,53,70,65,61,58,79,103,112,80,94,29,24,26,33,28,37,20,34,43,68,35,11,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Claims about potential dangers of a Coronavirus vaccination,355,180,175,50,48,76,48,52,60,70,118,90,58,89,26,18,29,27,35,21,19,35,50,47,38,9,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Theories linking the origins or causes of Coronavirus to 5G technology,268,149,119,61,57,69,36,30,28,45,78,65,53,72,12,5,20,29,22,19,18,22,44,51,18,7,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Injecting disinfectant/ bleach,193,101,92,35,33,36,31,24,21,47,45,60,34,55,10,8,19,24,18,10,11,15,30,26,14,8,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,The common cold can produce a positive Coronavirus test,178,83,95,29,25,34,32,29,23,30,48,43,34,53,14,8,19,21,19,12,8,13,24,19,15,4,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",120,60,60,25,23,34,21,5,13,23,41,25,22,33,13,-,8,11,13,3,4,8,20,21,15,5,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Drinking water more frequently,98,50,49,21,21,37,15,7,4,15,33,22,20,23,7,3,9,8,12,9,8,7,21,8,5,3,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Gargling with salt water,78,43,35,18,18,18,10,9,3,19,27,17,16,18,6,5,7,7,7,3,2,5,17,9,4,6,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Inhaling steam,72,37,35,19,17,22,11,5,4,11,24,18,10,20,4,1,8,5,9,2,1,8,18,8,6,2,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Drinking more lemon juice,62,33,28,12,12,22,6,7,2,12,24,17,8,13,8,-,5,3,8,2,1,1,20,6,5,3,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Eating warm food/ drink and avoiding cold food/ drink,61,40,21,12,12,20,9,6,4,10,22,12,14,14,3,1,5,7,8,2,4,4,16,3,5,3,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Putting clothes in the sun or another warm place to disinfect them,59,37,22,16,16,10,5,7,9,13,22,18,5,14,4,1,8,4,6,2,1,3,14,7,6,3,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,Other,72,38,34,5,3,6,14,16,22,10,21,15,18,18,8,4,5,5,4,7,5,8,9,9,3,4,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 11th October 2020,None of these,1012,509,504,128,103,153,139,188,144,261,252,297,215,248,102,31,129,72,88,67,47,95,118,147,93,22,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
