table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Putting clothes in the sun or another warm place to disinfect them,191,93,97,32,30,34,29,29,22,45,56,62,31,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Eating warm food/ drink and avoiding cold food/ drink,184,74,109,41,35,41,21,31,14,36,57,52,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Drinking more lemon juice,168,83,85,31,23,33,18,23,30,33,57,38,26,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Inhaling steam,167,90,77,32,32,36,22,22,22,33,53,48,30,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,"The death of Dr Elisa Granato, one of the first participants in a UK's Covid-19 vaccine trial",157,83,74,30,28,43,15,24,16,29,48,51,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Injecting disinfectant/ bleach,96,49,47,7,6,7,11,22,20,29,28,39,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Exposure to UV/ strong light,7,4,3,-,-,-,1,2,1,3,4,2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,Other,64,36,29,4,4,5,9,17,10,18,25,14,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 1st to 3rd May 2020,None of these,852,397,455,111,95,115,139,150,141,196,206,231,192,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2085,1032,1053,270,236,346,324,335,323,487,602,583,373,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2085,1020,1065,284,245,352,321,355,298,474,571,590,418,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,NET: Any,834,416,418,151,135,185,127,127,100,145,250,239,154,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Theories linking the origins or causes of Coronavirus to 5G technology,458,239,219,92,80,90,66,65,63,82,143,133,83,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Injecting disinfectant/ bleach,297,151,146,65,55,63,47,33,31,58,95,78,58,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Claims about potential dangers of a Coronavirus vaccination,253,112,140,65,58,51,44,38,26,29,76,78,39,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",179,84,96,35,30,42,26,28,21,29,53,53,36,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Drinking water more frequently,176,87,90,26,23,41,31,22,19,36,54,42,36,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Gargling with salt water,139,66,72,31,29,33,22,21,11,21,51,35,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Putting clothes in the sun or another warm place to disinfect them,113,58,55,16,15,34,22,9,13,18,32,38,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Inhaling steam,103,63,41,15,14,29,22,11,11,15,40,26,11,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Drinking more lemon juice,103,58,44,9,8,24,24,16,13,17,34,29,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Eating warm food/ drink and avoiding cold food/ drink,99,48,50,15,11,29,25,11,8,11,29,29,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,Other,62,34,29,13,13,9,6,18,6,11,18,16,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 88,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 12th to 15th June 2020,None of these,1251,604,647,133,109,167,194,228,198,329,321,351,264,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2134,1099,1035,285,254,351,345,312,336,505,639,601,363,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2140,1049,1092,292,257,359,328,369,310,482,586,603,435,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,NET: Any,765,377,388,140,125,137,128,107,94,159,236,202,165,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Theories linking the origins or causes of Coronavirus to 5G technology,398,212,185,71,65,64,59,62,57,84,138,97,71,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Injecting disinfectant/ bleach,234,101,133,50,48,33,34,37,28,53,70,56,50,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Claims about potential dangers of a Coronavirus vaccination,220,112,108,47,43,42,43,28,18,41,74,60,39,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Drinking water more frequently,164,79,85,38,32,30,23,17,19,37,51,41,37,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",159,91,68,29,26,26,19,22,26,35,51,43,39,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Gargling with salt water,120,62,57,27,26,28,19,6,13,26,34,29,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Putting clothes in the sun or another warm place to disinfect them,96,54,43,15,15,22,13,14,10,22,36,19,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Drinking more lemon juice,96,58,38,21,18,21,16,8,12,18,32,23,28,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Eating warm food/ drink and avoiding cold food/ drink,89,47,42,16,13,26,15,9,9,14,30,22,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Inhaling steam,84,53,31,18,16,17,8,11,11,19,28,14,27,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Other,53,28,25,8,8,14,11,4,8,8,11,22,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 19th to 21st June 2020,None of these,1375,672,704,152,132,221,200,263,217,322,350,401,270,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,2063,1007,1056,244,212,328,332,379,305,475,597,557,414,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,2064,1012,1052,285,245,344,310,355,299,472,570,583,414,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,NET: Any,1043,513,530,154,135,187,167,164,149,222,303,281,218,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Face masks/coverings offer no protection/are harmful,624,293,331,92,78,92,104,91,96,149,183,167,129,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,The number of deaths linked to Coronavirus is much lower in reality than is being reported,448,198,249,77,65,71,65,67,73,95,113,125,97,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Claims about potential dangers of a Coronavirus vaccination,320,139,181,47,38,56,53,45,48,71,105,95,54,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Theories linking the origins or causes of Coronavirus to 5G technology,310,150,160,53,41,58,48,46,43,62,91,86,52,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q10. Whether came across any of these false or misleading information about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Injecting disinfectant/ bleach,176,84,92,32,27,33,18,24,21,47,44,50,36,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
