table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 95,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,6,2,4,5,1,4,-,1,2,3,9,-,2,-,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,17,7,9,7,2,6,3,3,8,5,23,-,10,1,-,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,-,-,-,-,-,-,-,-,-,2,-,1,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-,1,-,-,-,-,-,1,-,1,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-,1,-,-,-,-,-,1,-,1,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.13,4.09,4.26,4.1,4.41,4.41,4.41,4,4.34,3.89,4.42,4.13,-,4.08,4,5,3.77,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 95,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.74,0.78,0.46,0.98,0.51,0.59,0.52,0,0.55,0.99,0.53,0.74,-,0.47,-,-,0.93,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 96,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,5,5,2,4,8,9,8,6,25,4,31,33,34,34,-,,,,,,,,,
Table 96,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,34**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5**,5**,4**,5**,4**,2**,4**,7**,9**,9**,5**,26**,3**,32**,34**,34**,34**,-**,,,,,,,,,
Table 96,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,4,2,4,7,8,9,4,25,2,30,31,32,32,-,,,,,,,,,
Table 96,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,1,1,-,-,1,-,2,1,-,5,1,8,9,9,9,-,,,,,,,,,
Table 96,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,4,4,2,3,7,6,7,4,20,1,22,22,23,23,-,,,,,,,,,
Table 96,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,1,-,-,1,1,-,2,2,2,2,-,,,,,,,,,
Table 96,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
Table 96,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,1,1,-,,,,,,,,,
Table 96,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,1,1,-,,,,,,,,,
Table 96,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4.2,4.16,4,4,4.14,3.89,3.92,4.16,3.84,4.15,3.41,4.18,4.13,4.13,4.13,-,,,,,,,,,
Table 96,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.45,0.41,0,0,0.4,0.33,1.12,0.39,0.41,0.44,1.9,0.52,0.74,0.74,0.74,-,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,35,14,21,9,5,2,4,6,7,7,6,10,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,36*,15**,22**,8**,5**,2**,5**,7**,7**,7**,7**,10**,7**,12**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Trust,32,13,20,8,5,2,5,6,6,6,7,9,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 3rd to 5th April 2020,5 - Trust completely,14,2,11,1,-,1,3,3,5,2,4,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 3rd to 5th April 2020,4,19,10,8,7,5,2,2,3,1,4,3,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 3rd to 5th April 2020,3,2,1,2,-,-,-,-,-,1,2,1,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 3rd to 5th April 2020,2,1,1,-,-,-,-,-,1,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 3rd to 5th April 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Do not trust,1,1,-,-,-,-,-,1,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,4.25,3.93,4.46,4.1,4,4.27,4.59,4.06,4.59,4.05,4.42,4.03,3.99,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.74,0.79,0.65,0.32,0,0.59,0.56,1.17,0.72,0.77,0.73,0.96,0.56,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,26,13,13,3,2,2,1,7,5,8,4,10,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,23**,11**,12**,2**,1**,2**,2**,6**,4**,7**,3**,8**,5**,7**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 7th to 10th May 2020,NET: Trust,18,9,9,2,1,2,2,4,3,6,3,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 7th to 10th May 2020,5 - Trust completely,8,3,5,2,1,2,-,2,1,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 7th to 10th May 2020,4,11,6,4,1,1,-,2,2,2,5,2,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 7th to 10th May 2020,3,3,2,2,-,-,-,-,2,1,1,-,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 7th to 10th May 2020,2,1,-,1,-,-,-,-,-,-,1,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 7th to 10th May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 7th to 10th May 2020,NET: Do not trust,1,-,1,-,-,-,-,-,-,1,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 7th to 10th May 2020,Mean,4.12,4.12,4.12,4.72,4.55,5,4,4.08,4.11,3.77,4.3,3.86,4.49,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,0.8,0.67,0.94,0.59,-,-,-,0.93,0.82,0.82,0.56,1,0.86,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,32,17,15,2,1,3,7,5,5,10,7,13,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,29**,14**,15**,2**,1**,2**,7**,4**,6**,9**,7**,11**,4**,8**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 24th to 26th April 2020,NET: Trust,27,11,15,2,1,2,7,4,4,7,6,10,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 24th to 26th April 2020,5 - Trust completely,13,8,5,2,1,1,3,1,3,3,3,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 24th to 26th April 2020,4,14,4,10,-,-,1,4,3,1,4,2,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 24th to 26th April 2020,3,3,3,-,-,-,-,-,-,1,1,1,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 24th to 26th April 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 24th to 26th April 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 24th to 26th April 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 24th to 26th April 2020,Mean,4.36,4.37,4.35,5,5,4.39,4.44,4.3,4.32,4.18,4.32,4.52,4.21,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,0.65,0.8,0.49,*,-,-,0.54,0.53,0.88,0.72,0.81,0.64,0.88,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,31,15,16,3,2,2,10,2,2,12,13,8,1,9,-,-,-,-,-,-,31,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,26**,11**,15**,2**,2**,2**,10**,2**,1**,9**,12**,7**,1**,7**,-**,-**,-**,-**,-**,-**,26**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,20,7,13,2,2,1,8,2,1,6,10,7,-,4,-,-,-,-,-,-,20,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,1,*,1,1,*,-,-,-,-,-,-,*,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 5th to 11th April 2021,4,19,7,12,1,1,1,8,2,1,6,10,6,-,3,-,-,-,-,-,-,19,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 5th to 11th April 2021,3,4,2,3,-,-,1,1,*,-,2,1,-,1,3,-,-,-,-,-,-,4,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 42,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 5th to 11th April 2021,2,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
