table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 35,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 7th to 9th August 2020,Standard deviation Standard error,0.87,0.94,0.78,0.81,0.88,0.99,0.76,0.91,0.9,0.81,0.83,0.72,0.93,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,456,256,200,32,26,46,52,83,82,161,176,122,79,79,45,17,35,41,42,33,16,50,47,63,53,14,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,452,269,183,40**,32**,52*,52*,85*,74*,148,159,126,93*,75*,39*,17**,38**,41*,40*,30**,15**,51*,45*,74*,48*,13**,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 11th October 2020,NET: Trust,344,199,145,26,20,42,39,62,58,116,128,101,65,51,32,10,31,30,25,20,13,41,35,61,35,10,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 11th October 2020,5 - Trust completely,102,55,47,8,4,12,10,18,16,38,42,25,18,17,12,3,9,10,4,9,3,15,12,11,9,7,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 11th October 2020,4,242,144,98,17,16,31,29,44,43,78,86,76,47,34,20,8,22,20,21,12,10,26,23,50,26,4,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 11th October 2020,3,83,50,33,14,12,7,12,17,10,23,25,20,19,20,6,5,6,9,13,7,1,7,8,11,10,3,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 11th October 2020,2,19,14,5,-,-,2,1,3,5,7,6,4,6,3,1,1,1,2,2,1,-,4,2,2,2,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 11th October 2020,1 - Do not trust at all,6,5,*,-,-,*,-,2,1,2,1,1,3,*,*,1,-,-,-,2,1,-,-,-,2,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 11th October 2020,NET: Do not trust,24,19,5,-,-,3,1,6,6,9,7,5,9,4,2,2,1,2,2,3,1,4,2,2,4,-,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 11th October 2020,Mean,3.92,3.86,4.02,3.86,3.76,3.98,3.92,3.85,3.9,3.97,4.01,3.96,3.77,3.86,4.05,3.6,4.02,3.93,3.68,3.81,3.98,4,4.02,3.94,3.79,4.26,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 11th October 2020,Standard deviation Standard error,0.83,0.87,0.75,0.75,0.68,0.79,0.7,0.9,0.86,0.85,0.79,0.75,0.96,0.84,0.82,1.02,0.71,0.81,0.74,1.1,0.98,0.86,0.78,0.64,0.92,0.84,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
