table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 351,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 351,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,94,132,48,58,85,33,68,24,23,55,53,175,4,56,22,8,91,55,,,,,,,,,,,,,,,,,,
Table 351,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,25,28,10,20,20,5,16,4,3,17,11,42,1,11,5,4,18,14,,,,,,,,,,,,,,,,,,
Table 351,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,26,45,13,13,31,15,21,11,6,12,18,55,1,22,5,-,31,16,,,,,,,,,,,,,,,,,,
Table 351,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,43,59,26,26,34,13,31,9,13,26,24,78,2,23,13,4,42,25,,,,,,,,,,,,,,,,,,
Table 351,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,No answer,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588,921,1431,571,666,729,149,549,133,140,510,567,1679,28,626,222,92,717,617,,,,,,,,,,,,,,,,,,
Table 352,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-
Table 352,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**
Table 352,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,22,21,16,29,16,17,69,77,76,51,141,63,175,181,182,204,-
Table 352,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,7,2,9,3,4,17,16,16,14,32,12,44,41,44,51,-
