table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 179,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,41,51,22,62,37,8,27,7,12,17,23,55,1,16,6,5,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 179,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,4,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,53,86,54,105,48,9,37,18,16,50,52,97,5,28,16,9,50,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 179,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,19,28,17,32,15,2,8,5,4,17,17,31,1,6,7,2,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 179,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,3,6,4,-,4,-,1,1,3,6,-,3,-,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 179,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,*,1,1,-,1,-,-,1,1,1,-,1,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 179,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,7,3,8,5,-,4,-,1,2,4,8,-,4,-,-,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 179,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,4.11,4.05,3.97,4.06,4.11,4.28,4.13,4.04,4.21,3.95,3.97,4.04,3.95,4.02,3.95,4.19,3.96,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 179,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.83,0.81,0.76,0.79,0.86,0.68,0.85,0.64,0.76,0.73,0.79,0.8,0.55,0.88,0.67,0.67,0.83,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 180,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,12,15,16,42,11,14,79,81,66,36,176,44,192,194,201,205,-,,,,,,,,,
Table 180,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25**,12**,14**,16**,39*,10**,13**,78*,80*,70*,37*,174,44*,194,196,203,207,-**,,,,,,,,,
