table,question,date,response,I think that untrue stories or items about Coronavirus should not be posted or shared on social media,"I think that people and organisations have a right to say what they want on social media  about Coronavirus, even if it might not be true","I think it's OK for untrue stories about Coronavirus to be posted and shared on social media , as long as they are flagged as potentially untrustworthy/ untrue by the social media platform"
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,NET: Disagree,149,1281,1375
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Mean,1.34,-0.73,-0.88
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,1.06,1.27,1.26
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,2135,2135,2135
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,2135,2135,2135
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,NET: Agree,1722,437,422
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Strongly agree      (+2),1284,137,114
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Slightly agree      (+1),438,300,308
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Neither agree nor    (0) disagree,263,439,328
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Slightly disagree   (-1),63,486,415
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Strongly disagree   (-2),87,773,969
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,NET: Disagree,150,1259,1384
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Mean,1.3,-0.68,-0.85
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,1.06,1.27,1.28
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,2107,2107
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,2107,2107
