table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Eastern (v),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 60,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.42,1.56,1.36,,,1.33,1.35,1.67,1.17,1.59,1.35,1.29,1.81,1.35,-,-,-,-,-,-,-,-,1.42,1.3,1.47,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.78,0.63,0.83,,,0.98,0.96,0.81,0.53,0.52,0.74,0.61,0.86,0.93,-,-,-,-,-,-,-,-,0.78,0.83,0.77,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,61,,,,,,,,,,,,,,,,,,,,,,,,,,53,40,38,21,19,25,2,24,2,2,20,21,56,2,18,2,2,18,27,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,63*,,,,,,,,,,,,,,,,,,,,,,,,,,54*,41*,40*,21**,20**,25**,2**,24**,2**,2**,21**,22**,58*,2**,19**,1**,2**,19**,29**,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,26,,,,,,,,,,,,,,,,,,,,,,,,,,26,24,15,10,12,12,1,12,-,-,12,11,26,1,8,1,1,9,10,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),6,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,4,1,1,3,-,3,-,-,3,4,6,-,-,1,-,2,2,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),20,,,,,,,,,,,,,,,,,,,,,,,,,,20,19,12,9,11,9,1,9,-,-,9,8,20,1,8,-,1,7,8,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),32,,,,,,,,,,,,,,,,,,,,,,,,,,26,16,22,9,7,12,1,11,2,2,9,11,29,1,8,*,1,8,15,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),5,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,-,1,-,1,-,-,1,-,3,-,2,-,-,2,3,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,1.65,1.42,1.46,1.68,1.55,1.41,1.58,1,1,1.62,1.68,1.49,1.61,1.3,2.42,1.45,1.52,1.33,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.75,0.75,0.72,0.59,0.8,0.66,0.81,0,0,0.77,0.76,0.76,-,0.7,-,-,0.85,0.79,,,,,,,,,,,,,,,,,,,,,,,,
Table 62,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,1,6,2,3,16,18,20,8,54,14,56,58,59,61,-,,,,,,
Table 62,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,63*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3**,3**,5**,2**,7**,2**,3**,17**,18**,21**,8**,56*,15**,58*,60*,61*,63*,-**,,,,,,
Table 62,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,4,1,2,7,9,10,5,25,6,23,25,25,26,-,,,,,,
Table 62,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,1,2,3,-,1,-,2,2,1,5,2,6,5,6,6,-,,,,,,
Table 62,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,-,1,1,1,7,7,8,4,20,4,17,20,19,20,-,,,,,,
Table 62,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,-,3,1,1,7,8,10,3,26,6,30,30,31,32,-,,,,,,
