table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Eastern (v),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,A little more       (+2),15,10,5,-,-,2,3,4,4,1,4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,About the same      (+1),28,15,13,1,1,4,6,8,2,7,5,6,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Don't use            (0),8,2,7,-,-,3,1,1,4,-,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,1.45,1.46,1.45,1,1,1.38,1.55,1.37,1.43,1.61,1.79,1.67,1.25,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,0.94,0.74,1.1,-,-,1.15,0.89,0.67,1.16,0.93,1.04,1.09,0.78,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,68,37,31,1,1,9,10,17,16,15,21,17,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,61*,36*,25**,1**,1**,7**,9**,16**,13**,14**,19**,15**,14**,13**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,NET: More,26,16,9,1,1,4,1,9,7,4,8,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,A lot more          (+3),11,6,5,1,1,2,*,2,3,1,4,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,A little more       (+2),15,11,4,-,-,1,*,7,3,3,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,About the same      (+1),34,19,15,-,-,4,8,7,6,10,11,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Don't use            (0),1,*,1,-,-,-,*,-,1,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Mean,1.59,1.61,1.55,3,3,1.82,1.11,1.68,1.74,1.38,1.65,1.6,1.42,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.8,0.77,0.86,-,-,0.94,0.57,0.72,0.94,0.66,0.85,0.8,0.63,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,72,31,41,,,,,,,,25,23,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,10,24,19,11
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,67*,29**,38*,,,,,,,,21**,20**,13**,14**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1**,6**,8**,26**,16**,10**
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,NET: More,45,18,27,,,,,,,,11,11,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,24,10,4
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,A lot more          (+3),22,9,13,,,,,,,,4,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,2,1,13,6,-
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,A little more       (+2),23,9,15,,,,,,,,7,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,11,4,4
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,About the same      (+1),19,10,9,,,,,,,,7,8,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,2,4,3,6,4
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Don't use            (0),3,2,2,,,,,,,,3,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1,1,-,-,2
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Mean,1.94,1.86,2.01,,,,,,,,1.63,1.71,2.45,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.64,1.49,2.37,2.01,1.22
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,0.9,0.94,0.88,,,,,,,,0.98,0.83,0.52,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1.17,0.96,0.68,0.89,0.75
Table 27,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,85,38,47,4,4,11,21,17,19,13,27,28,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,63*,29*,35*,3**,3**,7**,15**,15**,14**,9**,19**,20**,11**,13**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,NET: More,26,13,14,1,1,2,4,8,7,5,11,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,A lot more          (+3),11,4,8,-,-,1,-,6,3,1,3,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,A little more       (+2),15,9,6,1,1,1,4,2,3,3,8,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,About the same      (+1),31,13,18,1,1,4,9,7,7,4,7,15,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Don't use            (0),6,3,3,1,1,1,2,-,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Mean,1.5,1.48,1.51,0.84,0.84,1.3,1.11,1.94,1.65,1.55,1.68,1.14,1.83,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,0.9,0.85,0.95,0.9,0.9,1,0.65,0.94,0.9,0.88,0.85,0.63,1.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
