table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n)
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Direct from UK Government website/ email/ text/ post,2,2,-,-,-,-,-,-,2,-,-,2,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,BBC - Radio,2,2,-,-,-,-,-,-,2,-,-,2,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,WhatsApp group(s),1,1,1,-,-,1,1,-,-,-,-,1,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Direct from Local council website/ email/ text/ post,1,1,1,-,-,-,1,-,1,-,1,-,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Commercial Radio,1,1,1,-,-,1,1,-,-,-,1,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),1,-,1,-,-,-,-,-,1,-,1,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Official scientists,1,1,-,-,-,-,1,-,-,-,1,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,“Broadsheets” such as The Times or Guardian,1,1,-,-,-,-,1,-,-,-,1,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,WhatsApp,1,-,1,-,-,1,-,-,-,-,-,-,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,STV,1,-,1,-,-,-,-,-,1,-,-,-,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,59*,30**,29**,5**,5**,4**,12**,10**,9**,18**,18**,18**,11**,12**
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Unspecified social media,1,-,1,-,-,-,1,-,-,-,1,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,“Red-top tabloids” such as The Sun or Mirror ( online ),1,1,-,-,-,-,-,1,-,-,-,-,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Direct from Local health service website/ email/ text/ post,1,-,1,-,-,-,-,-,1,-,-,-,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,“Mid-market tabloids” such as MailOnline or Express ( online ),1,-,1,-,-,1,-,-,-,-,1,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,“Broadsheets” such as The Times or Guardian ( online ),1,-,1,-,-,1,-,-,-,-,1,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Other,8,2,6,-,-,1,1,-,1,5,1,3,1,3
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,NET: Broadcasters,23,12,11,1,1,-,1,5,7,10,6,5,4,8
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,NET: Non-BBC broadcasters,10,6,4,-,-,-,-,3,2,5,4,1,2,3
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,NET: BBC services,20,11,9,1,1,-,1,4,6,8,4,5,4,7
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,NET: Newspapers (printed and online),4,3,2,-,-,1,1,2,1,-,3,-,1,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,NET: Officials,4,3,1,-,-,-,2,-,2,-,2,2,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,NET: Social Media,22,14,8,4,4,3,8,4,2,2,6,6,5,4
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,59*,30**,29**,5**,5**,4**,12**,10**,9**,18**,18**,18**,11**,12**
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,NET: Facebook (Facebook and Facebook Messenger),15,11,5,4,4,2,6,2,1,1,2,6,5,3
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,NET: WhatsApp (WhatsApp and WhatsApp groups),1,1,1,-,-,1,1,-,-,-,-,1,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,NET: Closed groups,1,1,1,-,-,1,1,-,-,-,-,1,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,NET: Other online news sources,10,7,3,-,-,-,4,3,1,3,2,3,3,2
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,NET: Family/friends/ local ppl,2,1,1,-,-,-,-,-,-,2,2,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 5th to 7th June 2020,NET: Traditional media,26,13,13,1,1,1,2,5,8,10,9,5,4,8
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,47,27,20,4,4,13,11,2,3,14,10,11,11,15
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,45*,27**,18**,3**,3**,12**,13**,2**,3**,12**,9**,9**,12**,14**
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Facebook,13,8,5,2,2,2,6,1,*,2,2,2,3,5
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,BBC - TV,10,5,5,-,-,2,4,-,-,4,1,1,5,3
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Sky,7,4,3,-,-,-,2,-,2,3,2,-,-,5
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Twitter,6,6,-,2,2,1,2,1,1,-,-,3,3,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,ITV,5,1,4,-,-,-,2,-,-,3,1,1,-,3
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,“Mid-market tabloids” such as MailOnline or Express ( online ),5,4,1,-,-,3,-,1,-,1,-,3,-,2
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),4,3,1,-,-,-,2,-,-,2,1,-,3,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),4,2,2,-,-,-,4,-,-,-,-,-,2,2
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,“Broadsheets” such as The Times or Guardian ( online ),4,4,-,-,-,1,2,1,-,-,-,1,2,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",4,4,1,-,-,1,-,-,3,1,-,1,2,2
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,45*,27**,18**,3**,3**,12**,13**,2**,3**,12**,9**,9**,12**,14**
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Websites or apps that bring together news from different news providers,4,4,-,-,-,2,-,1,-,1,1,1,1,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,"Smart speaker (e.g. Amazon Echo, Google Home)",4,4,-,-,-,3,-,-,-,1,3,-,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,BBC - Radio,3,3,-,-,-,2,-,-,-,1,2,-,1,*
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Search engine (e.g. Google),3,3,-,2,2,1,-,-,-,1,-,3,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,YouTube,3,1,2,-,-,1,-,-,-,1,1,1,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Instagram,2,2,-,-,-,-,2,-,-,-,-,-,2,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,“Broadsheets” such as The Times or Guardian,2,2,-,-,-,-,2,-,-,-,-,-,2,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Commercial Radio,2,2,-,-,-,-,2,-,-,-,-,-,2,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Channel 5,2,*,2,-,-,-,2,-,-,*,-,-,-,2
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Email,2,1,1,-,-,1,-,-,-,1,2,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Unspecified social media,2,1,1,1,1,1,-,-,-,-,-,2,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Community radio,2,2,-,-,-,2,-,-,-,-,-,2,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,WhatsApp,2,1,1,-,-,1,1,-,-,-,-,2,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,45*,27**,18**,3**,3**,12**,13**,2**,3**,12**,9**,9**,12**,14**
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",1,1,1,-,-,1,-,-,-,1,1,-,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Family and friends directly,1,1,1,-,-,1,-,-,-,1,-,1,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Direct from Local council website/ email/ text/ post,1,-,1,-,-,-,-,-,-,1,1,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,“Red-top tabloids” such as The Sun or Mirror ( online ),1,1,-,-,-,-,-,1,-,-,-,-,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Celebrity and/or social media influencer,1,-,1,1,1,-,-,-,-,-,-,-,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,WhatsApp group(s),1,1,-,-,-,1,-,-,-,-,-,1,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Direct from UK Government website/ email/ text/ post,1,-,1,-,-,-,-,-,-,1,-,-,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Advertising,1,1,-,-,-,1,-,-,-,-,1,-,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Channel 4,*,*,-,-,-,-,-,-,-,*,-,-,-,*
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,ITV Wales,*,*,-,-,-,-,-,-,*,-,-,-,-,*
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Other,3,*,3,-,-,2,-,-,-,1,1,*,1,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,NET: Broadcasters,19,11,8,-,-,4,6,-,2,7,5,1,5,8
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,45*,27**,18**,3**,3**,12**,13**,2**,3**,12**,9**,9**,12**,14**
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,NET: Non-BBC broadcasters,11,5,6,-,-,-,4,-,2,5,2,1,-,8
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,NET: BBC services,12,7,5,-,-,4,4,-,-,4,3,1,5,3
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,NET: Newspapers (printed and online),11,7,4,-,-,3,4,1,-,3,1,3,3,4
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,NET: Officials,2,-,2,-,-,-,-,-,-,2,1,-,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,NET: Social Media,18,11,7,3,3,3,7,2,1,2,2,6,4,5
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 12th to 15th June 2020,NET: Facebook (Facebook and Facebook Messenger),13,8,5,2,2,2,6,1,*,2,2,2,3,5
