table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 332,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Wearing a face mask/ covering,51,27,24,10,10,11,8,10,6,6,11,19,6,14,2,3,5,3,3,3,2,5,16,3,3,2,11,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 332,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Staying at home as much as possible,906,433,473,125,105,130,135,150,144,221,261,240,166,239,80,39,106,78,71,63,52,78,107,125,81,27,122,331,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 332,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Work from home (if possible),131,61,70,26,23,38,24,12,11,21,43,44,26,18,3,3,16,8,12,10,5,12,24,29,8,1,32,64,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 332,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Not touching your face when outside,44,28,16,4,4,12,9,8,1,10,5,13,17,9,7,1,5,1,8,6,3,1,4,6,3,1,5,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 332,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1,*,1,1,1,-,-,-,-,*,-,1,*,-,1,-,-,-,-,-,-,*,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 333,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,
Table 333,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 333,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Washing hands regularly and thoroughly,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,196,284,136,132,150,40,112,41,37,99,113,345,11,126,43,24,148,122,,,,,,,,,,,,,,,,,,
Table 333,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Limiting your contact with other people (including family and friends),256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,111,178,83,92,103,26,72,16,17,76,85,222,5,69,34,12,92,88,,,,,,,,,,,,,,,,,,
Table 333,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 22nd to 24th May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,141,240,92,95,119,20,91,16,17,71,77,275,4,115,35,14,119,92,,,,,,,,,,,,,,,,,,
