table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 149,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 11th to 13th September 2020,"Secondary school, high school, 6th form/ college, GCSE's, ALevels, BTEC, NVQ levels 1 to 3, etc.",1182,551,631,149,121,125,171,238,184,315,182,294,306,400,82,46,135,102,107,100,59,136,120,164,104,29,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 149,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 11th to 13th September 2020,"University degree or equivalent professional qualification, NVQ level 4, etc.",606,319,287,79,79,149,99,84,87,108,246,206,84,70,65,22,71,40,57,35,27,36,104,78,48,24,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 149,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 11th to 13th September 2020,"Higher university degree, doctorate, MBA, NVQ level 5, etc.",222,111,111,21,21,64,49,33,21,34,119,61,24,18,18,9,20,22,16,9,11,16,40,32,19,10,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 149,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 11th to 13th September 2020,Still in full time education,47,25,22,38,28,8,-,1,-,-,15,24,2,6,7,5,3,2,3,4,1,3,8,6,6,-,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 149,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 11th to 13th September 2020,Don't know,1,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 149,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 11th to 13th September 2020,Prefer not to answer,10,6,3,2,1,2,1,2,2,2,4,1,3,2,1,-,1,2,-,1,-,-,2,3,1,-,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 17th to 19th April 2020,No formal education,27,18,9,-,-,6,4,4,6,8,3,4,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 17th to 19th April 2020,Primary,11,5,6,-,-,1,1,1,3,4,-,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
