date,area_type,area_code,area_name,metric,metric_name,value
2020-06-08,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-06-09,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,71.0
2020-06-09,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,133.0
2020-06-09,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,102.0
2020-06-09,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,219.0
2020-06-09,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,179.0
2020-06-09,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,38.0
2020-06-09,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,174.0
2020-06-09,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,25.0
2020-06-09,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,114.0
2020-06-10,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,167.0
2020-06-10,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,31.0
2020-06-10,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,118.0
2020-06-10,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,52.0
2020-06-10,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,124.0
2020-06-10,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,38.0
2020-06-10,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,92.0
2020-06-10,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,225.0
2020-06-10,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,229.0
2020-06-11,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,26.0
2020-06-11,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,23.0
2020-06-11,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,71.0
2020-06-11,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,46.0
2020-06-11,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,196.0
2020-06-11,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,94.0
2020-06-11,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,92.0
2020-06-11,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,183.0
2020-06-11,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,175.0
2020-06-12,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,170.0
2020-06-12,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,246.0
2020-06-12,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,40.0
2020-06-12,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,19.0
2020-06-12,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,83.0
2020-06-12,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,175.0
2020-06-12,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,79.0
2020-06-12,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,66.0
2020-06-12,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,53.0
2020-06-13,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,192.0
2020-06-13,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,39.0
2020-06-13,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,85.0
2020-06-13,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,90.0
2020-06-13,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,14.0
2020-06-13,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,131.0
2020-06-13,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,31.0
2020-06-13,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,67.0
2020-06-13,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,128.0
2020-06-14,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,32.0
2020-06-14,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-06-14,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,148.0
2020-06-14,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,73.0
2020-06-14,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,30.0
2020-06-14,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,161.0
2020-06-14,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,146.0
2020-06-14,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,76.0
2020-06-14,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,74.0
2020-06-15,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,32.0
2020-06-15,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,40.0
2020-06-15,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,98.0
2020-06-15,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,167.0
2020-06-15,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,103.0
2020-06-15,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,189.0
2020-06-15,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,167.0
2020-06-15,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,113.0
2020-06-15,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,20.0
2020-06-16,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,15.0
2020-06-16,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,19.0
2020-06-16,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,106.0
2020-06-16,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,98.0
2020-06-16,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,161.0
2020-06-16,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,47.0
2020-06-16,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,215.0
2020-06-16,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,215.0
