start_date,end_date,question,response,i_think_that_untrue_stories_or_items_about_coronavirus_should_not_be_posted_or_shared_on_social_media,"i_think_that_people_and_organisations_have_a_right_to_say_what_they_want_on_social_media__about_coronavirus,_even_if_it_might_not_be_true","i_think_it's_ok_for_untrue_stories_about_coronavirus_to_be_posted_and_shared_on_social_media_,_as_long_as_they_are_flagged_as_potentially_untrustworthy/_untrue_by_the_social_media_platform"
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Neither agree nor    (0) disagree,269.0,448.0,345.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly agree      (+1),382.0,300.0,297.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly agree      (+2),1389.0,136.0,92.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Agree,1771.0,436.0,389.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Unweighted base,2189.0,2189.0,2189.0
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Mean,1.34,-0.71,-0.93
2020-10-09,2020-10-11,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Standard deviation Standard error,1.04,1.26,1.25
2020-11-06,2020-11-08,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly disagree   (-2),82.0,795.0,969.0
2020-11-06,2020-11-08,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Disagree,149.0,1281.0,1375.0
2020-11-06,2020-11-08,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Unweighted base,2101.0,2101.0,2101.0
2020-11-06,2020-11-08,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly disagree   (-1),67.0,486.0,406.0
2020-11-06,2020-11-08,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Standard deviation Standard error,1.06,1.27,1.26
2020-11-06,2020-11-08,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Mean,1.34,-0.73,-0.88
2020-11-06,2020-11-08,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly agree      (+1),368.0,289.0,292.0
2020-11-06,2020-11-08,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly agree      (+2),1335.0,129.0,99.0
2020-11-06,2020-11-08,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Agree,1703.0,419.0,391.0
2020-11-06,2020-11-08,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Weighted base,2101.0,2101.0,2101.0
