table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,Mean,4.34,4.3,4.39,4.06,4.06,4.63,4.27,4.67,4,4.53,4.65,4.29,4.3,4.1,-,-,-,-,-,-,4.34,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,0.76,0.87,0.59,0.64,0.64,-,0.85,0.72,0.97,0.55,0.52,0.87,0.54,0.89,-,-,-,-,-,-,0.76,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,30,14,16,2,2,4,3,1,8,12,9,8,6,7,-,-,-,-,-,-,30,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,28**,11**,16**,5**,5**,3**,3**,1**,6**,10**,6**,7**,6**,8**,-**,-**,-**,-**,-**,-**,28**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,NET: Trust,23,8,16,5,5,3,2,1,5,8,5,6,5,7,-,-,-,-,-,-,23,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,5 - Trust completely,10,3,7,3,3,1,1,1,1,3,2,3,1,4,-,-,-,-,-,-,10,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,4,13,5,9,2,2,3,1,-,3,5,4,3,5,2,-,-,-,-,-,-,13,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,3,4,3,1,-,-,-,1,-,2,1,1,1,1,1,-,-,-,-,-,-,4,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,2,1,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,NET: Do not trust,1,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,Mean,4.17,3.84,4.4,4.64,4.64,4.18,4.07,5,3.98,4.03,4.13,4.17,4.06,4.28,-,-,-,-,-,-,4.17,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,0.77,0.93,0.57,0.54,0.54,0.46,0.89,-,0.77,0.94,0.72,0.77,0.54,1.06,-,-,-,-,-,-,0.77,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,24,13,11,4,3,3,2,6,6,3,4,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,20**,12**,8**,6**,4**,2**,1**,5**,4**,2**,3**,6**,6**,5**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 58,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 15th June 2020,NET: Trust,19,11,8,6,4,*,1,5,4,2,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
