table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,25,14,11,2,2,6,4,1,2,10,12,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,21**,11**,10**,2**,2**,4**,4**,1**,2**,9**,10**,4**,1**,6**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,NET: Trust,19,11,8,2,2,3,4,1,2,8,9,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,5 - Trust completely,8,5,3,*,*,1,1,1,*,4,3,3,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,4,12,6,5,1,1,2,3,-,2,3,6,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,3,2,-,2,-,-,1,-,-,-,1,1,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,Mean,4.28,4.43,4.11,4.25,4.25,4.08,4.22,5,4.19,4.35,4.21,4.78,4,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,0.63,0.52,0.71,-,-,0.81,0.48,-,0.52,0.74,0.65,0.48,-,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,31,14,17,1,1,3,3,8,6,10,9,15,2,5,-,-,-,-,-,-,31,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,29**,12**,17**,1**,1**,3**,4**,9**,4**,8**,10**,13**,2**,4**,-**,-**,-**,-**,-**,-**,29**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,NET: Trust,26,11,16,1,1,*,4,9,4,8,10,11,1,4,-,-,-,-,-,-,26,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,5 - Trust completely,16,6,10,1,1,*,4,6,2,3,7,8,-,1,-,-,-,-,-,-,16,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,4,11,5,6,-,-,-,-,3,2,5,3,4,1,3,-,-,-,-,-,-,11,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,3,3,2,1,-,-,3,-,-,-,-,-,2,1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,Mean,4.44,4.33,4.52,5,5,3.31,5,4.63,4.47,4.33,4.72,4.45,3.51,4.18,-,-,-,-,-,-,4.44,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,Standard deviation Standard error,0.67,0.74,0.62,-,-,0.88,0,0.51,0.58,0.5,0.47,0.74,-,0.44,-,-,-,-,-,-,0.67,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,25,10,15,,,2,4,7,4,8,6,11,4,4,-,-,-,-,-,-,25,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,22**,8**,14**,,,2**,4**,6**,2**,7**,5**,11**,4**,2**,-**,-**,-**,-**,-**,-**,22**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,NET: Trust,20,7,13,,,2,4,5,2,7,4,11,4,1,-,-,-,-,-,-,20,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,5 - Trust completely,12,4,8,,,*,3,4,*,4,2,7,3,*,-,-,-,-,-,-,12,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,4,8,3,5,,,2,1,1,1,3,2,4,1,1,-,-,-,-,-,-,8,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,3,1,1,-,,,-,-,1,-,-,*,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,2,1,-,1,,,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,1 - Do not trust at all,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,NET: Do not trust,1,-,1,,,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,Mean,4.45,4.42,4.47,,,4.2,4.78,4.53,3.58,4.56,4.06,4.64,4.68,3.91,-,-,-,-,-,-,4.45,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,Standard deviation Standard error,0.74,0.7,0.79,,,0.57,0.48,0.77,1.46,0.53,1.13,0.5,0.54,-,-,-,-,-,-,-,0.74,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,22,13,9,2,2,3,3,4,3,7,8,2,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,20**,13**,7**,1**,1**,3**,2**,4**,3**,6**,7**,2**,7**,4**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,NET: Trust,14,9,5,1,1,3,1,2,2,6,4,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,5 - Trust completely,6,5,1,1,1,1,-,1,1,2,3,-,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,4,8,4,4,-,-,2,1,1,1,3,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,3,2,2,1,1,1,-,-,2,-,-,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,2,3,2,1,-,-,-,1,-,2,-,1,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,NET: Do not trust,3,2,1,-,-,-,1,-,2,-,1,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,Mean,3.91,4.01,3.73,4.07,4.07,4.24,2.84,3.87,3.4,4.42,3.83,3.57,3.82,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,Standard deviation Standard error,1.02,1.05,1.02,-,-,0.52,1.37,0.95,1.67,0.54,1.22,0.68,1.16,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,27,18,9,3,3,3,4,5,5,7,10,11,2,4,-,-,-,-,-,-,27,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,25**,19**,6**,3**,3**,3**,4**,3**,5**,7**,10**,11**,1**,3**,-**,-**,-**,-**,-**,-**,25**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,NET: Trust,24,19,6,3,3,3,4,2,5,7,9,11,1,3,-,-,-,-,-,-,24,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,5 - Trust completely,14,11,2,3,3,1,3,2,2,3,4,7,1,2,-,-,-,-,-,-,14,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,4,11,7,3,1,1,2,*,1,3,4,5,3,1,1,-,-,-,-,-,-,11,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,3,1,1,1,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,Mean,4.48,4.55,4.27,4.76,4.76,4.39,4.56,4.31,4.37,4.48,4.35,4.59,4.43,4.5,-,-,-,-,-,-,4.48,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Wales Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,Standard deviation Standard error,0.61,0.58,0.68,0.51,0.51,0.6,0.86,0.95,0.54,0.54,0.65,0.62,-,0.61,-,-,-,-,-,-,0.61,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
