table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 11th to 13th September 2020,4,64,33,30,9,9,7,9,14,9,16,26,12,12,14,3,3,6,4,9,7,2,8,9,7,5,-,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 11th to 13th September 2020,3,86,49,38,10,9,7,12,19,12,27,30,27,14,16,5,4,10,13,9,1,1,8,11,16,4,4,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 11th to 13th September 2020,2,22,14,8,3,3,1,1,-,3,14,6,7,5,3,-,2,3,1,2,2,2,2,2,6,-,-,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,13,10,3,3,3,2,1,2,2,4,5,2,5,2,2,-,5,-,1,-,-,-,1,3,-,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,35,24,11,6,6,3,2,2,5,18,11,9,10,5,2,2,7,1,3,2,2,2,3,9,-,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.22j,3.09,3.38ab,3.09,3.09,3.47,3.51,3.44,3.22,2.95,3.25,3.22,3.01,3.35,3.43,3.15,2.86,3.26,3.28,3.63,3.08,3.45,3.3,2.96,3.68,2.76,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.97,0.99,0.91,1.09,1.12,1.11,0.85,0.84,0.97,0.93,0.95,0.94,1.08,0.92,1.37,0.78,1.17,0.66,0.93,1,0.97,0.73,0.92,1,0.65,0.73,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,263,150,113,31,29,28,42,42,38,82,91,71,35,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,257,139,118*,30**,27**,31**,37*,47*,32*,80*,84*,67*,44*,62*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,99,52,47,11,11,15,16,17,11,30,28,26,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
