table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 342,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 342,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118,664,1001,393,463,509,110,383,104,102,351,407,1186,20,455,144,53,508,443,,,,,,,,,,,,,,,,,,
Table 342,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,196,284,136,132,150,40,112,41,37,99,113,345,11,126,43,24,148,122,,,,,,,,,,,,,,,,,,
Table 342,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,257,396,145,182,178,37,142,32,34,136,153,464,5,182,55,15,201,168,,,,,,,,,,,,,,,,,,
Table 342,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,212,322,113,149,181,33,130,31,31,116,142,378,5,146,46,15,159,153,,,,,,,,,,,,,,,,,,
Table 342,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,No answer,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,351,562,227,261,305,72,234,53,61,214,213,668,12,227,100,46,300,230,,,,,,,,,,,,,,,,,,
Table 343,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-
Table 343,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**
Table 343,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,104,96,90,161,78,67,442,489,420,284,1066,304,1242,1250,1269,1315,-
Table 343,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,29,22,25,43,26,26,126,158,137,97,290,99,371,360,373,393,-
