table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 1st to 3rd May 2020,3,109,65,44,37,31,20,21,13,10,8,27,25,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 1st to 3rd May 2020,2,25,19,6,6,6,5,7,5,2,1,5,10,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 1st to 3rd May 2020,1 - Do not trust at all,9,4,5,-,-,2,4,3,-,-,4,-,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Do not trust,34,23,11,6,6,7,11,8,2,1,9,10,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,3.22,3.18,3.29,3.33,3.29,3.27,3.09,3.08,3.26,3.29,3.13,3.22,3.38,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,0.92,0.9,0.96,0.73,0.74,0.95,1.09,1.11,0.9,0.61,0.97,0.93,0.82,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,153,99,54,42,40,37,25,18,14,17,41,50,26,36,9,5,16,13,15,10,2,11,38,22,7,5,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,163,103*,59*,47*,45*,42*,23**,16**,15**,20**,34*,53*,29**,46**,10**,5**,20**,13**,20**,8**,2**,13**,37*,20**,9**,6**,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 6th to 8th November 2020,NET: Trust,51,34,17,17,16,15,9,4,1,6,12,17,12,11,4,2,7,4,8,3,-,3,9,8,2,2,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 6th to 8th November 2020,5 - Trust completely,13,7,6,1,1,8,2,-,-,1,4,4,2,3,-,-,5,-,2,*,-,-,3,*,2,-,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 6th to 8th November 2020,4,38,27,11,15,15,6,6,4,1,5,7,13,10,8,4,2,2,4,6,2,-,3,6,7,-,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 6th to 8th November 2020,3,87,49,37,25,25,19,12,7,10,14,17,24,14,32,6,1,7,8,11,5,*,7,24,10,5,3,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 6th to 8th November 2020,2,20,16,4,4,3,8,2,3,3,-,6,9,2,3,*,1,3,1,1,1,1,2,4,2,2,-,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 6th to 8th November 2020,1 - Do not trust at all,5,4,1,1,1,-,1,2,1,-,-,3,2,-,-,1,2,-,-,-,-,1,-,-,-,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 6th to 8th November 2020,NET: Do not trust,25,20,5,5,4,8,3,5,4,-,6,12,4,3,*,2,5,1,1,1,1,3,4,2,2,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 6th to 8th November 2020,Mean,3.21,3.16,3.3,3.26,3.28,3.36,3.32,2.79,2.74,3.37,3.31,3.12,3.25,3.22,3.31,2.84,3.27,3.17,3.43,3.27,2.24,2.9,3.2,3.32,3.34,3,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,0.87,0.9,0.81,0.75,0.73,1.02,0.91,0.99,0.7,0.6,0.91,0.96,0.95,0.68,0.58,1.3,1.31,0.63,0.77,0.73,-,0.86,0.75,0.69,1.15,1.1,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,207,140,67,50,41,57,44,23,16,17,61,67,38,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,205,137,67*,50*,40*,55*,45*,22**,16**,17**,58*,65*,44**,37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 12th to 15th June 2020,NET: Trust,77,55,22,19,14,22,23,6,2,5,23,23,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 12th to 15th June 2020,5 - Trust completely,21,19,3,7,5,5,9,1,-,-,6,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 12th to 15th June 2020,4,56,36,20,12,9,18,14,5,2,5,17,19,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 12th to 15th June 2020,3,90,61,29,20,17,23,17,12,9,9,19,32,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 12th to 15th June 2020,2,34,19,15,10,7,9,5,3,4,2,13,10,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 12th to 15th June 2020,1 - Do not trust at all,4,2,2,2,2,1,1,-,-,1,3,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 12th to 15th June 2020,NET: Do not trust,37,21,16,12,9,10,6,3,4,3,16,10,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 12th to 15th June 2020,Mean,3.28,3.37,3.11,3.24,3.22,3.31,3.56,3.17,2.89,3.09,3.17,3.24,3.47,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.92,0.94,0.88,1.04,1.04,0.9,0.98,0.75,0.67,0.78,1.07,0.81,0.97,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,178,121,57,44,38,40,35,25,14,20,62,48,21,47,14,4,15,12,15,10,6,20,48,18,12,4,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,178,125*,53*,50*,42**,35*,37**,24**,13**,19**,61*,48*,23**,45*,12**,4**,22**,10**,17**,10**,6**,19**,47*,16**,10**,4**,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th June 2021,NET: Trust,76,51,25,25,23,16,19,6,5,6,29,15,9,23,4,2,11,3,7,2,4,2,31,6,3,1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th June 2021,5 - Trust completely,26,17,9,7,7,8,8,1,1,1,9,6,1,10,2,-,3,1,2,-,-,1,15,2,2,-,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th June 2021,4,49,34,16,17,15,9,10,5,4,4,19,8,9,13,2,2,8,2,5,2,4,1,16,5,2,1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th June 2021,3,68,48,20,15,12,12,11,15,7,8,19,22,12,15,4,2,10,6,7,4,-,11,11,8,4,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th June 2021,2,26,18,8,9,6,6,4,4,-,4,10,8,2,6,4,-,2,1,2,2,2,3,4,2,3,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th June 2021,1 - Do not trust at all,8,8,-,*,*,2,3,-,1,1,4,3,-,1,*,-,-,-,1,2,-,3,2,-,-,-,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th June 2021,NET: Do not trust,34,26,8,10,7,8,7,4,1,5,14,12,2,6,4,-,2,1,3,4,2,6,5,2,3,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th June 2021,Mean,3.34,3.27,3.49,3.44,3.56,3.4,3.47,3.11,3.26,3.02,3.33,3.12,3.33,3.58,3.1,3.44,3.52,3.21,3.33,2.59,3.27,2.62,3.82,3.34,3.27,3,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
