table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,A little more       (+2),94,48,46,16,12,13,17,15,17,16,28,23,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,About the same      (+1),161,85,76,11,10,18,38,35,20,40,37,53,27,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Don't use            (0),39,22,18,9,6,8,8,3,3,9,9,9,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Mean,1.4,1.31,1.5,1.36,1.37,1.48,1.29,1.5,1.6,1.27,1.46,1.33,1.44,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.85,0.79,0.89,0.96,0.93,0.98,0.78,0.83,0.8,0.78,0.83,0.78,0.89,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,358,180,178,35,30,55,67,57,51,93,96,97,66,99,193,-,-,-,-,-,104,-,-,-,61,74,134,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,334,163,172,34*,28**,54*,59*,60*,48*,79*,83*,98*,63*,90*,173,-**,-**,-**,-**,-**,99*,-**,-**,-**,63*,67*,116,22**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,144,65,79,20,17,21,29,26,18,29,44,36,27,37,80,-,-,-,-,-,38,-,-,-,26,25,56,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),54,22,32,8,6,10,12,7,9,9,18,9,14,12,33,-,-,-,-,-,16,-,-,-,6,12,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),89,42,47,12,11,11,18,19,9,20,25,27,13,24,47,-,-,-,-,-,22,-,-,-,20,13,37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),159,85,74,13,10,22,26,32,26,39,29,54,34,41,80,-,-,-,-,-,47,-,-,-,32,37,52,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),32,13,19,1,1,11,4,3,3,10,10,8,2,12,13,-,-,-,-,-,14,-,-,-,5,5,8,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.5,1.45,1.54,1.79,1.79,1.37,1.63,1.51,1.5,1.35,1.63,1.38,1.63,1.41,1.58,-,-,-,-,-,1.4,-,-,-,1.42,1.47,1.59,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.88,0.83,0.92,0.83,0.82,1.01,0.88,0.77,0.88,0.86,0.97,0.77,0.87,0.89,0.88,-,-,-,-,-,0.92,-,-,-,0.78,0.88,0.85,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,210,262,108,137,150,32,125,19,28,104,107,321,7,105,39,6,135,115,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,198,241,98*,124,143,30**,119,18**,25**,94*,97*,300,6**,99*,33*,7**,122,111,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,102,106,49,73,77,17,66,10,12,49,55,136,4,43,16,1,63,41,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),54,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,38,41,16,27,35,9,27,6,7,17,24,50,-,15,6,-,27,13,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),89,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,64,65,34,46,43,8,38,4,4,32,31,86,4,28,10,1,36,28,,,,,,,,,,,,,,,,,,,,,,,,
