table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,1.65,1.48,1.82,1.86,1.9,1.63,1.82,1.61,1.66,1.46,1.71,1.59,1.7,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.95,0.89,0.99,1,1,0.84,0.88,1,0.9,1.03,0.93,0.87,0.99,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,346,164,182,31,27,64,58,61,51,81,106,105,46,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,340,158,182,28**,24**,62*,69*,65*,44*,72*,86*,101*,54*,99*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,NET: More,129,63,66,12,9,28,21,26,15,28,42,42,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,A lot more          (+3),37,19,18,2,2,11,7,5,5,6,10,8,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,A little more       (+2),92,44,48,9,7,16,14,21,10,21,32,34,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,About the same      (+1),170,76,95,14,14,26,39,33,23,35,33,48,26,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Don't use            (0),41,19,22,3,1,9,8,6,6,9,11,11,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Mean,1.37,1.4,1.34,1.39,1.4,1.49,1.28,1.38,1.31,1.34,1.46,1.38,1.23,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,0.83,0.85,0.81,0.79,0.76,0.96,0.81,0.77,0.85,0.81,0.86,0.79,0.86,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,341,169,172,27,24,48,68,65,55,78,69,102,64,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,334,165,169,25**,21**,53*,64*,68*,50*,73*,69*,96*,67*,101*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,NET: More,161,81,80,7,4,33,22,41,26,32,29,48,41,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,A lot more          (+3),63,26,37,2,1,18,6,19,7,11,11,20,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,A little more       (+2),98,55,43,5,3,15,17,22,19,21,18,28,21,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,About the same      (+1),140,74,66,13,11,12,39,23,25,29,29,42,22,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Don't use            (0),33,10,23,5,5,8,3,4,-,12,11,7,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Mean,1.57,1.59,1.55,1.15,1.01,1.8,1.39,1.82,1.64,1.42,1.42,1.63,1.86,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,0.91,0.82,0.98,0.88,0.82,1.07,0.72,0.92,0.72,0.95,0.93,0.89,0.93,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,360,149,211,32,27,52,68,77,68,63,98,107,48,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,333,143,189,38**,33**,47*,55*,64*,64*,64*,83*,95*,48*,107*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,NET: More,148,64,84,22,18,14,25,30,31,25,38,40,28,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,A lot more          (+3),40,16,24,4,4,5,5,11,5,10,12,8,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,A little more       (+2),107,48,59,18,14,9,20,20,26,15,26,31,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,About the same      (+1),152,69,82,15,13,24,25,31,28,30,41,49,13,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Don't use            (0),33,10,23,1,1,9,6,3,5,10,4,7,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Mean,1.46,1.49,1.45,1.66,1.66,1.24,1.45,1.59,1.49,1.38,1.55,1.43,1.6,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.83,0.78,0.87,0.7,0.73,0.9,0.8,0.83,0.75,0.94,0.81,0.75,0.93,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,352,174,178,35,33,51,54,70,61,81,109,113,50,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,335,165,170,32*,30**,61*,53*,63*,55*,69*,90*,105*,64*,76*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,NET: More,152,71,81,17,15,29,18,36,25,25,47,44,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,A lot more          (+3),52,19,34,5,4,13,7,8,7,11,24,16,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,A little more       (+2),100,52,47,12,11,16,11,29,18,14,23,28,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,About the same      (+1),154,80,74,12,12,24,34,24,23,36,35,52,30,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Don't use            (0),29,14,15,3,3,8,1,3,7,8,8,9,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,1.52,1.46,1.59,1.6,1.53,1.58,1.46,1.66,1.46,1.41,1.71,1.49,1.49,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,0.86,0.81,0.9,0.88,0.86,0.97,0.75,0.75,0.89,0.89,0.96,0.86,0.73,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,358,193,165,40,34,63,53,68,60,74,112,92,64,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,336,183,153,43*,36**,64*,48*,60*,51*,69*,101*,87*,64*,84*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,NET: More,139,68,71,27,23,23,12,28,26,23,43,32,25,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,A lot more          (+3),50,22,28,11,9,9,5,8,12,5,18,12,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,A little more       (+2),89,46,43,16,14,14,6,20,14,18,25,20,16,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,About the same      (+1),165,97,68,14,12,33,30,25,24,39,50,48,32,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Don't use            (0),31,18,14,2,1,8,6,7,1,6,8,7,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Mean,1.47,1.4,1.55,1.83,1.87,1.38,1.23,1.47,1.72,1.33,1.53,1.43,1.43,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.86,0.82,0.89,0.87,0.84,0.89,0.82,0.87,0.86,0.75,0.88,0.82,0.85,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,375,176,199,,,,,,,,131,117,36,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,64,50,80,75,83
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,361,173,188,,,,,,,,99,113,47*,102*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22**,61*,46*,86*,64*,81*
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,NET: More,207,88,118,,,,,,,,52,63,26,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,33,23,57,35,43
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,A lot more          (+3),89,30,59,,,,,,,,23,23,9,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,10,25,16,14
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,A little more       (+2),117,58,59,,,,,,,,28,40,18,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,17,13,32,19,29
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,About the same      (+1),127,75,52,,,,,,,,37,43,19,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,23,21,25,26,27
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Don't use            (0),27,10,17,,,,,,,,11,7,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,4,4,11
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Mean,1.74,1.63,1.85,,,,,,,,1.65,1.7,1.69,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,1.74,1.66,1.91,1.73,1.57
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,0.92,0.84,0.97,,,,,,,,0.96,0.87,0.83,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.95,0.88,0.87,0.9,0.94
Table 29,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,379,186,193,37,33,61,70,58,64,89,110,111,58,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,344,163,181,30*,27**,54*,58*,64*,56*,81*,91*,101*,62*,90*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,NET: More,141,67,74,14,11,26,19,31,23,28,41,34,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,A lot more          (+3),52,25,27,4,4,11,3,20,6,9,12,11,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,A little more       (+2),89,42,47,10,7,16,16,11,18,19,30,22,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,About the same      (+1),167,84,83,12,12,23,36,29,28,39,40,61,21,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Don't use            (0),35,12,23,4,3,5,3,4,5,14,10,7,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Mean,1.46,1.49,1.43,1.47,1.46,1.6,1.32,1.72,1.42,1.28,1.48,1.38,1.67,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,0.87,0.84,0.9,0.91,0.92,0.91,0.66,0.98,0.8,0.88,0.85,0.77,1.01,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
