table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,Netbook,42,25,17,6,6,9,9,9,5,4,24,5,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,Other device,14,10,5,-,-,-,1,4,5,4,2,4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,"Not applicable, I do not have access to the internet",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,Don't know,10,7,3,2,2,3,3,2,-,-,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,NET: Used device to connect to internet,2092,1022,1071,288,247,350,322,360,302,471,570,592,423,508,175,83,231,169,182,151,98,197,277,287,179,62,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,Smartphone,1754,876,878,266,232,330,298,317,245,298,497,498,343,415,145,70,201,138,153,130,85,153,247,227,150,55,1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,Laptop,1403,704,699,237,205,264,221,227,183,271,431,425,265,282,120,55,148,109,124,95,72,128,203,188,127,34,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,Tablet computer (e.g. iPad),1103,530,573,147,124,179,160,173,156,288,315,315,217,256,99,44,126,80,94,84,52,98,156,144,89,37,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,TV set,919,475,444,124,105,167,168,161,123,177,277,249,185,208,83,41,113,76,67,55,51,92,115,124,76,27,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,Desktop PC,744,457,287,108,93,100,89,124,107,216,215,190,156,184,58,30,76,66,66,57,31,70,99,113,56,22,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,"Smart speaker (e.g. Amazon Echo, Google Home)",501,283,218,88,81,97,96,90,56,74,153,120,115,112,43,27,61,38,38,35,24,53,61,56,40,24,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,Games console,399,259,139,118,103,125,85,53,14,4,134,114,68,83,39,19,37,36,40,21,21,43,56,51,32,5,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
