table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 51,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,499,229,271,61,54,108,93,82,69,87,149,120,104,126,49,23,60,44,35,31,22,41,54,71,50,17,90,221,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),122,56,66,8,8,31,18,16,25,25,31,29,30,32,12,3,14,12,12,7,2,6,17,22,9,7,19,56,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),377,172,204,53,46,76,75,65,45,62,118,91,74,95,37,20,46,33,24,24,20,35,37,49,41,10,71,166,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),1033,528,506,130,111,164,166,198,147,228,260,312,225,236,90,45,114,77,96,73,50,103,122,147,86,32,174,414,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),539,254,285,94,80,73,58,81,81,151,157,154,90,139,34,14,54,48,50,43,28,52,97,62,43,14,65,199,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.04,1.03,1.05,0.91,0.93,1.19,1.17,1.05,1.04,0.92,1.04,0.99,1.11,1.04,1.15,1.15,1.09,1.05,0.99,0.96,0.96,0.97,0.91,1.11,1.09,1.16,1.13,1.09,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.82,0.8,0.84,0.79,0.8,0.87,0.79,0.76,0.87,0.82,0.84,0.78,0.82,0.85,0.82,0.74,0.82,0.87,0.82,0.8,0.75,0.76,0.86,0.84,0.81,0.9,0.79,0.83,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,286,383,168,222,255,65,197,61,54,159,189,459,4,168,56,21,234,135,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,81,87,47,48,64,18,46,24,16,37,45,114,-,38,9,4,66,31,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,205,297,121,173,190,46,151,37,38,122,144,345,4,129,47,17,168,104,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881,515,777,318,382,421,73,322,76,84,287,316,927,19,336,117,57,394,339,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,214,402,134,121,138,44,98,19,26,119,115,469,9,178,71,22,181,198,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.15,1.04,1.13,1.21,1.22,1.22,1.24,1.42,1.27,1.14,1.19,1.06,0.83,1.04,0.98,1.03,1.15,0.95,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.84,0.82,0.84,0.8,0.82,0.93,0.8,0.9,0.84,0.82,0.82,0.83,0.63,0.82,0.79,0.74,0.86,0.8,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,773,675,441,1670,476,1859,1950,2000,2070,-,,,,,,
Table 53,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,767,680,435,1658,476,1860,1957,2004,2070,-**,,,,,,
Table 53,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,57,54,56,88,45,41,200,212,158,123,424,153,466,475,483,499,-,,,,,,
Table 53,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,19,21,18,30,16,19,52,56,41,32,105,43,114,111,117,122,-,,,,,,
Table 53,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,38,33,38,58,28,23,148,156,117,91,319,111,352,364,366,377,-,,,,,,
Table 53,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,83,63,52,139,55,48,337,365,342,212,808,207,934,971,1002,1032,-,,,,,,
Table 53,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,24,24,21,40,17,12,150,190,181,99,426,115,460,511,519,539,-,,,,,,
Table 53,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,1.31,1.36,1.41,1.29,1.37,1.47,1.15,1.1,1.03,1.13,1.06,1.17,1.06,1.04,1.04,1.04,-,,,,,,
Table 53,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.86,0.93,0.93,0.86,0.9,0.93,0.85,0.86,0.82,0.85,0.84,0.9,0.82,0.82,0.82,0.82,-,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,2110,1060,1050,273,242,342,292,362,333,508,514,603,457,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,2110,1033,1077,292,258,349,326,362,305,475,576,595,429,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,NET: More,677,290,387,121,102,141,104,119,83,110,176,195,143,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,A lot more          (+3),229,89,139,46,39,36,37,47,25,38,61,55,40,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,A little more       (+2),448,200,248,75,62,105,67,71,58,72,115,140,104,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,About the same      (+1),853,449,404,78,74,124,148,163,150,191,218,237,188,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Don't use            (0),580,294,286,93,82,84,74,81,73,175,182,163,99,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,1.15,1.08,1.22,1.25,1.23,1.27,1.2,1.23,1.11,0.94,1.1,1.14,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.95,0.9,0.98,1.07,1.06,0.94,0.92,0.94,0.86,0.91,0.97,0.93,0.9,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,2104,1035,1069,270,239,367,297,342,328,500,691,590,360,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,2101,1028,1073,289,250,350,323,359,303,477,576,595,426,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 7th to 10th May 2020,NET: More,521,240,280,94,85,102,93,85,63,84,146,134,126,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 7th to 10th May 2020,A lot more          (+3),133,63,70,18,18,28,23,28,23,14,35,36,22,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 7th to 10th May 2020,A little more       (+2),388,178,210,76,67,74,70,57,41,70,111,98,103,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 7th to 10th May 2020,About the same      (+1),1021,529,491,115,101,155,181,190,166,213,279,283,208,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
