table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Don't use            (0),167,55,112,20,13,24,19,21,22,61,32,46,31,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Mean,1.53,1.56,1.49,1.73,1.76,1.63,1.55,1.54,1.49,1.31,1.61,1.54,1.53,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.85,0.82,0.88,0.87,0.87,0.88,0.84,0.84,0.8,0.81,0.83,0.87,0.84,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2084,998,1086,255,223,321,329,380,325,474,544,588,454,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2086,1019,1067,287,247,347,319,360,301,471,568,591,424,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,NET: More,796,365,431,146,127,129,130,141,106,145,222,232,161,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,A lot more          (+3),244,108,136,47,41,34,41,48,34,41,65,70,51,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,A little more       (+2),552,257,295,99,85,95,89,93,72,104,157,162,111,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,About the same      (+1),1118,586,532,109,96,190,167,204,180,267,304,316,228,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Don't use            (0),172,68,104,32,25,28,22,16,16,59,42,43,36,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Mean,1.42,1.4,1.43,1.56,1.58,1.39,1.47,1.48,1.41,1.27,1.43,1.44,1.42,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 20,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.8,0.77,0.83,0.89,0.88,0.77,0.8,0.78,0.76,0.79,0.79,0.79,0.81,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 54,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,1025,1046,262,230,335,324,333,304,513,581,542,424,524,193,78,243,149,168,162,104,216,286,238,173,61,340,896,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 54,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,1011,1061,286,244,345,316,360,298,467,565,586,419,501,173,83*,229,169,181,147,99*,196,272,280,179,63*,329,834,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 54,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,848,375,472,140,118,154,136,137,122,159,283,208,166,190,71,36,104,70,61,47,37,76,112,136,74,23,150,348,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 54,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),246,100,146,33,30,41,50,37,37,48,71,65,60,50,20,13,28,22,19,9,9,23,38,39,21,5,49,97,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 54,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),602,276,326,107,88,113,87,100,84,110,212,144,106,140,51,24,77,49,43,38,28,53,74,96,52,18,101,251,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 54,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),1035,569,465,115,98,161,167,200,142,249,242,336,217,240,87,42,105,83,98,83,55,104,132,124,87,35,155,424,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 54,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),189,66,124,31,28,30,13,23,34,59,40,41,36,71,14,5,20,15,22,17,7,16,29,20,18,5,24,62,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 54,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.44,1.41,1.47,1.5,1.49,1.48,1.55,1.42,1.42,1.32,1.55,1.4,1.45,1.34,1.45,1.54,1.49,1.46,1.32,1.27,1.4,1.42,1.44,1.55,1.43,1.36,1.53,1.46,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 54,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.82,0.75,0.87,0.84,0.85,0.81,0.8,0.76,0.85,0.82,0.8,0.78,0.84,0.84,0.8,0.82,0.82,0.83,0.82,0.75,0.76,0.8,0.86,0.82,0.83,0.75,0.83,0.79,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,477,693,299,377,419,86,313,97,83,293,320,791,9,300,114,43,386,240,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,149,208,100,131,145,28,114,35,35,90,110,237,2,93,28,16,127,53,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,328,485,199,246,273,58,199,62,48,203,210,555,7,207,86,27,259,187,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,464,762,294,316,347,79,264,54,72,246,261,917,22,317,124,50,367,369,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,74,108,26,32,49,16,40,5,7,26,39,145,2,65,6,7,56,63,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,1.54,1.51,1.6,1.66,1.63,1.54,1.63,1.81,1.68,1.63,1.63,1.48,1.28,1.48,1.56,1.52,1.57,1.34,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.83,0.81,0.81,0.82,0.84,0.86,0.86,0.82,0.86,0.8,0.85,0.81,0.68,0.84,0.72,0.84,0.84,0.76,,,,,,,,,,,,,,,,,,,,,,,,
Table 56,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,773,675,441,1670,476,1859,1950,2000,2070,-,,,,,,
Table 56,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,767,680,435,1658,476,1860,1957,2004,2070,-**,,,,,,
Table 56,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,86,76,71,139,62,58,338,323,247,174,730,235,776,810,826,848,-,,,,,,
Table 56,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,29,23,25,49,24,21,117,108,66,52,216,78,227,239,240,246,-,,,,,,
Table 56,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,57,53,46,90,39,37,222,215,181,121,514,158,549,571,586,602,-,,,,,,
Table 56,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,70,58,46,114,48,38,311,360,362,211,797,203,922,975,998,1033,-,,,,,,
Table 56,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,8,6,12,14,7,5,37,84,72,50,131,38,162,171,180,189,-,,,,,,
Table 56,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,1.65,1.66,1.66,1.65,1.67,1.73,1.61,1.45,1.35,1.4,1.49,1.58,1.45,1.45,1.44,1.44,-,,,,,,
Table 56,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.83,0.8,0.9,0.84,0.86,0.85,0.83,0.86,0.8,0.85,0.82,0.85,0.82,0.82,0.82,0.82,-,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,2110,1060,1050,273,242,342,292,362,333,508,514,603,457,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,2110,1033,1077,292,258,349,326,362,305,475,576,595,429,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,NET: More,1169,550,619,207,179,196,179,213,162,212,343,331,237,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,A lot more          (+3),505,222,283,78,72,66,84,112,73,92,145,136,105,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,A little more       (+2),664,328,336,129,107,130,95,101,88,120,198,194,132,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,About the same      (+1),772,413,359,62,57,125,130,132,115,208,196,222,155,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Don't use            (0),168,69,99,22,22,27,17,18,29,55,36,42,37,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,1.71,1.68,1.75,1.9,1.89,1.67,1.75,1.85,1.67,1.53,1.79,1.71,1.71,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.92,0.88,0.95,0.88,0.91,0.87,0.9,0.92,0.95,0.93,0.89,0.9,0.93,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,2104,1035,1069,270,239,367,297,342,328,500,691,590,360,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,2101,1028,1073,289,250,350,323,359,303,477,576,595,426,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,NET: More,922,437,484,146,120,173,146,160,117,180,276,272,192,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,A lot more          (+3),329,137,192,55,47,63,52,63,40,56,107,94,59,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 7th to 10th May 2020,A little more       (+2),593,300,293,91,74,110,94,97,77,124,169,178,132,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
