table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 86,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 29th to 31st May 2020,Yes,786,397,390,127,110,138,111,127,106,177,243,223,140,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 29th to 31st May 2020,No,785,399,386,107,86,134,116,147,117,164,203,223,161,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 29th to 31st May 2020,Don't know,515,224,291,53,51,75,92,86,78,130,122,146,123,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 250,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,1025,1046,262,230,335,324,333,304,513,581,542,424,524,193,78,243,149,168,162,104,216,286,238,173,61,340,896,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 250,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,1011,1061,286,244,345,316,360,298,467,565,586,419,501,173,83*,229,169,181,147,99*,196,272,280,179,63*,329,834,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 250,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,Yes,808,409,399,132,113,139,121,118,117,182,276,227,154,152,66,39,88,58,72,58,38,62,123,109,77,19,138,320,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 250,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,No,672,349,324,100,83,118,96,120,94,144,162,204,108,198,57,17,71,63,60,49,25,67,87,97,50,29,94,264,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 250,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,Don't know,591,253,338,54,48,88,99,121,87,141,127,155,157,151,50,27,69,48,48,41,35,67,63,74,52,16,97,251,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 251,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,,,,,,,
Table 251,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,,,,,,,
Table 251,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,Yes,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689,398,609,294,349,386,87,277,96,94,267,300,732,19,236,98,40,808,-,,,,,,,,,,,,,,,,,,,,,,,,
Table 251,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,No,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,303,525,177,192,203,53,157,27,28,161,165,601,9,238,89,32,-,672,,,,,,,,,,,,,,,,,,,,,,,,
Table 251,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,Don't know,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,314,430,149,183,225,42,182,34,41,137,156,521,4,207,57,28,-,-,,,,,,,,,,,,,,,,,,,,,,,,
Table 252,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,773,675,441,1670,476,1859,1950,2000,2070,-,,,,,,
Table 252,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,767,680,435,1658,476,1860,1957,2004,2070,-**,,,,,,
Table 252,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,Yes,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,107,100,89,197,81,75,465,363,295,216,654,229,715,754,777,808,-,,,,,,
Table 252,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,No,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,28,19,16,26,18,12,81,147,181,108,532,111,610,639,654,672,-,,,,,,
Table 252,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 22nd to 24th May 2020,Don't know,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,29,21,23,44,17,13,139,257,204,110,472,136,535,563,572,590,-,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,2110,1060,1050,273,242,342,292,362,333,508,514,603,457,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,2110,1033,1077,292,258,349,326,362,305,475,576,595,429,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 3rd to 5th April 2020,Yes,959,473,486,175,154,180,162,154,118,170,291,273,178,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 3rd to 5th April 2020,No,637,314,323,72,66,85,87,116,113,164,147,182,147,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 3rd to 5th April 2020,Don't know,514,245,268,45,38,83,77,92,75,141,137,139,105,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,2104,1035,1069,270,239,367,297,342,328,500,691,590,360,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,2101,1028,1073,289,250,350,323,359,303,477,576,595,426,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 7th to 10th May 2020,Yes,945,479,466,160,141,157,164,152,124,187,285,267,180,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
