table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Eastern (v),London (w),South East (x),South West (y),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 322,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Not closely,101,51,50,17,16,28,19,15,8,14,29,37,20,15,5,14,8,10,13,10,19,12,9,21,52,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 322,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.59,1.54,1.63,1.57,1.55,1.39,1.51,1.61,1.73,1.69,1.61,1.53,1.61,1.62,1.54,1.59,1.6,1.59,1.48,1.61,1.51,1.65,1.67,1.53,1.52,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 322,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.83,0.85,0.81,0.89,0.91,0.97,0.9,0.8,0.65,0.71,0.84,0.9,0.81,0.75,0.89,0.88,0.82,0.85,0.94,0.77,0.86,0.75,0.76,0.93,0.89,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 323,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,1732,,,,,,,,,,,,,,,,,,,,,,,,,,1455,811,1316,528,583,658,146,488,144,135,458,518,1538,28,582,205,93,699,541,,,,,,,,,,,,,,,,,,
Table 323,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,1756,,,,,,,,,,,,,,,,,,,,,,,,,,1467,817,1322,522,600,671,152,498,138,138,471,523,1554,26**,582,211,93*,686,561,,,,,,,,,,,,,,,,,,
Table 323,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Closely,1655,,,,,,,,,,,,,,,,,,,,,,,,,,1396,786,1263,495,571,631,134,469,129,128,433,496,1471,23,560,201,90,638,533,,,,,,,,,,,,,,,,,,
Table 323,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Very closely        (+2),1265,,,,,,,,,,,,,,,,,,,,,,,,,,1084,616,980,384,459,482,87,349,91,93,347,394,1137,17,428,155,75,490,414,,,,,,,,,,,,,,,,,,
Table 323,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Fairly closely      (+1),391,,,,,,,,,,,,,,,,,,,,,,,,,,313,170,283,111,112,148,47,119,38,35,86,101,334,6,132,46,15,148,119,,,,,,,,,,,,,,,,,,
Table 323,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Not very closely    (-1),71,,,,,,,,,,,,,,,,,,,,,,,,,,50,19,44,19,18,27,13,22,7,7,24,20,57,1,18,7,1,31,23,,,,,,,,,,,,,,,,,,
Table 323,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Not at all closely  (-2),30,,,,,,,,,,,,,,,,,,,,,,,,,,20,12,14,8,11,13,4,7,2,3,14,8,26,2,4,3,1,17,6,,,,,,,,,,,,,,,,,,
