table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 107,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 29th to 31st May 2020,Mean,1.64,1.6,1.68,1.54,1.52,1.5,1.53,1.6,1.77,1.84,1.66,1.64,1.62,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.73,0.78,0.67,0.77,0.79,0.84,0.83,0.82,0.55,0.45,0.71,0.74,0.69,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 319,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 319,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 319,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Closely,2021,977,1044,274,232,330,309,354,293,462,556,561,407,497,167,82,221,166,176,146,99,191,258,280,174,61,312,812,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 319,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Very closely        (+2),1595,737,857,211,177,226,227,279,258,394,426,431,331,407,136,60,181,130,140,113,79,149,188,229,139,51,241,593,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 319,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Fairly closely      (+1),427,239,187,63,55,104,82,75,34,68,130,130,77,89,31,21,40,37,36,33,20,43,69,51,35,10,72,219,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 319,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Not very closely    (-1),54,35,19,13,13,14,11,3,9,4,9,22,15,9,5,2,6,1,6,4,1,4,17,4,3,2,13,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 319,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Not at all closely  (-2),18,12,6,2,2,5,4,3,-,3,5,7,3,3,2,-,4,4,1,1,-,1,2,2,1,-,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 319,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Not closely,72,47,25,15,15,19,16,6,9,7,14,29,17,12,7,2,10,4,7,4,1,5,19,6,5,2,17,37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 319,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.68,1.62,1.75,1.61,1.58,1.52,1.59,1.73,1.8,1.8,1.69,1.62,1.69,1.75,1.69,1.68,1.68,1.69,1.69,1.69,1.78,1.69,1.54,1.75,1.71,1.75,1.61,1.6,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 319,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.69,0.76,0.6,0.78,0.82,0.82,0.79,0.59,0.58,0.54,0.64,0.78,0.71,0.61,0.73,0.58,0.77,0.7,0.68,0.64,0.46,0.65,0.83,0.61,0.64,0.61,0.79,0.75,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 320,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,,,,,,,
Table 320,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,,,,,,,
Table 320,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Closely,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1709,992,1526,600,705,787,164,599,150,155,547,604,1799,29,670,235,98,777,654,,,,,,,,,,,,,,,,,,,,,,,,
Table 320,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Very closely        (+2),1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368,804,1217,481,576,616,108,464,113,121,430,478,1432,22,541,180,79,624,506,,,,,,,,,,,,,,,,,,,,,,,,
Table 320,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Fairly closely      (+1),427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,188,309,119,129,171,57,136,37,35,116,126,368,7,129,55,19,153,148,,,,,,,,,,,,,,,,,,,,,,,,
Table 320,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Not very closely    (-1),54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,16,30,14,14,21,16,14,6,6,12,13,42,2,12,8,-,22,14,,,,,,,,,,,,,,,,,,,,,,,,
Table 320,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Not at all closely  (-2),18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,6,6,4,6,2,4,1,2,6,4,12,1,-,-,1,9,4,,,,,,,,,,,,,,,,,,,,,,,,
Table 320,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Not closely,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,23,37,20,19,27,17,18,6,8,18,17,55,3,12,8,1,31,18,,,,,,,,,,,,,,,,,,,,,,,,
Table 320,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.74,1.73,1.7,1.74,1.68,1.4,1.69,1.64,1.63,1.69,1.71,1.71,1.46,1.76,1.67,1.76,1.68,1.69,,,,,,,,,,,,,,,,,,,,,,,,
Table 320,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.61,0.6,0.69,0.62,0.68,0.93,0.65,0.71,0.77,0.69,0.64,0.65,1.05,0.54,0.66,0.57,0.72,0.64,,,,,,,,,,,,,,,,,,,,,,,,
Table 321,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-,,,,,,
Table 321,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**,,,,,,
Table 321,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Closely,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,154,136,127,253,113,97,663,751,673,412,1630,455,1838,1944,2021,2020,-,,,,,,
Table 321,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Very closely        (+2),1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,126,100,98,195,88,71,531,585,518,284,1322,338,1483,1564,1595,1593,-,,,,,,
Table 321,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Fairly closely      (+1),427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,29,36,29,57,25,26,132,166,155,128,307,117,355,380,427,427,-,,,,,,
Table 321,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Not very closely    (-1),54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,4,2,12,3,2,19,23,19,20,33,19,29,23,-,54,-,,,,,,
Table 321,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Not at all closely  (-2),18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-,2,1,2,5,6,5,11,7,3,9,7,-,18,-,,,,,,
Table 321,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Not closely,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,5,2,14,4,5,23,29,24,31,40,23,38,30,-,72,-,,,,,,
Table 321,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.64,1.64,1.73,1.61,1.67,1.59,1.7,1.67,1.67,1.48,1.74,1.61,1.75,1.76,1.79,1.68,-,,,,,,
Table 321,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.8,0.68,0.54,0.79,0.71,0.8,0.68,0.7,0.69,0.9,0.6,0.75,0.58,0.54,0.41,0.69,-,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,2125,1067,1058,274,243,347,295,365,334,510,516,606,460,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,2125,1039,1086,293,259,354,329,365,306,477,578,599,431,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Closely,2075,1002,1073,283,249,339,317,357,304,476,564,583,426,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 3rd to 5th April 2020,Very closely        (+2),1772,813,959,220,193,263,265,308,268,448,490,485,368,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 3rd to 5th April 2020,Fairly closely      (+1),303,189,114,63,56,76,51,49,36,28,75,98,58,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 3rd to 5th April 2020,Not very closely    (-1),41,29,12,10,10,14,8,7,2,1,12,14,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 3rd to 5th April 2020,Not at all closely  (-2),9,8,1,1,1,2,4,2,-,-,2,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
